bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,23485906.9594237,0.0507219623386286,0.136966870602883
5,9,7,96822509.8389933,0.209105303281225,0.564656762009464
10,14,12,30076007.7187814,0.0649544483610509,0.17539951361413
15,19,17,30965589.9382883,0.066875658213108,0.180587445805138
20,24,22,10755838.9358257,0.0232291330441638,0.0627267067988434
25,29,27,2056612.65842004,0.00444161811531285,0.0119939076805821
30,34,32,34183008.0843097,0.0738242407103505,0.19935102583817
35,39,37,3986895.98856469,0.00861040574372479,0.0232510785262129
40,44,42,488839.503452089,0.0010557352086325,0.00285085081579249
45,49,47,1303057.75268554,0.00281418326194356,0.00759926976243726
50,54,52,-6500510.14701709,-0.0140389992785258,-0.0379101617705234
55,59,57,-5319515.08130345,-0.0114884319383449,-0.031022746324839
60,64,62,2735083.59810327,0.00590689588848643,0.01595066530395
65,69,67,7476108.29060377,0.016145975704096,0.0435997280676186
70,74,72,-5136773.66455621,-0.0110937695872603,-0.0299570212487476
75,79,77,-1328750.58929186,-0.00286967147847145,-0.00774910717058841
80,84,82,2575345.17806702,0.00556191256980477,0.015019090826319
85,89,87,9825338.05716977,0.0212195521237937,0.0573001421078171
90,94,92,-4560304.02377146,-0.00984878162661803,-0.0265951224371638
95,99,97,-5131956.1119228,-0.0110833652318458,-0.0299289258846085
100,104,102,887762.692508373,0.00191728026228007,0.00517732093723004
105,109,107,-11044313.9531521,-0.023852145772169,-0.0644090570030989
110,114,112,44217756.4739086,0.0954960514168398,0.257872422801262
115,119,117,6873534.70926198,0.0148446116753669,0.0400855943410843
120,124,122,3959530.14914589,0.00855130438226731,0.0230914843750017
125,129,127,-24102893.0289268,-0.052054452679958,-0.140565056156943
130,134,132,5467378.58029988,0.0118077692686133,0.031885067748871
