scan_id,flow_mm_s,source_decile,n,source_median,tail_median,ri_median,ri_q1,ri_q3
flow01,1,1,49,103596836.81298783,36099337.291686736,0.35625692560325323,0.33162882259461413,0.38689764642095092
flow01,1,2,49,120370673.01022276,38740943.038335457,0.32400196714619572,0.31083525958437552,0.34292579527988593
flow01,1,3,48,132724143.02850485,38960711.328062087,0.29289090797830947,0.28170815921799858,0.30421720113672046
flow01,1,4,49,138281965.46995941,39786030.916296951,0.2890476889231452,0.27591890719934348,0.29780421029343201
flow01,1,5,48,145481312.87810436,39638763.105193838,0.27497319336010489,0.25834443541340479,0.28306380407124682
flow01,1,6,49,152832265.75480309,40049129.915207207,0.26160385906223882,0.2488558911884533,0.27026776598093633
flow01,1,7,48,161742816.04981533,40704860.220199436,0.25246455954522562,0.23787032366884847,0.26806508641754256
flow01,1,8,49,172742487.01280791,41777869.077629931,0.2419848962978057,0.2321240963594576,0.25402155619848732
flow01,1,9,48,186890282.66826075,41394155.807882592,0.2211724965798641,0.21273780831483172,0.23460896578025919
flow01,1,10,49,225189786.38645959,43737043.281898119,0.1949618199970353,0.1685265961522204,0.2073845508701336
flow03,3,1,47,103387278.24230154,36544065.044730298,0.36230359756288,0.33494346060505209,0.38476535958141189
flow03,3,2,47,121460389.29872321,38432975.120692328,0.31244945411287478,0.30286960848841304,0.32902383042038835
flow03,3,3,47,132246711.51510222,39228600.142718174,0.2910386131754501,0.2756315550228377,0.31070645747685899
flow03,3,4,46,141606615.57646865,38692366.042703129,0.27093268848811081,0.25963064578553152,0.28239656501142757
flow03,3,5,47,151260993.65935579,39090769.182061724,0.26094878033837993,0.24836830430058077,0.27363917461385534
flow03,3,6,47,158950824.33703077,39109248.779898539,0.24636262779685861,0.23793855857602836,0.25866588904112253
flow03,3,7,46,167566028.21993721,39343216.317552388,0.23409912556451112,0.22456503101862396,0.24753575639039352
flow03,3,8,47,175673739.35229793,40224682.961886346,0.2294793287306377,0.21390907405392112,0.24552770579693067
flow03,3,9,47,197431585.28285572,40655144.765285969,0.2059201657477463,0.19650126856414266,0.21809349902878272
flow03,3,10,47,228656910.38301343,41730058.435521819,0.178912420330153,0.16346230931167477,0.19671809751517366
flow05,5,1,50,100080809.5429748,36207403.844956234,0.3631077120335735,0.34812201111482471,0.3832549564557331
flow05,5,2,49,118928242.9079152,37369633.69716458,0.32177472020413173,0.30398974235819848,0.32789739842689308
flow05,5,3,49,130213762.47057998,38228799.958058365,0.29608103854633361,0.27933864387152002,0.3138533580193073
flow05,5,4,49,140796027.35913929,38696751.379169926,0.2746512896510831,0.2608012048699489,0.28735527651692461
flow05,5,5,49,150731939.28294113,39935576.694941387,0.26765718371601283,0.25133389909191911,0.2769924321444594
flow05,5,6,49,159246499.90302953,39147979.207573682,0.24770523988679,0.23571300827318101,0.25730668046648131
flow05,5,7,49,168643646.97871459,39372003.024950847,0.23584048197644,0.22736144514598941,0.24920462792555151
flow05,5,8,49,179449448.0753167,39741200.31522809,0.2216605742343242,0.2129723945898602,0.2318537502455201
flow05,5,9,49,193929232.36855361,41669604.845843039,0.21221086886112761,0.20225490966183851,0.2284871251581807
flow05,5,10,49,233806090.0775528,42693437.759685889,0.18179210438239671,0.1691333679639305,0.1946814523583989
flow07,7,1,50,87762635.146770298,36715551.386447817,0.43105805386524665,0.38647223677302134,0.47249772043962451
flow07,7,2,49,100344750.79363231,38632390.45431564,0.38598793270190762,0.36895947706166732,0.41242880098422741
flow07,7,3,49,107258461.32899462,39555470.745146558,0.36428643031303282,0.34854685752335163,0.38550023155984181
flow07,7,4,49,113373066.5658865,39464115.294725977,0.34173094352274991,0.32932616317421343,0.36334274709448611
flow07,7,5,50,120770135.13507612,40048590.317179404,0.33097413866955505,0.31551569446516847,0.35670458822786605
flow07,7,6,49,127568360.57027256,40062406.817259051,0.3175212356921383,0.29739956793109151,0.33330285384782432
flow07,7,7,49,134621505.77337104,41146674.471284881,0.30524991813050212,0.28817383486734283,0.32214701754685482
flow07,7,8,49,145790054.74372515,41794245.324173339,0.28999615396767242,0.2636213055210912,0.30748955611049272
flow07,7,9,49,161698315.31273502,43647822.819853015,0.26639810859359092,0.25623834511726301,0.28174008282219742
flow07,7,10,50,192424084.69186097,43862044.384220555,0.22077715043601692,0.20478990188246859,0.23506299267742609
flow10,10,1,49,106166155.05499344,35753448.23331321,0.34671195636142771,0.31969967962499291,0.36898886869928232
flow10,10,2,48,124662919.98379098,37756731.978871696,0.30421137688001898,0.2945246840116828,0.32368551434392212
flow10,10,3,48,134355350.77319241,39705011.560099334,0.29221775875474709,0.28540245877250975,0.31224060445440349
flow10,10,4,49,144006866.83917308,39190334.533811912,0.27128490263643312,0.26161438349168442,0.28493673500015487
flow10,10,5,48,150746562.60989612,39634944.939943328,0.26387212934905152,0.25255205652326612,0.27488742721105991
flow10,10,6,48,159116456.54978245,40389659.370975748,0.25301461130671832,0.23935038193463376,0.26926238124637258
flow10,10,7,49,167800546.78863868,39380658.742634997,0.23315576174016961,0.22440315525457391,0.25244632057336092
flow10,10,8,48,180670264.4989025,40744282.291606441,0.22594767689896322,0.21310931754023049,0.23464060399032793
flow10,10,9,48,199846856.56503689,42129228.613193989,0.21012786869106409,0.20594998014416041,0.22374708457809406
flow10,10,10,49,227795923.72029093,42272240.363576487,0.18496906180636061,0.1616809936078113,0.19955506095860251
