window_um,flow07_ri_median,flow01_ri_median,other4_scan_median_ri,flow07_vs_flow01_pct,flow07_vs_other4_median_pct,flow07_rank_desc
100,0.57331493600650796,0.4820855179508291,0.46830511229601612,18.92390761777331,22.423377612865995,1
200,0.46504271858914081,0.38844984551514228,0.37370222371547657,19.717570738746208,24.442052810263075,1
300,0.39801500860738426,0.33143218359168181,0.31820431685457878,20.08942652887664,25.081586743299724,1
500,0.32317992329725742,0.268942562232105,0.25805650319596152,20.166893858304231,25.236108873351213,1
