segment_id,frame_lo,frame_hi,metric,flow07_value,other4_scan_median,flow07_vs_other4_median_pct,flow07_rank_desc
1,0,99,ri_median,0.29733935016989321,0.25636113440565766,15.984566404435133,1
1,0,99,source_median,137328044.88413429,164862032.15895998,-16.701230061435503,5
1,0,99,tail_median,41796207.272772662,40697280.122323006,2.7002471593841957,1
2,100,199,ri_median,0.32049538999311472,0.22715250149710997,41.092608657533248,1
2,100,199,source_median,125517439.07138562,173126724.34735447,-27.499674273538211,5
2,100,199,tail_median,41005259.912169784,40257174.55801025,1.8582659174988778,1
3,200,299,ri_median,0.32710286283832479,0.27126995483856609,20.582046409446676,1
3,200,299,source_median,115481915.17832333,143177819.96551043,-19.343711752182468,5
3,200,299,tail_median,37640681.727399766,38853873.717210844,-3.1224479665554634,5
4,300,399,ri_median,0.31541063066394903,0.25842517388933395,22.051047085303736,1
4,300,399,source_median,128008494.7852502,150457300.41516885,-14.920383104026103,5
4,300,399,tail_median,40114521.222645521,38650897.917584784,3.7867769803993099,1
5,400,499,ri_median,0.35840994827618922,0.28810833180514234,24.401104969985493,1
5,400,499,source_median,112554863.43641251,140257699.71768123,-19.751383586805275,5
5,400,499,tail_median,40928042.924629517,40174355.180866592,1.8760419187060804,1
