scan_id,flow_mm_s,n_valid,source_mean_median,source_iqr_over_median,tail_mean_median,tail_iqr_over_median,ri_tail_median,ri_iqr_over_median,pearson_source_vs_ri,spearman_source_vs_ri,pearson_tail_vs_ri,spearman_tail_vs_ri,pearson_source_vs_tail,spearman_source_vs_tail,var_log_source,var_log_tail,cov_log_tail_source,var_log_ri,log_identity_max_abs_error
flow01,1,486,149475499.77011237,0.26812942207041285,39973806.389386863,0.111927987475388,0.26894256223210489,0.23695792730263859,-0.8636950822015399,-0.90774226882527209,-0.13110835743303503,-0.14801261460307305,0.4923695850290904,0.50684271914893497,0.054091830831358767,0.0088443599604527412,0.01161932304721318,0.039697544697385144,3.9968028886505635e-15
flow03,3,468,155467660.52228588,0.27989119611155816,39258979.062311128,0.11153251411415599,0.25632875814502498,0.2695127491909145,-0.87399571836922085,-0.91305479333220707,-0.10338149185090074,-0.034578735847552361,0.4278101715755116,0.38866600709420868,0.062994437733484204,0.0093729643247025818,0.011411390568604986,0.04954462092097682,3.7747582837255322e-15
flow05,5,491,154204959.81361899,0.31936108582286449,39176211.170652881,0.11444030131868495,0.256645550299264,0.29537226539008232,-0.88180413239005651,-0.92431583333248846,-0.18195232538160785,-0.17383505386656176,0.51480915030156138,0.50113156782259871,0.064152178756202563,0.0091769411497006868,0.01327367049822311,0.046781778909457054,3.7747582837255322e-15
flow07,7,493,123276893.0110162,0.31256136063785528,40208950.329087123,0.13432466904586624,0.32317992329725742,0.26706322604694122,-0.86651265202074601,-0.88692529820568833,-0.10224722046600061,-0.088706790895585488,0.47701939163354506,0.49393694000994676,0.060112722936517204,0.010511358455867514,0.012858817167873333,0.044906447056638078,3.7747582837255322e-15
flow10,10,484,154338856.44940418,0.29873228081010239,39774709.246335603,0.11799946566822725,0.25946745609265881,0.27009637010507564,-0.87974625320221611,-0.91644589467824056,-0.15656571018562762,-0.12906077663829996,0.48174758071179447,0.47738758938791537,0.056654413099175509,0.0087928970272965392,0.011697099608420554,0.042053110909630952,3.7747582837255322e-15
