metric,flow07,flow01,other4_scan_median,flow07_vs_flow01_pct,flow07_vs_other4_median_pct
source_mean_median,123276893.0110162,149475499.77011237,154271908.13151157,-17.527024026939948,-20.091159496175521
tail_mean_median,40208950.329087123,39973806.389386863,39516844.154323369,0.58824505579906949,1.7514206652254485
ri_tail_median,0.32317992329725742,0.26894256223210489,0.25805650319596141,20.166893858304284,25.236108873351267
