scan_id,flow_mm_s,segments,valid_min,valid_max,ri_segment_min,ri_segment_max,ri_segment_range_pct_of_full,max_abs_ri_segment_delta_pct_vs_full,max_abs_source_segment_delta_pct_vs_full,max_abs_tail_segment_delta_pct_vs_full
flow01,1,5,92,100,0.25118171636278142,0.29619943947583793,16.738787174268452,10.134832143158363,10.357840485293178,5.0696738251411269
flow03,3,5,87,100,0.2197326851643456,0.28023168730510101,23.602112606704257,14.277006312328854,12.282988770310737,3.1699937768965682
flow05,5,5,94,100,0.2316480022940372,0.30411599455434662,28.236605768464496,18.496500017136185,13.26145163689397,2.5614704329583424
flow07,7,5,97,100,0.29733935016989321,0.35840994827618922,18.896779689536569,10.901056173135977,11.398041863256934,6.3873057631884347
flow10,10,5,86,100,0.22265700070018274,0.27988054346208013,22.054227386983829,14.186925769731459,18.314058451494081,3.3996152173584648
