bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,46497037.593904,0.0949605176520116,0.510333453612172
5,9,7,67256247.7695829,0.137356881943999,0.738178494316531
10,14,12,6232159.5137863,0.0127278881439244,0.0684017660632534
15,19,17,30135647.0010963,0.0615457841421188,0.330757175225354
20,24,22,17984911.7504965,0.0367304374241856,0.197395417030705
25,29,27,172973.618558567,0.00035326259926324,0.00189849136011111
30,34,32,16141338.7503564,0.032965323440977,0.177161074697656
35,39,37,15173092.5396873,0.0309878821643357,0.166533979764141
40,44,42,20889655.7036233,0.0426627721213886,0.229276760233795
45,49,47,9053210.54841624,0.0184892974816737,0.0993645282480778
50,54,52,-2644299.13359539,-0.00540043038324457,-0.0290228018614316
55,59,57,-3894168.23557466,-0.00795302777574527,-0.0427408804398366
60,64,62,-10702669.4068425,-0.0218579737489633,-0.117468349036915
65,69,67,8282514.59093649,0.0169153114631712,0.0909056682858435
70,74,72,3765112.28183686,0.00768945786232304,0.0413244123380309
75,79,77,1430818.39745738,0.00292214865117316,0.0157041078755088
80,84,82,15558142.1116922,0.0317742657399652,0.170760134548654
85,89,87,-4610604.0384565,-0.0094161987265547,-0.0506042019866706
90,94,92,-10603624.1907472,-0.0216556945183269,-0.116381267153653
95,99,97,-3672146.73213516,-0.00749959508438481,-0.0403040585154802
100,104,102,6023807.72025393,0.0123023729887362,0.0661149775738808
105,109,107,-9016362.52022184,-0.0184140430565993,-0.0989600985798593
110,114,112,-13394069.3819177,-0.0273545977935724,-0.147008111469262
115,119,117,12926144.120318,0.0263989578783581,0.141872345254
120,124,122,10994974.6744638,0.022454946394149,0.120676578301693
125,129,127,4229249.37838451,0.00863736123919205,0.0464186011226889
130,134,132,6883619.74453893,0.014058360017902,0.0755519409271798
