bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,48543700.2014747,0.137518200799633,0.411506396685223
5,9,7,13323917.4416476,0.0377449833155191,0.112947246159394
10,14,12,50481791.5867142,0.143008570078802,0.427935655251763
15,19,17,13875932.9740906,0.0393087739313961,0.117626698317493
20,24,22,59610046.9815766,0.168867770204278,0.505316148909478
25,29,27,-6787033.92280682,-0.01922681398321,-0.0575338893031019
30,34,32,7956230.99381211,0.0225390023190296,0.0674452077997848
35,39,37,-13807985.1816671,-0.0391162863763971,-0.117050702851411
40,44,42,35778133.9866608,0.101354956325812,0.303292310554535
45,49,47,32161967.5273782,0.0911108112934269,0.272637959458568
50,54,52,-7347202.96121456,-0.0208137024566015,-0.062282458974822
55,59,57,196506.931440906,0.000556679436142142,0.00166579512779829
60,64,62,2346993.82530421,0.00664873849344261,0.0198955367655321
65,69,67,3195616.41934122,0.00905277963174753,0.0270893358448867
70,74,72,-6933548.15619893,-0.0196418703897879,-0.0587758948361794
75,79,77,11004407.0350656,0.0311741018926916,0.0932846871553441
80,84,82,-3437123.68894491,-0.00973693936942905,-0.0291366001835224
85,89,87,-1292047.26682348,-0.00366020749848504,-0.0109527232763639
90,94,92,2497177.21073472,0.00707418914653836,0.0211686458100424
95,99,97,-2590680.81308605,-0.00733907309873548,-0.0219612786402755
100,104,102,-3313336.39750814,-0.00938626553266768,-0.0280872516162901
105,109,107,10323688.9863044,0.0292457132258005,0.0875142199218673
110,114,112,-639596.061487719,-0.00181189524591803,-0.00542187491898025
115,119,117,-10405036.9254911,-0.0294761617122011,-0.0882038088323451
120,124,122,-8861232.67814093,-0.0251027583333631,-0.0751169341116759
125,129,127,-13095088.0703822,-0.037096738470237,-0.111007452743682
130,134,132,5749912.90949956,0.0162887805170842,0.0487421834928465
