scan_id,frame_index_0based,flow_speed_mm_s,localization_source,baseline_valid,variant_valid,variant_invalid_reason,q_vessel_base,q_vessel_plus2,q_vessel_delta,q_vessel_delta_pct,q_tail_base,q_tail_plus2,q_tail_delta,q_tail_delta_pct,ratio_base,ratio_plus2,ratio_delta,ratio_delta_pct
flow05,270,5,direct_candidate_supported,True,True,,599509031971.4851,660888319620.5288,61379287649.0437,10.238259037932748,198595535957.37372,341471794736.3605,142876258778.98676,71.94333854999316,0.3312636263448649,0.5166860793249122,0.18542245298004728,55.97428701303041
flow07,279,7,direct_candidate_supported,True,True,,773669633293.3918,829830691800.5541,56161058507.16223,7.259049094132504,166691608006.71948,256530681737.2207,89839073730.50122,53.895378900466135,0.21545579771192402,0.3091361699102793,0.09368037219835529,43.4800888132103
flow03,413,3,short_gap_assisted,True,True,,1109040126605.56,1008038119359.5247,-101002007246.0354,-9.107155352004469,472359398210.49225,705227170344.919,232867772134.4267,49.298854435125776,0.4259173197422919,0.6996036725208347,0.27368635277854275,64.25809425738804
flow07,447,7,short_gap_assisted,True,True,,1437578080261.5017,1440865651736.0447,3287571474.5429688,0.22868820272669607,860550014491.9109,1244016534118.0225,383466519626.1116,44.56063135999356,0.5986109737673331,0.8633813517722169,0.2647703780048838,44.23079255272627
flow01,274,1,direct_candidate_supported,True,True,,705421024238.4989,728999011478.2283,23577987239.72937,3.342399280653958,158380973395.30862,220832314147.05814,62451340751.74951,39.4310878465654,0.22451978032024306,0.3029253958784735,0.07840561555823045,34.921473487278874
flow03,60,3,direct_candidate_supported,True,True,,1274217029360.8416,1295601222766.0312,21384193405.189697,1.6782222268616356,494538630026.48676,680867495631.751,186328865605.26422,37.67731260857918,0.3881117726660361,0.5255224243908473,0.1374106517248112,35.404917191999445
flow07,49,7,direct_candidate_supported,True,True,,1834638743323.2395,1873180712985.9958,38541969662.75635,2.100793401590438,990764586338.44,1297483885473.2737,306719299134.83374,30.957838356775913,0.5400325213582825,0.6926634875526683,0.15263096619438576,28.263291590382448
flow07,417,7,direct_candidate_supported,True,True,,954238386148.2833,987679085666.8322,33440699518.54883,3.5044387234860546,938272141425.7628,1223033199092.8484,284761057667.0856,30.349516424347147,0.983268075405175,1.2382900649021202,0.2550219894969452,25.936160837100132
flow07,276,7,direct_candidate_supported,True,True,,550223008952.4695,566478691032.4828,16255682080.013306,2.9543806448518657,129774012142.90648,168692872809.0738,38918860666.16731,29.98971829838324,0.23585711617181188,0.2977920890574164,0.06193497288560451,26.259531147869847
flow07,398,7,direct_candidate_supported,True,True,,2436196654752.4307,2450173128360.4404,13976473608.009766,0.5737005500251815,1031267037178.7805,1333931217783.7126,302664180604.9321,29.34876900874533,0.42331025911517767,0.5444232500730783,0.12111299095790068,28.61092741079712
flow01,275,1,direct_candidate_supported,True,True,,1198157099812.2795,1191694749988.8552,-6462349823.424316,-0.5393574702713693,299235867049.43225,384852601980.5836,85616734931.15137,28.611789012915324,0.24974677118410835,0.32294562175773855,0.07319885057363021,29.30922799385041
flow05,257,5,direct_candidate_supported,True,True,,1994244540529.6677,2074838179080.2126,80593638550.54492,4.041311730463075,890850725668.5829,1144469819541.4646,253619093872.8817,28.469314394119255,0.4467108760051937,0.5515947369200689,0.10488386091487517,23.47913752466052
flow03,415,3,short_gap_assisted,True,True,,1308939640665.7322,1364637647047.1494,55698006381.41724,4.2552005188787,896758433125.648,1144337191192.8955,247578758067.24756,27.608188439813475,0.6851029682847353,0.8385648700730574,0.15346190178832209,22.399830228810494
