scope_type,scope_value,baseline_valid_n,variant_valid_n,variant_invalid_n,variant_valid_pct,metric,unit,n_metric,signed_median,signed_q25,signed_q75,abs_median,abs_p90,abs_p95,abs_max,positive_n,negative_n,zero_n,abs_gt_5_n,abs_gt_5_pct,abs_gt_10_n,abs_gt_10_pct,abs_gt_20_n,abs_gt_20_pct,abs_gt_0p02_n,abs_gt_0p02_pct,abs_gt_0p05_n,abs_gt_0p05_pct,abs_gt_0p10_n,abs_gt_0p10_pct
overall,all,2422,2422,0,100.0,q_vessel_delta_pct,percent,2422,0.6688336005675346,-0.26418421141818194,1.627245603258324,1.0543211803359305,2.780546824724892,3.593193120223133,11.805912258035463,1638,784,0,34,1.4037985136251032,2,0.08257638315441784,0,0.0,,,,,,
overall,all,2422,2422,0,100.0,q_tail_delta_pct,percent,2422,4.722443799293806,0.7553938249523867,8.978646979631556,5.3517371879083,13.851655801658415,16.543864891144235,71.94333854999316,1916,506,0,1291,53.30305532617671,524,21.635012386457472,60,2.477291494632535,,,,,,
overall,all,2422,2422,0,100.0,ratio_delta,absolute_ratio,2422,0.023695757455563515,0.00026183283914198163,0.0482230098746215,0.029900283108352743,0.07506183369416183,0.09778015513322344,0.27368635277854275,1821,601,0,,,,,,,1605,66.26754748142031,647,26.71345995045417,113,4.665565648224608
overall,all,2422,2422,0,100.0,ratio_delta_pct,percent,2422,4.040561629280155,0.05705805543708306,8.298217542750674,4.929521071127699,12.898087700965737,15.860982510570576,64.25809425738804,1821,601,0,1197,49.421965317919074,472,19.48802642444261,44,1.8166804293971923,,,,,,
flow,flow01,486,486,0,100.0,q_vessel_delta_pct,percent,486,0.619340507849783,-0.3248884222666048,1.5712082128914084,1.0081302707001227,2.7633585659916435,3.403646076365351,5.192307230817967,318,168,0,2,0.411522633744856,0,0.0,0,0.0,,,,,,
flow,flow01,486,486,0,100.0,q_tail_delta_pct,percent,486,5.0212733023109415,1.083133021915506,8.810381114897984,5.618279411840227,13.47643978048095,15.96643152818461,39.4310878465654,387,99,0,270,55.55555555555556,98,20.16460905349794,11,2.263374485596708,,,,,,
flow,flow01,486,486,0,100.0,ratio_delta,absolute_ratio,486,0.025888167498779036,0.003902884078644739,0.04828648407643571,0.031000348889659857,0.07519510395691287,0.09241420790992005,0.2164118355417035,379,107,0,,,,,,,317,65.22633744855968,128,26.337448559670783,18,3.7037037037037037
flow,flow01,486,486,0,100.0,ratio_delta_pct,percent,486,4.356829035237123,0.691967377964535,8.335730059776079,5.132633703339534,12.76609217048984,15.684250186666628,34.921473487278874,379,107,0,245,50.41152263374486,87,17.901234567901234,8,1.646090534979424,,,,,,
flow,flow03,468,468,0,100.0,q_vessel_delta_pct,percent,468,0.5535953445258336,-0.2860057051502987,1.6432487875407698,1.059971301993074,2.857561786041246,3.6022792792500935,9.107155352004469,305,163,0,9,1.9230769230769231,0,0.0,0,0.0,,,,,,
flow,flow03,468,468,0,100.0,q_tail_delta_pct,percent,468,4.718381692674475,0.4229564574466195,9.398859494731543,5.370658747515002,14.110160279020851,16.513348473414908,49.298854435125776,362,106,0,252,53.84615384615385,110,23.504273504273506,14,2.9914529914529915,,,,,,
