bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,239311778.733322,0.429076590604661,2.03721988446567
5,9,7,138091014.288464,0.24759174796014,1.17554498012396
10,14,12,12155164.2226829,0.0217937305489691,0.103474815926172
15,19,17,24580473.2978971,0.0440718201750678,0.209249328374495
20,24,22,22473207.3601393,0.0402935753730098,0.191310537007936
25,29,27,5401383.36269256,0.00968446755976645,0.0459810446787974
30,34,32,1137861.98623349,0.00204014171059993,0.0096864227761878
35,39,37,10948462.3941091,0.0196301617132794,0.093202371448915
40,44,42,-3591407.77064153,-0.00643925263459414,-0.0305730347344441
45,49,47,4556856.31182307,0.00817026383114724,0.0387917315989856
50,54,52,4393639.12705904,0.00787762184947244,0.0374022918645615
55,59,57,19065415.4398737,0.0341835387238438,0.162300592328936
60,64,62,7163056.58185408,0.012843078233417,0.0609778648562355
65,69,67,-1524830.78357044,-0.00273396151801005,-0.0129806213851125
70,74,72,-9146673.5232418,-0.0163996252566403,-0.0778640536495636
75,79,77,-6521041.21200448,-0.0116919699700923,-0.0555124987780882
80,84,82,5580318.01523066,0.0100052903419064,0.0475042845046848
85,89,87,1170152.06078255,0.00209803654206713,0.0099613026098943
90,94,92,20280.2711175689,3.6361727089754e-05,0.000172642449117
95,99,97,-3185902.3957837,-0.00571219747401321,-0.0271210374391557
100,104,102,29173382.026786,0.0523067245695819,0.248347967979924
105,109,107,-3882215.41353061,-0.00696065928074034,-0.033048630026009
110,114,112,-10728890.9075426,-0.0192364786887805,-0.0913331972659197
115,119,117,-6370222.676899,-0.0114215582787599,-0.0542286066090979
