scan_id,flow_mm_s,target_r_um,n_frames,ri_r_mean,ri_r_q1,ri_r_median,ri_r_q3,ri_r_iqr,ri_r_min,ri_r_max,ri_r_negative_n,ri_r_negative_fraction,T_median,actual_r_median_um,abs_depth_error_median_um,abs_depth_error_max_um
flow01,1,0,486,0.55928811494751018,0.33337090607107711,0.51219038186661292,0.7120527894530394,0.37868188338196229,-0.1985201171341385,4.0467626378663883,5,0.010288065843621399,12367.5,2.6500000000000115,2.6500000000000115,2.6500000000000115
flow01,1,10,486,0.54417832184060189,0.33930719537933107,0.4959375643606424,0.67432079467943329,0.33501359930010222,-0.10739968133268819,2.5868082139372754,1,0.00205761316872428,12368.5,9.3500000000000121,0.64999999999998792,0.64999999999998792
flow01,1,20,486,0.44991566657423293,0.24979770303887638,0.40117982584630307,0.58747824806270799,0.3376805450238316,-0.15990177744384759,2.5988406298574698,2,0.00411522633744856,12369.5,22.750000000000007,2.7500000000000071,2.7500000000000071
flow01,1,30,486,0.4419776077760042,0.26516770450163119,0.42017764714934858,0.5554928102957194,0.29032510579408821,-0.30949125758003732,2.8582976806317948,8,0.01646090534979424,12370.5,29.450000000000014,0.5499999999999865,0.5499999999999865
flow01,1,40,486,0.37014901509901799,0.22101235123398943,0.32720398749739038,0.47744214991034833,0.2564297986763589,-0.079306512680406199,1.3757477950833099,6,0.012345679012345678,12371.5,42.850000000000016,2.8500000000000156,2.8500000000000156
flow01,1,50,486,0.36866823702203327,0.21042524708170668,0.33999732643397024,0.48570081398552212,0.27527556690381544,-0.23371507780432049,1.3558053467745022,13,0.026748971193415638,12372.5,49.550000000000011,0.44999999999998863,0.44999999999998863
flow01,1,60,486,0.36239441396311789,0.17777998569762551,0.31298413988990686,0.45055217175960249,0.27277218606197695,-0.1396606576971032,5.5706942693321135,13,0.026748971193415638,12373.5,62.95000000000001,2.9500000000000099,2.9500000000000099
flow01,1,70,486,0.3020787135752469,0.16879699663098147,0.27156878785588856,0.40275260344170083,0.23395560681071936,-0.1208296947920309,1.4570860629760649,11,0.022633744855967079,12374.5,69.65000000000002,0.3499999999999801,0.3499999999999801
flow01,1,80,486,0.26014403632543021,0.12868873507703421,0.2390638495656113,0.35280201176254555,0.22411327668551134,-0.15307690103321789,1.0271287756756151,16,0.03292181069958848,12375.5,83.050000000000011,3.0500000000000114,3.0500000000000114
flow01,1,90,486,0.24446247987884301,0.12618201295644726,0.21949412023196715,0.33566518795524358,0.20948317499879632,-0.34932985490503432,1.2907388876428827,27,0.055555555555555552,12376.5,89.750000000000014,0.24999999999998579,0.24999999999998579
flow01,1,100,486,0.20296486570799624,0.10354655019635103,0.1864602770091629,0.29090794925739794,0.1873613990610469,-0.32766593396524912,0.93159404590482442,37,0.076131687242798354,12377.5,103.15000000000002,3.1500000000000199,3.1500000000000199
flow01,1,110,486,0.19236649730984584,0.083413642792222131,0.17909836116429934,0.27693271143811182,0.19351906864588969,-0.31838534513080741,0.76585959708971185,30,0.061728395061728392,12378.5,109.84999999999999,0.15000000000000568,0.15000000000000568
flow01,1,120,486,0.18243325246563449,0.08195606602490968,0.16139917806322146,0.27391705259983135,0.19196098657492167,-0.18508983797348411,1.0846262375498861,47,0.096707818930041156,12379.5,123.25,3.25,3.25
flow01,1,130,486,0.17249955869375366,0.079600195122120132,0.15805225418240781,0.25220639793982302,0.17260620281770289,-0.19849011770955499,1.2243509022439685,48,0.098765432098765427,12380.5,129.95000000000002,0.049999999999982947,0.049999999999982947
