scan_id,flow_mm_s,metric_label,n_paired,primary_run001_median,primary_run001_q1,primary_run001_q3,fixed128_qc_median,fixed128_qc_q1,fixed128_qc_q3,fixed128_vs_primary_median_change_pct
flow01,1,Q_T,486,1363099623102.999,1172789823155.8987,1601425756674.7271,1114268911397.5063,954965340474.96997,1304988976375.8516,-18.254770780366538
flow01,1,Q_V,486,2254206200871.9404,1929822271376.4424,2625067454961.2036,2072395770882.2681,1770892482319.5203,2419158763701.7417,-8.0653859402634502
flow01,1,RI_tail,486,0.1200366113631912,0.10336287152188353,0.13932897409870085,0.10781351656085414,0.091292031286984252,0.12702164654156256,-10.182805615325151
flow01,1,R_B_relative_tail_burden,486,0.596951936379571,0.51400393037890724,0.69303395452759031,0.53621055230191961,0.45402927305684337,0.63176667923339291,-10.175255389242775
flow01,1,Sbar_T,486,15390848.480729202,13283664.774186885,17691373.221005462,17410451.740586072,14921333.444921432,20390452.755872715,13.122104751960912
flow01,1,Sbar_V,486,126523022.78553356,109538002.64342821,148364923.68778551,161047829.10697511,137610615.53919387,187970832.14383537,27.287370757782003
flow03,3,Q_T,468,1321717384937.3279,1121718609032.5898,1547776302867.5205,1083547445435.5652,914788409273.47351,1247912782103.7517,-18.019732676290403
flow03,3,Q_V,468,2290347428561.3306,1939761938972.7158,2708285373719.8975,2112459763732.6248,1787573842973.79,2476958032461.0654,-7.7668419476622814
flow03,3,RI_tail,468,0.11468684369855794,0.095017287842877357,0.13864230090259655,0.1043541068741782,0.083994392206764662,0.1235150244228489,-9.00952235771544
flow03,3,R_B_relative_tail_burden,468,0.57039566614157833,0.47269765408776898,0.68941361585040206,0.51892474832689894,0.41773264756361339,0.6143337338735102,-9.0237217549096442
flow03,3,Sbar_T,468,14952747.080187935,13082679.239529833,16950194.823288973,16930428.834930733,14293568.89489805,19498637.220371153,13.226210168184968
flow03,3,Sbar_V,468,131772029.85389292,108460836.55763747,150791821.20262402,164142161.68961251,138900588.23660398,192480527.40454179,24.565252483103706
flow05,5,Q_T,491,1320784413673.864,1112280544873.0396,1539370159455.6799,1067707900188.6428,903458311062.33301,1255019785037.499,-19.161076619708833
flow05,5,Q_V,491,2338105348942.6016,1893149162604.6108,2762397954650.3862,2147724222654.4719,1708920770470.9443,2561034575582.4771,-8.1425384178787628
flow05,5,RI_tail,491,0.1139710492110269,0.095460879332231713,0.13773306140052577,0.1000206357093518,0.0819292296212209,0.12451801700937951,-12.240313306096485
flow05,5,R_B_relative_tail_burden,491,0.56683316910951476,0.47489163022313119,0.6850310827476247,0.49742696893019228,0.40742769463061079,0.61924238850451063,-12.244555181616919
flow05,5,Sbar_T,491,14948574.560281008,12703195.178467661,17433502.487070374,16682935.940447573,14116536.110348979,19609684.141210958,11.60218570120281
flow05,5,Sbar_V,491,131389668.65784197,107310919.73786391,156733467.26224977,166901674.27150047,132794984.15635005,199028119.73731375,27.028004542835856
flow07,7,Q_T,493,1272731174395.8386,1067766531941.5116,1500154093190.689,1116809519882.8711,937423513230.55908,1312594395857.9299,-12.250949583833604
flow07,7,Q_V,493,1673677772032.0164,1401447703399.355,1998157951685.3965,1553295580138.7029,1300535107022.1982,1871990188928.4229,-7.1926743549421195
flow07,7,RI_tail,493,0.15329320834104701,0.12531031615502261,0.1820265317049197,0.14307729693402579,0.1166649222211097,0.17262416917549131,-6.6642948618394353
flow07,7,R_B_relative_tail_burden,493,0.76237482865987272,0.62312234826057256,0.90511357980326079,0.71142960042437875,0.58015810364337661,0.85847984118863774,-6.6824383912369134
flow07,7,Sbar_T,493,15442352.863554891,12853864.179456107,18471326.056186281,17450148.748169892,14647242.394227512,20509287.435280196,13.001878032158876
flow07,7,Sbar_V,493,100827787.17296246,84186485.806657746,120790201.2949578,120701828.61538032,101063198.90390173,145466607.80012989,19.710877328216519
flow10,10,Q_T,484,1371539929611.8394,1163264550321.1995,1590527249760.3025,1138387920525.5723,972277156547.94275,1334654218782.1228,-16.999287009620758
flow10,10,Q_V,484,2336262125396.6445,1991292827921.3936,2694092397018.0459,2173679806567.5093,1839628200542.939,2483729476012.4849,-6.959078652252364
flow10,10,RI_tail,484,0.11703431216502874,0.10061540478090128,0.13999903089756355,0.10587973603057985,0.088080448320067381,0.12516342454093798,-9.5310306252066983
flow10,10,R_B_relative_tail_burden,484,0.58202748565279316,0.50044504685728031,0.69624045174493909,0.52657249408791218,0.43809643167938433,0.62247625582428578,-9.5278990995903765
flow10,10,Sbar_T,484,15794668.471255992,13641163.372012541,18408338.04360142,17787311.258212101,15191830.571061637,20853972.168470707,12.61592030616173
flow10,10,Sbar_V,484,131878640.71632229,112518374.41353816,157202117.16394186,168920911.32358056,142950931.88840252,193023225.71661499,28.088150140202082
