scan_id,flow_mm_s,n_valid_frames,frame_min,frame_max,q_vessel_n,q_vessel_mean,q_vessel_sd,q_vessel_min,q_vessel_q1,q_vessel_median,q_vessel_q3,q_vessel_iqr,q_vessel_max,q_vessel_relative_iqr,source_mean_n,source_mean_mean,source_mean_sd,source_mean_min,source_mean_q1,source_mean_median,source_mean_q3,source_mean_iqr,source_mean_max,source_mean_relative_iqr,q_tail_n,q_tail_mean,q_tail_sd,q_tail_min,q_tail_q1,q_tail_median,q_tail_q3,q_tail_iqr,q_tail_max,q_tail_relative_iqr,ri_tail_n,ri_tail_mean,ri_tail_sd,ri_tail_min,ri_tail_q1,ri_tail_median,ri_tail_q3,ri_tail_iqr,ri_tail_max,ri_tail_relative_iqr,tail_mean_n,tail_mean_mean,tail_mean_sd,tail_mean_min,tail_mean_q1,tail_mean_median,tail_mean_q3,tail_mean_iqr,tail_mean_max,tail_mean_relative_iqr,ratio_tail_to_vessel_n,ratio_tail_to_vessel_mean,ratio_tail_to_vessel_sd,ratio_tail_to_vessel_min,ratio_tail_to_vessel_q1,ratio_tail_to_vessel_median,ratio_tail_to_vessel_q3,ratio_tail_to_vessel_iqr,ratio_tail_to_vessel_max,ratio_tail_to_vessel_relative_iqr
flow01,1,486,0,495,486,2314707533433.6064,614486635429.7644,705421024238.4989,1929822271376.4424,2254206200871.9404,2625067454961.2036,695245183584.76123,5176640060715.5898,0.30842128963882554,486,131709027.83563043,37581953.469344363,42900438.802767113,109538002.64342821,126523022.78553356,148364923.68778551,38826921.0443573,405391518.59595937,0.30687633119682867,486,1378348884239.9517,334395234941.2077,158380973395.30862,1172789823155.8987,1363099623102.999,1601425756674.7271,428635933518.82837,2718951132468.1602,0.31445679116473474,486,0.12401141420574863,0.03313821718799078,0.045132393246785897,0.10336287152188353,0.1200366113631912,0.13932897409870088,0.035966102576817344,0.29928027831127912,0.29962610713822785,486,15638356.325073706,3580594.286491456,2771320.619340484,13283664.774186885,15390848.480729202,17691373.221005462,4407708.4468185771,27511325.068171918,0.28638501979520137,486,0.61674095881816138,0.16479562229511582,0.224519780320243,0.51400393037890724,0.596951936379571,0.69303395452759031,0.17903002414868308,1.4883305079395726,0.29990693259908802
flow03,3,468,0,499,468,2363075862751.4116,689685198277.38574,495289857498.36328,1939761938972.7158,2290347428561.3306,2708285373719.8975,768523434747.18164,5751492849288.1602,0.33554884519416583,468,135011950.73056576,41101130.142928384,38784974.992513664,108460836.55763747,131772029.85389292,150791821.20262402,42330984.644986555,357590895.29744804,0.32124408109917246,468,1328348047439.095,332992120482.28882,236353128347.2059,1121718609032.5898,1321717384937.3279,1547776302867.5205,426057693834.93066,2446011425885.4551,0.32235158490794391,468,0.11878289958035061,0.034416738910560608,0.040419999060277101,0.095017287842877385,0.11468684369855794,0.13864230090259658,0.043625013059719192,0.23698377490663061,0.38038376201530888,468,15127595.728180103,3458037.9577507013,3722096.5094048176,13082679.239529833,14952747.080187935,16950194.823288973,3867515.5837591402,26815350.989390731,0.25864916747528716,468,0.5907438400815892,0.171167448866135,0.2009950720012785,0.47269765408776898,0.57039566614157833,0.68941361585040206,0.21671596176263308,1.1783282147942595,0.37993970611417976
flow05,5,491,0,499,491,2356916350172.3955,674091743397.70056,553696991704.00171,1893149162604.6108,2338105348942.6016,2762397954650.3862,869248792045.77539,5083449138721.8877,0.37177486140172833,491,135050599.70024163,40995964.541019589,46001084.1528024,107310919.73786391,131389668.65784197,156733467.26224977,49422547.524385855,361867288.86053127,0.37615246334998714,491,1326255563290.7773,339157309249.50452,198595535957.37369,1112280544873.0396,1320784413673.864,1539370159455.6799,427089614582.64038,2502718108463.9141,0.32336058039529525,491,0.1185085489429028,0.034430301248521443,0.043300769875884298,0.095460879332231713,0.1139710492110269,0.13773306140052577,0.042272182068294056,0.3163721211231168,0.37090280699288458,491,15173587.89368701,3712058.0084047252,4424996.6985431612,12703195.178467661,14948574.560281008,17433502.487070374,4730307.308602713,32844069.664880767,0.31643868714889634,491,0.58937833835063735,0.17123791158841181,0.2153145727937559,0.47489163022313119,0.56683316910951487,0.6850310827476247,0.21013945252449351,1.5733624000065904,0.37072539854119507
flow07,7,493,0,498,493,1745269769909.4941,559646964064.50244,466820510882.78149,1401447703399.355,1673677772032.0164,1998157951685.3965,596710248286.0415,4966531043481.7236,0.35652636263524856,493,106336665.08845465,33387521.350717783,35003050.46077171,84186485.806657746,100827787.17296246,120790201.2949578,36603715.488300055,256485609.52598369,0.36303202236809129,493,1289512137796.0669,340455068873.92328,129774012142.90648,1067766531941.5116,1272731174395.8386,1500154093190.689,432387561249.17737,2390065185275.5518,0.33973204235720111,493,0.15646303248475954,0.04600097831676183,0.043334183208658103,0.12531031615502269,0.15329320834104709,0.1820265317049197,0.056716215549897003,0.3346681830864936,0.36998518175518014,493,15761867.198700899,4049558.0472958088,2916738.5477991165,12853864.179456107,15442352.863554891,18471326.056186281,5617461.8767301738,31365684.846135851,0.36376981709748418,493,0.77814628926291707,0.2287813336223779,0.215455797711924,0.62312234826057267,0.76237482865987272,0.90511357980326079,0.28199123154268813,1.6644379064225927,0.36988528600607329
flow10,10,484,0,499,484,2391666473867.3687,641310714929.69849,432223510199.90369,1991292827921.3936,2336262125396.6445,2694092397018.0459,702799569096.65234,5535566286474.4434,0.30082222429443051,484,137891054.77946159,39875253.3704575,48357392.494507924,112518374.41353816,131878640.71632229,157202117.16394186,44683742.750403702,394116698.32594472,0.33882471420463545,484,1384879071009.2917,328194142825.2356,235516573673.46292,1163264550321.1995,1371539929611.8394,1590527249760.3025,427262699439.10303,2257987148946.8359,0.31152042329531232,484,0.12115864300221135,0.031943144686037005,0.030499568333299601,0.10061540478090128,0.1170343121650288,0.13999903089756355,0.039383626116662268,0.27453740173489372,0.33651350093917626,484,15942516.157565217,3557991.4185753851,5172973.8899088856,13641163.372012541,15794668.471255992,18408338.04360142,4767174.6715888791,26670332.667906526,0.30182176221453755,484,0.60255676127456048,0.15885753141092596,0.1516781012464451,0.50044504685728042,0.58202748565279316,0.6962404517449392,0.19579540488765879,1.3651703947017657,0.3364023344499919
