scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count,comparison,map_similarity_to_6bin_51
D128_F05_V01,128,5,common_grid,absolute,8,detrended_51,mean,0.083786190998272531,-0.062994954965747862,0.35863923813231297,160,141,19,0.4375,4,1,12.5,0.09765625,0.35863923813231297,,,,,141,15,15,0.3125,0.1875,0.9375,0.125,1,37.5,12.5,212.5,0,225,0.29296875,0,1.7578125,0.26266886705315989,,,,,source_bins,0.90378340849233441
D128_F05_V01,128,5,common_grid,normalized,4,detrended_51,mean,0.20066885772481327,0.063634574553394135,0.38266673628021081,20,20,0,0.375,2,1,12.800000000000001,0.10000000000000001,0.38266673628021081,,,,,20,2,2,0.625,0.375,0.875,0.25,1,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.36077770029628331,,,,,source_bins,0.72330614415074368
D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.18537215424459996,-0.026442324263585691,0.36894302446763749,30,29,1,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.36894302446763749,,,,,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,89.600000000000009,0,102.40000000000001,0.10000000000000001,0,0.80000000000000004,0.31599371097695861,,,,,source_bins,1
D128_F05_V01,128,5,common_grid,normalized,8,detrended_51,mean,0.17805822466425572,-0.067020942913670806,0.35817300576429045,40,38,2,0.4375,4,1,12.800000000000001,0.10000000000000001,0.35817300576429045,,,,,38,4,4,0.5,0.3125,0.8125,0.25,0.875,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.30194627711062322,,,,,source_bins,0.8622485050963441
D128_F07_V01,128,7,common_grid,absolute,4,detrended_51,mean,0.11056505717913323,-0.025692818406770956,0.37246195905951524,80,78,2,0.375,2,1,12.5,0.09765625,0.37246195905951524,,,,,78,8,8,0.375,0.125,0.875,0,1,25,12.5,112.5,0,125,0.1953125,0,0.9765625,0.26018052987411994,,,,,source_bins,0.83803727930185812
D128_F07_V01,128,7,common_grid,absolute,6,detrended_51,mean,0.10408307201844857,-0.015587946270325337,0.34621805280270024,120,117,3,0.41666666666666669,3,1,12.5,0.09765625,0.34621805280270024,,,,,117,12,12,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,50,12.5,137.5,0,150,0.390625,0,1.171875,0.23743746473499283,,,,,source_bins,0.99999999999999989
D128_F07_V01,128,7,common_grid,absolute,8,detrended_51,mean,0.095399527659197389,-0.06577391579711761,0.34079755682041196,160,149,11,0.3125,3,1,12.5,0.09765625,0.34079755682041196,,,,,149,15,15,0.3125,0.1875,0.9375,0.125,1,37.5,12.5,212.5,0,225,0.29296875,0,1.7578125,0.23175533176906676,,,,,source_bins,0.86286582398324496
D128_F07_V01,128,7,common_grid,normalized,4,detrended_51,mean,0.2040724392518487,0.083093083996307257,0.37157188287697634,20,20,0,0.375,2,1,12.800000000000001,0.10000000000000001,0.37157188287697634,,,,,20,2,2,0.5,0.375,0.625,0.25,0.75,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.33946789919573361,,,,,source_bins,0.7757341518292602
D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,0.18375800483167051,0.039941901887028147,0.34504311443453484,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.34504311443453484,,,,,30,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.33068247142264828,,,,,source_bins,1
D128_F07_V01,128,7,common_grid,normalized,8,detrended_51,mean,0.17934817835156799,-0.014680678505240678,0.33993201761313641,40,39,1,0.3125,3,1,12.800000000000001,0.10000000000000001,0.33993201761313641,,,,,39,4,4,0.375,0.3125,0.5625,0.25,0.625,12.800000000000001,12.800000000000001,89.600000000000009,0,102.40000000000001,0.10000000000000001,0,0.80000000000000004,0.30150592712532243,,,,,source_bins,0.80244659194543699
D128_F10_V01,128,10,common_grid,absolute,4,detrended_51,mean,0.10485785817955065,-0.079814750703446416,0.30551388533216606,80,73,7,0.375,2,2,37.5,0.29296875,0.30551388533216606,,,,,73,8,8,0.5,0.375,0.875,0.25,1,50,12.5,187.5,0,200,0.390625,0,1.5625,0.25779411919024547,,,,,source_bins,0.87361421075992873
D128_F10_V01,128,10,common_grid,absolute,6,detrended_51,mean,0.09265454587812702,-0.10305043565178212,0.29296788240460619,120,102,18,0.41666666666666669,3,2,37.5,0.29296875,0.29296788240460619,,,,,102,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,187.5,0,200,0.29296875,0,1.5625,0.2358217035382402,,,,,source_bins,1
D128_F10_V01,128,10,common_grid,absolute,8,detrended_51,mean,0.09244214408798776,-0.088747797609654386,0.30291066815544027,160,135,25,0.3125,3,1,12.5,0.09765625,0.30291066815544027,,,,,135,14,14,0.4375,0.1875,0.9375,0.125,1,37.5,12.5,187.5,0,200,0.29296875,0,1.5625,0.23452203331349028,,,,,source_bins,0.90394227127787707
D128_F10_V01,128,10,common_grid,normalized,4,detrended_51,mean,0.17791718391849848,0.053112833362880328,0.30680955827314554,20,20,0,0.375,2,2,38.400000000000006,0.30000000000000004,0.30680955827314554,,,,,20,2,2,0.375,0.375,0.375,0.25,0.5,25.600000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.20000000000000001,0,0.40000000000000002,0.30473316143452311,,,,,source_bins,0.7653821248354129
D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,0.15741809868884291,-0.025427801852254212,0.29717468045152801,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.29717468045152801,,,,,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.2893694115144369,,,,,source_bins,1
D128_F10_V01,128,10,common_grid,normalized,8,detrended_51,mean,0.14861833169193117,-0.062193481305233729,0.30313089631448353,40,38,2,0.3125,3,1,12.800000000000001,0.10000000000000001,0.30313089631448353,,,,,38,4,4,0.5,0.3125,0.9375,0.25,1,25.600000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.20000000000000001,0,0.40000000000000002,0.26767040996097657,,,,,source_bins,0.85349090275206929
D235_F01_V01,235,1,common_grid,absolute,4,detrended_51,mean,0.033671287241730158,-0.1483407513439183,0.27085303815889217,80,48,32,0.625,3,1,12.5,0.053191489361702128,0.27085303815889217,,,,,48,5,5,0.625,0.375,0.875,0.25,1,12.5,12.5,87.5,0,100,0.053191489361702128,0,0.42553191489361702,0.24717198419997613,,,,,source_bins,0.86799378483851464
D235_F01_V01,235,1,common_grid,absolute,6,detrended_51,mean,0.034554077742993065,-0.20517539345725375,0.23213723931165803,120,73,47,0.58333333333333337,4,1,12.5,0.053191489361702128,0.23213723931165803,,,,,73,8,8,0.75,0.41666666666666669,0.91666666666666663,0.33333333333333331,1,37.5,12.5,112.5,0,125,0.15957446808510639,0,0.53191489361702127,0.2207796190187995,,,,,source_bins,0.99999999999999989
D235_F01_V01,235,1,common_grid,absolute,8,detrended_51,mean,0.02666615760113248,-0.24613513202321022,0.23123873765114672,160,95,65,0.5625,5,1,12.5,0.053191489361702128,0.23123873765114672,,,,,95,10,10,0.75,0.3125,0.9375,0.25,1,37.5,12.5,137.5,0,150,0.15957446808510639,0,0.63829787234042556,0.20759465430721097,,,,,source_bins,0.91879854603408107
