diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,control
128,absolute,6,detrended_51,mean,1,12,0,0.16666666666666666,0.083333333333333329,275,300,287.5,2.1484375,2.34375,2.24609375,0.058679029690813858,-0.073213990072635043,0.075003908987382129,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.07500390898738213}, {""flow_mm_s"": 3.0, ""rho"": -0.07321399007263504}, {""flow_mm_s"": 5.0, ""rho"": 0.05867902969081386}, {""flow_mm_s"": 7.0, ""rho"": 0.06979593059308607}, {""flow_mm_s"": 10.0, ""rho"": 0.025279951155560993}]",area_ztop
128,absolute,6,detrended_51,mean,1,13,0,0.16666666666666666,0.083333333333333329,300,325,312.5,2.34375,2.5390625,2.44140625,0.058954798588972436,0.014462486477713582,0.13971640486981235,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.023127183457390732}, {""flow_mm_s"": 3.0, ""rho"": 0.12322419638086006}, {""flow_mm_s"": 5.0, ""rho"": 0.13971640486981235}, {""flow_mm_s"": 7.0, ""rho"": 0.058954798588972436}, {""flow_mm_s"": 10.0, ""rho"": 0.014462486477713582}]",area_ztop
128,absolute,6,detrended_51,mean,1,14,0,0.16666666666666666,0.083333333333333329,325,350,337.5,2.5390625,2.734375,2.63671875,0.017499318443516172,-0.0173152647110494,0.039048080632253887,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.03904808063225389}, {""flow_mm_s"": 3.0, ""rho"": 0.01749931844351617}, {""flow_mm_s"": 5.0, ""rho"": 0.030163940312743574}, {""flow_mm_s"": 7.0, ""rho"": 0.0008614784081349691}, {""flow_mm_s"": 10.0, ""rho"": -0.0173152647110494}]",area_ztop
128,absolute,6,detrended_51,mean,1,15,0,0.16666666666666666,0.083333333333333329,350,375,362.5,2.734375,2.9296875,2.83203125,0.057699210642872506,0.035090342432850009,0.13698221339503441,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.04954410043441239}, {""flow_mm_s"": 3.0, ""rho"": 0.057699210642872506}, {""flow_mm_s"": 5.0, ""rho"": 0.06590322468405813}, {""flow_mm_s"": 7.0, ""rho"": 0.1369822133950344}, {""flow_mm_s"": 10.0, ""rho"": 0.03509034243285001}]",area_ztop
128,absolute,6,detrended_51,mean,1,16,0,0.16666666666666666,0.083333333333333329,375,400,387.5,2.9296875,3.125,3.02734375,0.028978371553402119,0.0045270029310833723,0.062820745227186447,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.02897837155340212}, {""flow_mm_s"": 3.0, ""rho"": 0.06282074522718645}, {""flow_mm_s"": 5.0, ""rho"": 0.004527002931083372}, {""flow_mm_s"": 7.0, ""rho"": 0.015899902515090276}, {""flow_mm_s"": 10.0, ""rho"": 0.03365888215270418}]",area_ztop
128,absolute,6,detrended_51,mean,1,17,0,0.16666666666666666,0.083333333333333329,400,425,412.5,3.125,3.3203125,3.22265625,0.036680927687682739,0.002189320669497564,0.12133536506442939,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.02854039162670751}, {""flow_mm_s"": 3.0, ""rho"": 0.03668092768768274}, {""flow_mm_s"": 5.0, ""rho"": 0.065734417379642}, {""flow_mm_s"": 7.0, ""rho"": 0.12133536506442939}, {""flow_mm_s"": 10.0, ""rho"": 0.002189320669497564}]",area_ztop
128,absolute,6,detrended_51,mean,1,18,0,0.16666666666666666,0.083333333333333329,425,450,437.5,3.3203125,3.515625,3.41796875,0.054542846485825497,-0.028125866602289593,0.080711384096685643,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.00975596813910748}, {""flow_mm_s"": 3.0, ""rho"": 0.08071138409668564}, {""flow_mm_s"": 5.0, ""rho"": -0.028125866602289593}, {""flow_mm_s"": 7.0, ""rho"": 0.0545428464858255}, {""flow_mm_s"": 10.0, ""rho"": 0.05727362729978153}]",area_ztop
128,absolute,6,detrended_51,mean,1,19,0,0.16666666666666666,0.083333333333333329,450,475,462.5,3.515625,3.7109375,3.61328125,-0.031515689182168335,-0.081946600881689327,0.03272383258582396,2,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.031515689182168335}, {""flow_mm_s"": 3.0, ""rho"": -0.03225767691494759}, {""flow_mm_s"": 5.0, ""rho"": 0.00787606786715282}, {""flow_mm_s"": 7.0, ""rho"": 0.03272383258582396}, {""flow_mm_s"": 10.0, ""rho"": -0.08194660088168933}]",area_ztop
128,absolute,6,detrended_51,mean,1,20,0,0.16666666666666666,0.083333333333333329,475,500,487.5,3.7109375,3.90625,3.80859375,0.026718466989805317,-0.039501984345764213,0.067853701366731148,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.06785370136673115}, {""flow_mm_s"": 3.0, ""rho"": 0.026718466989805317}, {""flow_mm_s"": 5.0, ""rho"": 0.006257475547958975}, {""flow_mm_s"": 7.0, ""rho"": 0.032907526970121344}, {""flow_mm_s"": 10.0, ""rho"": -0.03950198434576421}]",area_ztop
128,absolute,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,0.24204532203980597,0.16804548111091794,0.28911566136096983,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.24204532203980597}, {""flow_mm_s"": 3.0, ""rho"": 0.16804548111091794}, {""flow_mm_s"": 5.0, ""rho"": 0.21856617076393042}, {""flow_mm_s"": 7.0, ""rho"": 0.28911566136096983}, {""flow_mm_s"": 10.0, ""rho"": 0.257484437720309}]",area_ztop
128,absolute,6,detrended_51,mean,2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,0.20609883278450611,0.15398822185269245,0.26896630143167971,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2689663014316797}, {""flow_mm_s"": 3.0, ""rho"": 0.19693259384376355}, {""flow_mm_s"": 5.0, ""rho"": 0.2259962582568332}, {""flow_mm_s"": 7.0, ""rho"": 0.15398822185269245}, {""flow_mm_s"": 10.0, ""rho"": 0.2060988327845061}]",area_ztop
128,absolute,6,detrended_51,mean,2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,0.17612201673110756,0.087034917230244119,0.23835332704093076,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.08703491723024412}, {""flow_mm_s"": 3.0, ""rho"": 0.17612201673110756}, {""flow_mm_s"": 5.0, ""rho"": 0.23835332704093076}, {""flow_mm_s"": 7.0, ""rho"": 0.11099004177368188}, {""flow_mm_s"": 10.0, ""rho"": 0.1799447726924342}]",area_ztop
128,absolute,6,detrended_51,mean,2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,0.17317415970768391,0.12771472781427629,0.22687288135902878,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.12771472781427629}, {""flow_mm_s"": 3.0, ""rho"": 0.1731741597076839}, {""flow_mm_s"": 5.0, ""rho"": 0.22687288135902878}, {""flow_mm_s"": 7.0, ""rho"": 0.19173343950520988}, {""flow_mm_s"": 10.0, ""rho"": 0.16335608898900658}]",area_ztop
128,absolute,6,detrended_51,mean,2,5,0.16666666666666666,0.33333333333333331,0.25,100,125,112.5,0.78125,0.9765625,0.87890625,0.16671007125834517,0.093412017272738609,0.19829552857780247,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.13188280764909793}, {""flow_mm_s"": 3.0, ""rho"": 0.09341201727273861}, {""flow_mm_s"": 5.0, ""rho"": 0.1943244333093414}, {""flow_mm_s"": 7.0, ""rho"": 0.19829552857780247}, {""flow_mm_s"": 10.0, ""rho"": 0.16671007125834517}]",area_ztop
128,absolute,6,detrended_51,mean,2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,0.16732655137063504,0.091085958884879165,0.22093484868491653,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.09108595888487916}, {""flow_mm_s"": 3.0, ""rho"": 0.1723530439995313}, {""flow_mm_s"": 5.0, ""rho"": 0.22093484868491653}, {""flow_mm_s"": 7.0, ""rho"": 0.16732655137063504}, {""flow_mm_s"": 10.0, ""rho"": 0.09864103839193852}]",area_ztop
128,absolute,6,detrended_51,mean,2,7,0.16666666666666666,0.33333333333333331,0.25,150,175,162.5,1.171875,1.3671875,1.26953125,0.10552171547020903,0.080080612168093021,0.15492032813580822,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.10552171547020903}, {""flow_mm_s"": 3.0, ""rho"": 0.08008061216809302}, {""flow_mm_s"": 5.0, ""rho"": 0.15492032813580822}, {""flow_mm_s"": 7.0, ""rho"": 0.12053571865942149}, {""flow_mm_s"": 10.0, ""rho"": 0.0940299565240723}]",area_ztop
128,absolute,6,detrended_51,mean,2,8,0.16666666666666666,0.33333333333333331,0.25,175,200,187.5,1.3671875,1.5625,1.46484375,0.12277861177989979,0.031242534545000099,0.14374036245256105,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1227786117798998}, {""flow_mm_s"": 3.0, ""rho"": 0.0312425345450001}, {""flow_mm_s"": 5.0, ""rho"": 0.14374036245256105}, {""flow_mm_s"": 7.0, ""rho"": 0.1070372777464518}, {""flow_mm_s"": 10.0, ""rho"": 0.13413922987276006}]",area_ztop
128,absolute,6,detrended_51,mean,2,9,0.16666666666666666,0.33333333333333331,0.25,200,225,212.5,1.5625,1.7578125,1.66015625,0.10449439941723671,-0.0043700480310408865,0.13687184511751485,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1044943994172367}, {""flow_mm_s"": 3.0, ""rho"": 0.09629866620405478}, {""flow_mm_s"": 5.0, ""rho"": 0.13687184511751485}, {""flow_mm_s"": 7.0, ""rho"": 0.13496387010247438}, {""flow_mm_s"": 10.0, ""rho"": -0.0043700480310408865}]",area_ztop
