scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,mode,predictor,rho_median,rho_min,rho_max,positive_cells,n_cells,source_bins,metric
D128_F01_V01,128,1,common_grid,absolute,detrended_101,X1,0.63858074627895278,0.31152608517432867,0.71334834663264768,20,20,,
D128_F01_V01,128,1,common_grid,absolute,detrended_101,source_area,0.63940449076896755,0.31346714318842794,0.71100766210825617,20,20,,
D128_F01_V01,128,1,common_grid,absolute,detrended_101,source_band_area,0.64342866600253112,0.30671575846535409,0.71417464577190937,120,120,,
D128_F01_V01,128,1,common_grid,absolute,detrended_31,X1,0.64436405643130956,0.30652576158789446,0.70985947977474528,20,20,,
D128_F01_V01,128,1,common_grid,absolute,detrended_31,source_area,0.64660034581180625,0.31578868969033436,0.70976807772205697,20,20,,
D128_F01_V01,128,1,common_grid,absolute,detrended_31,source_band_area,0.65004514372743416,0.30586027956075612,0.71298012886260631,120,120,,
D128_F01_V01,128,1,common_grid,absolute,detrended_51,X1,0.6444068639314795,0.32687850976727179,0.70402184484948804,20,20,,
D128_F01_V01,128,1,common_grid,absolute,detrended_51,source_area,0.64724042431871964,0.32703914356417779,0.7077494195862889,20,20,,
D128_F01_V01,128,1,common_grid,absolute,detrended_51,source_band_area,0.64512843608468196,0.31744334864063417,0.71201546584264119,120,120,,
D128_F01_V01,128,1,common_grid,absolute,raw,X1,0.64257192446216116,0.32079387746956961,0.70654991795070521,20,20,,
D128_F01_V01,128,1,common_grid,absolute,raw,source_area,0.63405984408739835,0.3224493761183132,0.69565658385750273,20,20,,
D128_F01_V01,128,1,common_grid,absolute,raw,source_band_area,0.63711882538881282,0.3073392055194557,0.70148732386326995,120,120,,
D128_F01_V01,128,1,common_grid,normalized,detrended_101,X1,0.41181549168728682,0.31667926704061872,0.56498691667644863,5,5,,
D128_F01_V01,128,1,common_grid,normalized,detrended_101,source_area,0.40420823010423079,0.31871134508261922,0.5644872873630189,5,5,,
D128_F01_V01,128,1,common_grid,normalized,detrended_101,source_band_area,0.41030858055770053,0.31170464102359929,0.56862627959613121,30,30,,
D128_F01_V01,128,1,common_grid,normalized,detrended_31,X1,0.44160306853688758,0.31437765091990616,0.55330803729523537,5,5,,
D128_F01_V01,128,1,common_grid,normalized,detrended_31,source_area,0.45042574245250161,0.32369216884005997,0.56956371344709655,5,5,,
D128_F01_V01,128,1,common_grid,normalized,detrended_31,source_band_area,0.44824278718664123,0.31373461484484338,0.56554866201980314,30,30,,
D128_F01_V01,128,1,common_grid,normalized,detrended_51,X1,0.43900737333341366,0.33207644101193884,0.56115570678063564,5,5,,
D128_F01_V01,128,1,common_grid,normalized,detrended_51,source_area,0.44208063811585424,0.33218631634645601,0.572728147530425,5,5,,
D128_F01_V01,128,1,common_grid,normalized,detrended_51,source_band_area,0.43932905097108743,0.32220556042293569,0.56944503505071364,30,30,,
D128_F01_V01,128,1,common_grid,normalized,raw,X1,0.41032432293645166,0.32586565415039442,0.55614964554704915,5,5,,
D128_F01_V01,128,1,common_grid,normalized,raw,source_area,0.41313935595734647,0.32796122046744774,0.55910961254934688,5,5,,
D128_F01_V01,128,1,common_grid,normalized,raw,source_band_area,0.40828063823259092,0.31232031266373417,0.56031563158433939,30,30,,
D128_F03_V01,128,3,common_grid,absolute,detrended_101,X1,0.63491697612107645,0.36654653446314367,0.73898882277005762,20,20,,
D128_F03_V01,128,3,common_grid,absolute,detrended_101,source_area,0.62896831394809372,0.3685271574456136,0.74052517626523651,20,20,,
D128_F03_V01,128,3,common_grid,absolute,detrended_101,source_band_area,0.62997281415349671,0.35629046597242187,0.74111585381184863,120,120,,
