diameter_um,coordinate,n_volumes,median_flow_map_similarity,min_flow_map_similarity,max_flow_map_similarity,positive_5_of_5_cells,positive_at_least_4_of_5_cells,specificity_positive_5_of_5_cells,peak_cells_near_pm2_volumes,peak_cells_near_pm5_volumes,peak_cells_positive_specificity_volumes,u_peak_median,u_peak_min,u_peak_max,tail_depth_peak_um_median,tail_depth_peak_um_min,tail_depth_peak_um_max,eta_peak_median,eta_peak_min,eta_peak_max,u_high_region_median_median,u_high_region_median_min,u_high_region_median_max,tail_high_region_median_um_median,tail_high_region_median_um_min,tail_high_region_median_um_max,u_high_region_lo_median,u_high_region_lo_min,u_high_region_lo_max,u_high_region_hi_median,u_high_region_hi_min,u_high_region_hi_max,tail_high_region_lo_um_median,tail_high_region_lo_um_min,tail_high_region_lo_um_max,tail_high_region_hi_um_median,tail_high_region_hi_um_min,tail_high_region_hi_um_max,rho_peak_cell_median,rho_peak_cell_min,rho_peak_cell_max,high_region_median_rho_median,high_region_median_rho_min,high_region_median_rho_max,high_region_median_specificity_median,high_region_median_specificity_min,high_region_median_specificity_max
128,absolute,5,0.64640252795333009,0.53226612959233277,0.76508785332314755,85,101,85,5,5,5,0.41666666666666669,0.41666666666666669,0.41666666666666669,12.5,12.5,37.5,0.09765625,0.09765625,0.29296875,0.41666666666666669,0.41666666666666669,0.41666666666666669,37.5,37.5,50,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,0.66666666666666663,1,0,0,0,150,150,200,0.34621805280270024,0.27226819156544252,0.3974469161630943,0.23743746473499283,0.2358217035382402,0.28620312867135134,0.24584464802372025,0.23449586057527361,0.27718907769002771
128,normalized,5,0.70678531701891001,0.61468298109010011,0.80734149054505011,28,28,28,5,5,5,0.41666666666666669,0.41666666666666669,0.41666666666666669,12.800000000000001,12.800000000000001,38.400000000000006,0.10000000000000001,0.10000000000000001,0.30000000000000004,0.41666666666666669,0.41666666666666669,0.41666666666666669,12.800000000000001,12.800000000000001,38.400000000000006,0.16666666666666666,0.16666666666666666,0.33333333333333331,0.66666666666666663,0.5,0.66666666666666663,0,0,0,51.200000000000003,25.600000000000001,102.40000000000001,0.34504311443453484,0.27152789651627235,0.38537544350688246,0.31599371097695861,0.26541268106175625,0.33978271316592262,0.30781824782235961,0.25336170203055269,0.32830977695500185
235,absolute,5,0.60030210431279962,0.53314119036044172,0.70549343704423906,40,59,39,5,5,5,0.41666666666666669,0.41666666666666669,0.58333333333333337,12.5,12.5,12.5,0.053191489361702128,0.053191489361702128,0.053191489361702128,0.66666666666666674,0.41666666666666669,0.75,37.5,25,62.5,0.16666666666666666,0.16666666666666666,0.33333333333333331,1,0.83333333333333337,1,0,0,0,125,75,175,0.23213723931165803,0.2207322100846392,0.37670050167512942,0.21024481468851758,0.1685246583282374,0.2451767240866089,0.19267155356713606,0.16701620413694743,0.21406684114542457
235,normalized,5,0.73437152391546179,0.63248053392658521,0.85939933259176893,21,23,20,5,5,5,0.41666666666666669,0.41666666666666669,0.91666666666666663,23.5,23.5,117.5,0.10000000000000001,0.10000000000000001,0.5,0.58333333333333337,0.41666666666666669,0.91666666666666663,23.5,23.5,70.5,0.33333333333333331,0.16666666666666666,0.5,0.83333333333333337,0.5,1,0,0,0,94,47,141,0.24728966503016733,0.23651587273674751,0.41932214328308931,0.23105379667260406,0.21473382855689543,0.29330660601976871,0.23696676067276501,0.20606430490899505,0.27052589301171626
285,absolute,5,0.44546149038127658,0.31894576012223075,0.52821723730814629,40,65,37,5,5,5,0.41666666666666669,0.41666666666666669,0.75,12.5,12.5,62.5,0.043859649122807015,0.043859649122807015,0.21929824561403508,0.5,0.41666666666666669,0.75,37.5,37.5,50,0.16666666666666666,0.16666666666666666,0.33333333333333331,1,0.83333333333333337,1,0,0,0,175,75,250,0.25936704730940241,0.19763862039921917,0.33745873733590515,0.16686283891944084,0.15571531030145219,0.22360062930770763,0.14993710557689438,0.14128072956660168,0.2210417950527164
285,normalized,5,0.6943270300333706,0.5216907675194663,0.79354838709677433,19,23,17,5,5,5,0.41666666666666669,0.41666666666666669,0.75,28.5,28.5,85.5,0.10000000000000001,0.10000000000000001,0.29999999999999999,0.41666666666666669,0.41666666666666669,0.75,28.5,28.5,85.5,0.33333333333333331,0.16666666666666666,0.33333333333333331,0.66666666666666663,0.66666666666666663,0.83333333333333337,0,0,0,114,57,228,0.2841228989512864,0.21465190078469654,0.38183124176711902,0.23384479504282979,0.16508829710469619,0.3511056380640194,0.20714007403836415,0.17372878917659298,0.35125988952005816
500,absolute,5,0.19519063823876659,0.039586082366831025,0.29938190152093891,15,52,15,4,4,5,0.25,0.25,0.91666666666666663,37.5,12.5,62.5,0.074999999999999997,0.025000000000000001,0.125,0.58333333333333337,0.41666666666666669,0.75,87.5,62.5,137.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1,1,1,0,0,25,350,225,375,0.19273194404204563,0.13233173103243945,0.20987300687381044,0.11689055341354292,0.11552683215072664,0.14756662209076354,0.11899695802496435,0.11854275946730868,0.14139724202523071
500,normalized,5,0.42758620689655191,0.017575083426028933,0.62046718576195781,9,14,8,5,5,5,0.25,0.25,0.91666666666666663,50,50,350,0.10000000000000001,0.10000000000000001,0.69999999999999996,0.5,0.25,0.83333333333333326,150,50,250,0.16666666666666666,0.16666666666666666,0.66666666666666663,1,0.83333333333333337,1,0,0,100,300,200,500,0.18617928024496344,0.10631081309891982,0.19100492308957157,0.14688747455593554,0.10563116501479305,0.18459485815592702,0.14690884410537547,0.10975242379956192,0.19520929978279122
