coordinate_absolute,diameter_a,diameter_b,map_spearman_absolute,n_cells_absolute,coordinate_normalized,map_spearman_normalized,n_cells_normalized,normalized_minus_absolute
absolute,128,235,0.66053892631432753,120,normalized,0.52525027808676317,30,-0.13528864822756437
absolute,128,285,0.72812000833391222,120,normalized,0.72680756395995538,30,-0.0013124443739568337
absolute,128,500,0.31329258976317803,120,normalized,0.13281423804226924,30,-0.18047835172090879
absolute,235,285,0.69772900895895551,120,normalized,0.83136818687430514,30,0.13363917791534963
absolute,235,500,0.50911868879783329,120,normalized,0.58175750834260298,30,0.072638819544769695
absolute,285,500,0.36055281616778945,120,normalized,0.5061179087875417,30,0.14556509261975226
