diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,zero_lag_specificity,specificity_min,specificity_max,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5,high_region_target_count
128,absolute,6,detrended_51,mean,2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,0.22138790570992264,0.15922243837831246,0.2695486927031675,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.15922243837831246}, {""flow_mm_s"": 3.0, ""rho"": 0.22138790570992264}, {""flow_mm_s"": 5.0, ""rho"": 0.2695486927031675}, {""flow_mm_s"": 7.0, ""rho"": 0.23003170698975883}, {""flow_mm_s"": 10.0, ""rho"": 0.17448672522584757}]",0.22674870815464204,0.14402584676177327,0.27900804052804717,5,5,5,12
128,absolute,6,detrended_51,mean,3,5,0.33333333333333331,0.5,0.41666666666666669,100,125,112.5,0.78125,0.9765625,0.87890625,0.21232496755271213,0.13082728619204423,0.29452430452567696,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.29452430452567696}, {""flow_mm_s"": 3.0, ""rho"": 0.21232496755271213}, {""flow_mm_s"": 5.0, ""rho"": 0.22313898149416286}, {""flow_mm_s"": 7.0, ""rho"": 0.19872366617587173}, {""flow_mm_s"": 10.0, ""rho"": 0.13082728619204423}]",0.22448453073312777,0.14512712842261874,0.290593212012276,5,4,4,12
128,normalized,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,0.33978271316592262,0.26229797086588413,0.36894302446763749,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3397827131659226}, {""flow_mm_s"": 3.0, ""rho"": 0.27152789651627235}, {""flow_mm_s"": 5.0, ""rho"": 0.3689430244676375}, {""flow_mm_s"": 7.0, ""rho"": 0.34504311443453484}, {""flow_mm_s"": 10.0, ""rho"": 0.26229797086588413}]",0.32313276892045278,0.24443999187329457,0.34577404899086828,5,5,5,3
128,normalized,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25.600000000000001,12.800000000000001,0,0.20000000000000001,0.10000000000000001,0.28691448155198185,0.21878086192540525,0.33068247142264828,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.2858645743138532}, {""flow_mm_s"": 3.0, ""rho"": 0.21878086192540525}, {""flow_mm_s"": 5.0, ""rho"": 0.28691448155198185}, {""flow_mm_s"": 7.0, ""rho"": 0.3306824714226483}, {""flow_mm_s"": 10.0, ""rho"": 0.2893694115144369}]",0.28010228424278832,0.20470863777572054,0.34378836635328336,5,5,5,3
128,normalized,6,detrended_51,mean,3,2,0.33333333333333331,0.5,0.41666666666666669,25.600000000000001,51.200000000000003,38.400000000000006,0.20000000000000001,0.40000000000000002,0.30000000000000004,0.26541268106175625,0.24331594775154342,0.38537544350688246,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.38537544350688246}, {""flow_mm_s"": 3.0, ""rho"": 0.26541268106175625}, {""flow_mm_s"": 5.0, ""rho"": 0.24331594775154342}, {""flow_mm_s"": 7.0, ""rho"": 0.2511658119479011}, {""flow_mm_s"": 10.0, ""rho"": 0.297174680451528}]",0.25336170203055269,0.23086967405411785,0.40548286941488093,5,5,5,3
235,absolute,6,detrended_51,mean,4,1,0.5,0.66666666666666663,0.58333333333333337,0,25,12.5,0,0.10638297872340426,0.053191489361702128,0.2282285357749643,0.15786364653403376,0.2745227974815253,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.23213723931165803}, {""flow_mm_s"": 3.0, ""rho"": 0.2243262837496781}, {""flow_mm_s"": 5.0, ""rho"": 0.15786364653403376}, {""flow_mm_s"": 7.0, ""rho"": 0.2282285357749643}, {""flow_mm_s"": 10.0, ""rho"": 0.2745227974815253}]",0.21099237507031285,0.1502437775727081,0.23951595103379261,5,4,5,8
235,absolute,6,detrended_51,mean,3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.10638297872340426,0.053191489361702128,0.22752675641155518,0.21928643589741559,0.37670050167512942,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.22752675641155518}, {""flow_mm_s"": 3.0, ""rho"": 0.2192864358974156}, {""flow_mm_s"": 5.0, ""rho"": 0.2207322100846392}, {""flow_mm_s"": 7.0, ""rho"": 0.2626958661863868}, {""flow_mm_s"": 10.0, ""rho"": 0.3767005016751294}]",0.22132723954543448,0.20691805479164774,0.28694817773657322,5,5,5,8
235,absolute,6,detrended_51,mean,5,1,0.66666666666666663,0.83333333333333337,0.75,0,25,12.5,0,0.10638297872340426,0.053191489361702128,0.20617057791101073,0.17738674013367178,0.25738995648592788,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.1972009859755025}, {""flow_mm_s"": 3.0, ""rho"": 0.2200015835013716}, {""flow_mm_s"": 5.0, ""rho"": 0.20617057791101073}, {""flow_mm_s"": 7.0, ""rho"": 0.17738674013367178}, {""flow_mm_s"": 10.0, ""rho"": 0.2573899564859279}]",0.2147155810386146,0.19220175229096176,0.24412073516544336,5,4,5,8
235,absolute,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.10638297872340426,0.053191489361702128,0.17870464774753836,0.16808830598142738,0.21183104922800267,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.17870464774753836}, {""flow_mm_s"": 3.0, ""rho"": 0.1711069195037348}, {""flow_mm_s"": 5.0, ""rho"": 0.16808830598142738}, {""flow_mm_s"": 7.0, ""rho"": 0.18787017451204266}, {""flow_mm_s"": 10.0, ""rho"": 0.21183104922800267}]",0.16064625778037567,0.13710836478191207,0.17165370127841123,5,4,5,8
235,absolute,6,detrended_51,mean,3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.21276595744680851,0.31914893617021278,0.26595744680851063,0.17085123196086255,0.14622346773826075,0.22808402849035925,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.17085123196086255}, {""flow_mm_s"": 3.0, ""rho"": 0.15696347767447902}, {""flow_mm_s"": 5.0, ""rho"": 0.14622346773826075}, {""flow_mm_s"": 7.0, ""rho"": 0.22808402849035925}, {""flow_mm_s"": 10.0, ""rho"": 0.20139867403274023}]",0.16243531892958885,0.11068992264517062,0.22679796946806846,5,5,5,8
