scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count,comparison,map_similarity_to_6bin_51
D128_F01_V01,128,1,common_grid,absolute,6,detrended_101,mean,0.093811153530048236,-0.064612285465111857,0.39477915052569124,120,110,10,0.41666666666666669,3,2,37.5,0.29296875,0.39477915052569124,,,,,110,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.29296875,0,1.3671875,0.25534881883005844,,,,,detrend_window,0.97067157441488994
D128_F01_V01,128,1,common_grid,absolute,6,detrended_31,mean,0.085207478808680903,-0.075593426177009843,0.38135200711929745,120,103,17,0.41666666666666669,3,2,37.5,0.29296875,0.38135200711929745,,,,,103,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,162.5,0,175,0.29296875,0,1.3671875,0.25777007692678006,,,,,detrend_window,0.97353288422807149
D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11550202163466627,-0.16215650439490914,0.40406365424676566,120,105,15,0.41666666666666669,3,2,37.5,0.29296875,0.40406365424676566,,,,,105,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,37.5,12.5,262.5,0,275,0.29296875,0,2.1484375,0.27369679635392286,,,,,detrend_window,0.8971248003333564
D128_F01_V01,128,1,common_grid,normalized,6,detrended_101,mean,0.17100467103756462,-0.06706866938174566,0.38735551929944462,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.38735551929944462,,,,,29,3,3,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.33333333333333331,0.5,38.400000000000006,12.800000000000001,115.2,0,128,0.30000000000000004,0,1,0.30644376580680299,,,,,detrend_window,0.96484983314794237
D128_F01_V01,128,1,common_grid,normalized,6,detrended_31,mean,0.1913407000765755,-0.045778704109190473,0.37296758795924217,30,28,2,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.37296758795924217,,,,,28,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.33280745733024331,,,,,detrend_window,0.97463848720800916
D128_F01_V01,128,1,common_grid,normalized,6,raw,mean,0.19457797869985538,-0.16363759908571041,0.39534371970847482,30,27,3,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.39534371970847482,,,,,27,3,3,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.33333333333333331,0.5,38.400000000000006,12.800000000000001,115.2,0,128,0.30000000000000004,0,1,0.32469023424095855,,,,,detrend_window,0.97686318131256977
D128_F03_V01,128,3,common_grid,absolute,6,detrended_101,mean,0.083503711853801621,-0.10996282324205378,0.26890959158680255,120,105,15,0.25,2,3,62.5,0.48828125,0.26890959158680255,,,,,105,11,11,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,62.5,12.5,137.5,0,150,0.48828125,0,1.171875,0.24985163519161391,,,,,detrend_window,0.85078824918397122
D128_F03_V01,128,3,common_grid,absolute,6,detrended_31,mean,0.068424080204833704,-0.091630177429036258,0.2877865786128958,120,103,17,0.58333333333333337,4,1,12.5,0.09765625,0.2877865786128958,,,,,103,11,11,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,62.5,12.5,137.5,0,150,0.48828125,0,1.171875,0.24124347256918657,,,,,detrend_window,0.94296131675810824
D128_F03_V01,128,3,common_grid,absolute,6,raw,mean,0.094563128073307384,-0.062803028413945985,0.27691893264458695,120,110,10,0.25,2,3,62.5,0.48828125,0.27691893264458695,,,,,110,11,11,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,62.5,12.5,137.5,0,150,0.48828125,0,1.171875,0.23358511581209648,,,,,detrend_window,0.8248281130634072
D128_F03_V01,128,3,common_grid,normalized,6,detrended_101,mean,0.1887557101316841,-0.05121652804982503,0.27837444457818489,30,28,2,0.25,2,3,64,0.5,0.27837444457818489,,,,,28,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,64,0,76.800000000000011,0.30000000000000004,0,0.60000000000000009,0.26817003707871395,,,,,detrend_window,0.9052280311457177
