source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity
1,1,0,0.16666666666666666,0.083333333333333329,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.12925643868171843,486,0.12936626141195195,-50,486,2,False,False,-0.0066917104066391416,0.13594814908835756
1,2,0,0.16666666666666666,0.083333333333333329,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.078446243629413728,486,0.1882710431795398,13,486,14,False,False,-0.015931194188826957,0.094377437818240678
1,3,0,0.16666666666666666,0.083333333333333329,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.0085992982706736137,486,0.12565855943089294,13,486,63,False,False,0.0054125019056483455,-0.014011800176321958
1,4,0,0.16666666666666666,0.083333333333333329,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.036498347275571108,486,0.13307321600387176,-48,486,76,False,False,0.032932704571246196,-0.069431051846817304
1,5,0,0.16666666666666666,0.083333333333333329,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.031657388092471178,486,0.13229963736510233,-2,486,31,True,True,-0.0027749973025789007,0.034432385395050079
1,6,0,0.16666666666666666,0.083333333333333329,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.077009560234786445,486,0.16676899217198879,46,486,9,False,False,-0.0023569240881341053,0.079366484322920552
1,7,0,0.16666666666666666,0.083333333333333329,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.056825111344493098,486,0.11566407156054961,-22,486,11,False,False,-0.013610442913185547,0.07043555425767864
1,8,0,0.16666666666666666,0.083333333333333329,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.052430031765849087,486,0.13133028214343578,-11,486,15,False,False,0.0041697148365211559,0.048260316929327932
1,9,0,0.16666666666666666,0.083333333333333329,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.03576011177870201,486,0.14230845421063795,-12,486,28,False,False,0.00016676691173625469,0.035593344866965755
1,10,0,0.16666666666666666,0.083333333333333329,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.020584890530974419,486,0.17512592884681519,-12,486,31,False,False,-0.0034080659132272604,0.023992956444201678
1,11,0,0.16666666666666666,0.083333333333333329,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.013567080190441937,486,0.11895212500403682,-22,486,53,False,False,-0.028641379074427376,0.015074298883985439
1,12,0,0.16666666666666666,0.083333333333333329,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.064826690095830974,486,0.10832678360527538,-6,486,11,False,False,-0.0030015686128644567,0.067828258708695438
1,13,0,0.16666666666666666,0.083333333333333329,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.025482675572250924,486,0.12039342531531008,-48,486,33,False,False,0.0089808541173905972,0.016501821454860326
1,14,0,0.16666666666666666,0.083333333333333329,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.0070054805012388869,486,0.15959459388612582,19,486,51,False,False,-0.039366077298151822,0.032360596796912937
1,15,0,0.16666666666666666,0.083333333333333329,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.006565995285445235,486,0.12182955727737305,-19,486,41,False,False,-0.014302413892715755,0.02086840917816099
1,16,0,0.16666666666666666,0.083333333333333329,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.00073872022744680965,486,0.15983016003972245,-21,486,44,False,False,-0.024239891432463998,0.024978611659910808
1,17,0,0.16666666666666666,0.083333333333333329,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.016586681328531885,486,0.1568853467813604,-50,486,63,False,False,0.0087587428142167755,-0.025345424142748658
1,18,0,0.16666666666666666,0.083333333333333329,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.026834983095932182,486,0.10666058538722155,-36,486,74,False,False,-0.0095862698883000357,-0.017248713207632146
1,19,0,0.16666666666666666,0.083333333333333329,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.04710787534948116,486,0.13502940968562768,14,486,78,False,False,-0.021140057734934544,-0.025967817614546616
1,20,0,0.16666666666666666,0.083333333333333329,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.057274814477016225,486,0.11908364604602599,-4,486,15,False,True,-0.0018771020907147433,0.059151916567730972
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.29004835675146146,486,0.29004835675146146,0,486,1,True,True,0.022902736930502487,0.26714561982095897
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.30425802324068763,486,0.30425802324068763,0,486,1,True,True,-0.0081862699709834372,0.31244429321167105
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14160409114704373,486,0.14160409114704373,0,486,1,True,True,-0.012449594560976097,0.15405368570801983
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.15922243837831246,486,0.15922243837831246,0,486,1,True,True,0.015196591616539195,0.14402584676177327
2,5,0.16666666666666666,0.33333333333333331,0.25,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.18092231620519988,486,0.18092231620519988,0,486,1,True,True,0.0048240272181914439,0.17609828898700844
2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14434640154952766,486,0.14434640154952766,0,486,1,True,True,-0.0077152964090391914,0.15206169795856686
2,7,0.16666666666666666,0.33333333333333331,0.25,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14848333656053914,486,0.14969793117383076,26,486,2,False,False,-0.028146433914273204,0.17662977047481235
2,8,0.16666666666666666,0.33333333333333331,0.25,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13850845161862482,486,0.14561441483181367,42,486,2,False,False,0.017703819861606629,0.12080463175701819
2,9,0.16666666666666666,0.33333333333333331,0.25,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13924570776971551,486,0.13924570776971551,0,486,1,True,True,-0.0025162634507270914,0.1417619712204426
2,10,0.16666666666666666,0.33333333333333331,0.25,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.089069095297876252,486,0.1010531493843032,3,486,4,False,True,-0.0088748054686001304,0.097943900766476383
2,11,0.16666666666666666,0.33333333333333331,0.25,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.18818749864444417,486,0.18818749864444417,0,486,1,True,True,-0.0041499444343523467,0.19233744307879652
2,12,0.16666666666666666,0.33333333333333331,0.25,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13213669964421276,486,0.1393120168978586,44,486,2,False,False,0.0059764596872091211,0.12616023995700365
2,13,0.16666666666666666,0.33333333333333331,0.25,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.056616075564856858,486,0.1485214025781067,2,486,12,True,True,0.00038309921207083271,0.056232976352786027
2,14,0.16666666666666666,0.33333333333333331,0.25,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.022714650325108283,486,0.18018321902857842,-20,486,30,False,False,-0.019624428245231612,0.042339078570339896
2,15,0.16666666666666666,0.33333333333333331,0.25,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.0084856249817475693,486,0.11261890347455898,27,486,58,False,False,0.00077738716006836225,-0.0092630121418159315
2,16,0.16666666666666666,0.33333333333333331,0.25,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.075379724159581815,486,0.10339709871384828,-21,486,5,False,False,-0.0070715574245459722,0.082451281584127789
2,17,0.16666666666666666,0.33333333333333331,0.25,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.061070055302583567,486,0.14086159670902643,-18,486,17,False,False,-0.0057429466458044027,0.066813001948387976
2,18,0.16666666666666666,0.33333333333333331,0.25,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13401618053172715,486,0.13401618053172715,0,486,1,True,True,-0.0052872709691953249,0.13930345150092246
2,19,0.16666666666666666,0.33333333333333331,0.25,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.018500909639177797,486,0.089592654517641812,26,486,37,False,False,-0.0052994430986518576,0.023800352737829655
2,20,0.16666666666666666,0.33333333333333331,0.25,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.029738070334327682,486,0.13197816705919971,-26,486,73,False,False,-0.0011073776367076498,-0.02863069269762003
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.34153048607935721,486,0.34153048607935721,0,486,1,True,True,0.016571310558071595,0.32495917552128561
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.3974469161630943,486,0.3974469161630943,0,486,1,True,True,-0.01694803446910137,0.41439495063219567
3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.19539441492272119,486,0.19539441492272119,0,486,1,True,True,-0.0096710160531840901,0.20506543097590529
