diameter_um,coordinate,source_bins,mode,metric,source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,rho,rho_min,rho_max,number_positive,n_volumes,positive_5_of_5,positive_at_least_4_of_5,flow_rho_values_json,zero_lag_specificity,specificity_min,specificity_max,number_positive_specificity,number_peak_within_pm2,number_peak_within_pm5
128,absolute,6,detrended_51,mean,1,11,0,0.16666666666666666,0.083333333333333329,250,275,262.5,1.953125,2.1484375,2.05078125,-0.0061615109032856982,-0.015859841371958429,0.085017267960697931,2,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.013567080190441937}, {""flow_mm_s"": 3.0, ""rho"": 0.03033530050836953}, {""flow_mm_s"": 5.0, ""rho"": -0.006161510903285698}, {""flow_mm_s"": 7.0, ""rho"": 0.08501726796069793}, {""flow_mm_s"": 10.0, ""rho"": -0.01585984137195843}]",0.013249206231026059,-0.0013809753349047996,0.079511696294701908,4,0,0
128,absolute,6,detrended_51,mean,1,12,0,0.16666666666666666,0.083333333333333329,275,300,287.5,2.1484375,2.34375,2.24609375,0.018000805749107784,-0.050875688424309867,0.064826690095830974,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.06482669009583097}, {""flow_mm_s"": 3.0, ""rho"": -0.05087568842430987}, {""flow_mm_s"": 5.0, ""rho"": 0.018000805749107784}, {""flow_mm_s"": 7.0, ""rho"": 0.05646828764520796}, {""flow_mm_s"": 10.0, ""rho"": 0.016570919846331175}]",0.015631296160293868,-0.053864670426090062,0.068547684678348278,4,0,0
128,absolute,6,detrended_51,mean,1,13,0,0.16666666666666666,0.083333333333333329,300,325,312.5,2.34375,2.5390625,2.44140625,0.052905052902971261,-0.030222700475957244,0.13503990627422999,4,5,False,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.025482675572250924}, {""flow_mm_s"": 3.0, ""rho"": 0.13503990627423}, {""flow_mm_s"": 5.0, ""rho"": 0.11156948739682525}, {""flow_mm_s"": 7.0, ""rho"": 0.05290505290297126}, {""flow_mm_s"": 10.0, ""rho"": -0.030222700475957244}]",0.04688321745635203,-0.024327087188605948,0.11852992006077652,4,1,1
128,absolute,6,detrended_51,mean,1,14,0,0.16666666666666666,0.083333333333333329,325,350,337.5,2.5390625,2.734375,2.63671875,0.0098824428567120468,-0.025772055099686601,0.024790945138916682,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.007005480501238887}, {""flow_mm_s"": 3.0, ""rho"": 0.023653962683671342}, {""flow_mm_s"": 5.0, ""rho"": 0.009882442856712047}, {""flow_mm_s"": 7.0, ""rho"": 0.024790945138916682}, {""flow_mm_s"": 10.0, ""rho"": -0.0257720550996866}]",0.016897122643257052,-0.0083877981390881595,0.032360596796912937,4,0,1
128,absolute,6,detrended_51,mean,1,15,0,0.16666666666666666,0.083333333333333329,350,375,362.5,2.734375,2.9296875,2.83203125,0.034075136547243978,0.0049834031649584123,0.10837210499454038,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.006565995285445235}, {""flow_mm_s"": 3.0, ""rho"": 0.07129581931477379}, {""flow_mm_s"": 5.0, ""rho"": 0.03407513654724398}, {""flow_mm_s"": 7.0, ""rho"": 0.10837210499454038}, {""flow_mm_s"": 10.0, ""rho"": 0.004983403164958412}]",0.02086840917816099,-0.0022467961917995161,0.12201313852264159,4,1,1
128,absolute,6,detrended_51,mean,1,16,0,0.16666666666666666,0.083333333333333329,375,400,387.5,2.9296875,3.125,3.02734375,0.00073872022744680965,-0.02441669092160598,0.066604271886878563,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": 0.0007387202274468097}, {""flow_mm_s"": 3.0, ""rho"": 0.06660427188687856}, {""flow_mm_s"": 5.0, ""rho"": -0.0051999782748259615}, {""flow_mm_s"": 7.0, ""rho"": 0.007848153919964573}, {""flow_mm_s"": 10.0, ""rho"": -0.02441669092160598}]",0.01951833503118644,-0.035808893978346232,0.078656695479058292,3,0,0
128,absolute,6,detrended_51,mean,1,17,0,0.16666666666666666,0.083333333333333329,400,425,412.5,3.125,3.3203125,3.22265625,0.037161167950059554,-0.016586681328531885,0.10059139375356724,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.016586681328531885}, {""flow_mm_s"": 3.0, ""rho"": 0.037161167950059554}, {""flow_mm_s"": 5.0, ""rho"": 0.07634168577716853}, {""flow_mm_s"": 7.0, ""rho"": 0.10059139375356724}, {""flow_mm_s"": 10.0, ""rho"": -0.011542329566086456}]",0.035004889422803907,-0.025345424142748658,0.12299872677179702,3,0,0
128,absolute,6,detrended_51,mean,1,18,0,0.16666666666666666,0.083333333333333329,425,450,437.5,3.3203125,3.515625,3.41796875,0.025542951033142323,-0.035648111774408291,0.074934060940257119,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.026834983095932182}, {""flow_mm_s"": 3.0, ""rho"": 0.07493406094025712}, {""flow_mm_s"": 5.0, ""rho"": -0.03564811177440829}, {""flow_mm_s"": 7.0, ""rho"": 0.043023245449846745}, {""flow_mm_s"": 10.0, ""rho"": 0.025542951033142323}]",-0.0056918691258332349,-0.025521954819283571,0.092464928412634234,2,1,1
128,absolute,6,detrended_51,mean,1,19,0,0.16666666666666666,0.083333333333333329,450,475,462.5,3.515625,3.7109375,3.61328125,-0.028353820901001026,-0.10305043565178212,-0.0027252437166267046,0,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": -0.04710787534948116}, {""flow_mm_s"": 3.0, ""rho"": -0.028353820901001026}, {""flow_mm_s"": 5.0, ""rho"": -0.0255627436709774}, {""flow_mm_s"": 7.0, ""rho"": -0.0027252437166267046}, {""flow_mm_s"": 10.0, ""rho"": -0.10305043565178212}]",-0.025967817614546616,-0.082902846528985899,0.0097149710233137981,1,0,0
128,absolute,6,detrended_51,mean,1,20,0,0.16666666666666666,0.083333333333333329,475,500,487.5,3.7109375,3.90625,3.80859375,0.0072311476547819303,-0.069866233867513769,0.057274814477016225,3,5,False,False,"[{""flow_mm_s"": 1.0, ""rho"": 0.057274814477016225}, {""flow_mm_s"": 3.0, ""rho"": 0.025011338977468423}, {""flow_mm_s"": 5.0, ""rho"": -0.0022951006890397155}, {""flow_mm_s"": 7.0, ""rho"": 0.00723114765478193}, {""flow_mm_s"": 10.0, ""rho"": -0.06986623386751377}]",0.017748282109822155,-0.081202449690553125,0.059151916567730972,4,1,2
128,absolute,6,detrended_51,mean,2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,0.28850314554606765,0.21691785272037506,0.3324659325669983,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.29004835675146146}, {""flow_mm_s"": 3.0, ""rho"": 0.21691785272037506}, {""flow_mm_s"": 5.0, ""rho"": 0.2875619261808432}, {""flow_mm_s"": 7.0, ""rho"": 0.3324659325669983}, {""flow_mm_s"": 10.0, ""rho"": 0.28850314554606765}]",0.28102101064747159,0.20301437962650645,0.34625643710812043,5,5,5
128,absolute,6,detrended_51,mean,2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,0.2399713141683335,0.21241472876829651,0.30425802324068763,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.3042580232406876}, {""flow_mm_s"": 3.0, ""rho"": 0.2399713141683335}, {""flow_mm_s"": 5.0, ""rho"": 0.28461755993321264}, {""flow_mm_s"": 7.0, ""rho"": 0.2124147287682965}, {""flow_mm_s"": 10.0, ""rho"": 0.23041219126647913}]",0.23876511108093415,0.21289270575137992,0.31244429321167105,5,5,5
128,absolute,6,detrended_51,mean,2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,0.22572858878061891,0.14160409114704373,0.28488679466215883,5,5,True,True,"[{""flow_mm_s"": 1.0, ""rho"": 0.14160409114704373}, {""flow_mm_s"": 3.0, ""rho"": 0.23731518684436062}, {""flow_mm_s"": 5.0, ""rho"": 0.2848867946621588}, {""flow_mm_s"": 7.0, ""rho"": 0.17333020403127408}, {""flow_mm_s"": 10.0, ""rho"": 0.2257285887806189}]",0.22239518634742095,0.15405368570801983,0.28816882506176911,5,5,5
