scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D128_F01_V01,128,1,common_grid,normalized,6,detrended_51,mean,0.19532255297682438,-0.04006833041825162,0.38537544350688246,30,28,2,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.38537544350688246,0.40548286941488093,0,True,True,28,3,3,0.41666666666666669,0.25,0.41666666666666669,0.16666666666666666,0.5,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.33978271316592262,0.32313276892045278,3,3,3
D128_F03_V01,128,3,common_grid,normalized,6,detrended_51,mean,0.17082983310836142,0.043165324446452297,0.27152789651627235,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.27152789651627235,0.24992529325308777,0,True,True,30,3,3,0.41666666666666669,0.41666666666666669,0.58333333333333337,0.33333333333333331,0.66666666666666663,12.800000000000001,12.800000000000001,38.400000000000006,0,51.200000000000003,0.10000000000000001,0,0.40000000000000002,0.26541268106175625,0.25336170203055269,3,3,3
D128_F05_V01,128,5,common_grid,normalized,6,detrended_51,mean,0.18537215424459996,-0.026442324263585691,0.36894302446763749,30,29,1,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.36894302446763749,0.34577404899086828,0,True,True,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,89.600000000000009,0,102.40000000000001,0.10000000000000001,0,0.80000000000000004,0.31599371097695861,0.30781824782235961,3,3,3
D128_F07_V01,128,7,common_grid,normalized,6,detrended_51,mean,0.18375800483167051,0.039941901887028147,0.34504311443453484,30,30,0,0.41666666666666669,3,1,12.800000000000001,0.10000000000000001,0.34504311443453484,0.32830977695500185,0,True,True,30,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,12.800000000000001,12.800000000000001,12.800000000000001,0,25.600000000000001,0.10000000000000001,0,0.20000000000000001,0.33068247142264828,0.32830977695500185,3,3,3
D128_F10_V01,128,10,common_grid,normalized,6,detrended_51,mean,0.15741809868884291,-0.025427801852254212,0.29717468045152801,30,29,1,0.41666666666666669,3,2,38.400000000000006,0.30000000000000004,0.29717468045152801,0.30536461286122257,0,True,True,29,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,38.400000000000006,12.800000000000001,38.400000000000006,0,51.200000000000003,0.30000000000000004,0,0.40000000000000002,0.2893694115144369,0.28909143610872085,3,3,3
D235_F01_V01,235,1,common_grid,normalized,6,detrended_51,mean,0.14594540775435996,-0.24270515986738644,0.24023686146759915,30,24,6,0.91666666666666663,6,1,23.5,0.10000000000000001,0.24023686146759915,0.26791913992416522,0,True,True,24,3,3,0.91666666666666663,0.58333333333333337,0.91666666666666663,0.5,1,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.22650884621439252,0.23571046487037367,1,2,3
D235_F03_V01,235,3,common_grid,normalized,6,detrended_51,mean,0.11039660091784187,-0.071600429312968505,0.27191345815576468,30,25,5,0.75,5,3,117.5,0.5,0.27191345815576468,0.29304769633692501,0,True,True,25,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,117.5,0,141,0.10000000000000001,0,0.59999999999999998,0.23105379667260406,0.25274621611693587,3,3,3
D235_F05_V01,235,5,common_grid,normalized,6,detrended_51,mean,0.096127164211860516,-0.11265911817603706,0.23651587273674751,30,23,7,0.41666666666666669,3,1,23.5,0.10000000000000001,0.23651587273674751,0.2276255165322647,0,True,True,23,3,3,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,23.5,23.5,70.5,0,94,0.10000000000000001,0,0.40000000000000002,0.21473382855689543,0.20606430490899505,3,3,3
D235_F07_V01,235,7,common_grid,normalized,6,detrended_51,mean,0.098453385175060498,-0.090244209407647213,0.24728966503016733,30,27,3,0.41666666666666669,3,2,70.5,0.29999999999999999,0.24728966503016733,0.24532412338978835,0,True,True,27,3,3,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.33333333333333331,0.5,70.5,23.5,117.5,0,141,0.29999999999999999,0,0.59999999999999998,0.23298141832119529,0.23696676067276501,3,3,3
D235_F10_V01,235,10,common_grid,normalized,6,detrended_51,mean,0.12265970990015174,-0.15057934033534157,0.41932214328308931,30,24,6,0.41666666666666669,3,1,23.5,0.10000000000000001,0.41932214328308931,0.34796051441471021,0,True,True,24,3,3,0.58333333333333337,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,23.5,23.5,23.5,0,47,0.10000000000000001,0,0.20000000000000001,0.29330660601976871,0.27052589301171626,3,3,3
D285_F01_V01,285,1,common_grid,normalized,6,detrended_51,mean,0.056404593177668508,-0.14255502853544971,0.33255621399923613,30,23,7,0.41666666666666669,3,1,28.5,0.10000000000000001,0.33255621399923613,0.2680405217478441,0,True,True,23,3,3,0.41666666666666669,0.25,0.58333333333333337,0.16666666666666666,0.66666666666666663,28.5,28.5,28.5,0,57,0.10000000000000001,0,0.20000000000000001,0.30464084823285825,0.2387004894002499,3,3,3
D285_F03_V01,285,3,common_grid,normalized,6,detrended_51,mean,0.08603654840512065,-0.061222113111637923,0.21465190078469654,30,27,3,0.75,5,2,85.5,0.29999999999999999,0.21465190078469654,0.21405289662033369,0,True,True,27,3,3,0.75,0.41666666666666669,0.75,0.33333333333333331,0.83333333333333337,85.5,28.5,199.5,0,228,0.29999999999999999,0,0.80000000000000004,0.16508829710469619,0.20355578963444237,3,3,3
