diameter_um,flow_speed_mm_s,diameter_source,flow_source,independent_volume,oct_relative_path,oct_size_bytes,oct_sha256,flow_dicom_relative_path,flow_dicom_size_bytes,flow_dicom_sha256,dx_um,dz_um,bscan_count,alines_per_bscan,repeat_count,spectral_samples,acquisition_metadata_status,calibration_source,calibration_evidence,pairing_status,pairing_method,metadata_inference_notes,scan_id,volume_index,legacy_scan_id,existing_d128_reference
128.0,3.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,128/3.oct,1536021062,e989a8257a7fafda8d6e9ad2b1fef0c94807ae323683bc6e918c88bc2cce38f3,128/3.oct-Flow_ed.dcm,175505836,8a17755ea23b8d9283caa3467a200f47bc1b62db89b4c687e56d622403c0c8ba,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D128_F03_V01,1,flow03,True
128.0,5.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,128/5.oct,1536021062,e4739d3b26e250fa1159b0fa28b7a9a962626f0cc9239b7cd8bd74aa662ba0d2,128/5.oct-Flow_ed.dcm,175505834,19921fb413bf733191a363e591dd25190ebe29ecdb7b28fd97e533303756e0ad,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D128_F05_V01,1,flow05,True
128.0,7.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,128/7.oct,1536021062,96b8d8f7b1ec9341013d635a98e75554e7e5595ff5194d5f996808fa1207bdd4,128/7.oct-Flow_ed.dcm,175505836,f1e43b9ed8c7a2c9cc214cd00b6be458538101ed31b9943be04789e40861c226,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D128_F07_V01,1,flow07,True
235.0,1.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,235/1.oct,1536021062,08e9734543e59ba1a3782dc120cdee68086535efb15168a22cb6646f8200186a,235/1.oct-Flow_ed.dcm,175505836,79ebd73d2a5f43df9268124854a12fc8194db58ef6c5a90dfaa6c86ec201c55d,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D235_F01_V01,1,,False
235.0,10.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,235/10.oct,1536021062,d586fceb7bb58c1bc5644fbae9f8e5575acd82dd640602400c561482c260efd4,235/10.oct-Flow_ed.dcm,175505834,9bb0541b522a674448c66e90313bf8da333e2f950d03187b797dfdd22c767047,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D235_F10_V01,1,,False
235.0,3.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,235/3.oct,1536021062,7b69d50a0cde64fde1ae87f8af41db49ed6ba3dd4f359775dab2fb70f779d6d9,235/3.oct-Flow_ed.dcm,175505836,6c1e955ef4140fe34774edeba91659d9d21964cab0bf07b5f846d658cc6bcf57,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D235_F03_V01,1,,False
235.0,5.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,235/5.oct,1536021062,5368ef2787df07363b5ff0ea91e29ab5b996fb49b173a09484dae663f89374bc,235/5.oct-Flow_ed.dcm,175505836,c414b9550e289dd95a9595a064a753b7e7a9ff458b0a83366651e45e4859337a,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D235_F05_V01,1,,False
235.0,7.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,235/7.oct,1536021062,58e51eb1999f3b8acc17aeddf7b5771d69655376158cbd8fa5243a5465ceed33,235/7.oct-Flow_ed.dcm,175505836,a57a149c4c41390ddac05aeb129ee0507f9bb046a77a7587a10e236e0062af63,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D235_F07_V01,1,,False
285.0,1.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,285/1.oct,1536021062,580b26e6bc676217c8092868dbcc352392b472a5f31f20725f579d7e875c3639,285/1.oct-Flow_ed.dcm,175505836,7e3c5f19404f4d412b41501312711688c8bdd9fb52a63088114901ce4f09e63e,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D285_F01_V01,1,,False
285.0,10.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,285/10.oct,1536021062,2cef8ab88761e783190f0531e3084f46076beaba3ae6e80329ed0294dc03d385,285/10.oct-Flow_ed.dcm,175505836,f1de38788f7a8a7f453f6505e429ef5eb6bdaa16eadba455a0d8a94c66147721,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D285_F10_V01,1,,False
285.0,3.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,285/3.oct,1536021062,f977eb755cb8d237417d66a87e33f95ee6168df7a0d35fd1c469b94f276c2433,285/3.oct-Flow_ed(1).dcm,175505836,849bff76b6c4583cb569daf0bf6f0ba988058bdd6cf785373e81c15a0de65f07,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,unique_stem_same_directory,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D285_F03_V01,1,,False
285.0,5.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,285/5.oct,1536021062,4457befa1309470b5f0b8547e46f98f4712381a9f481871fb9a2dd3d8d379e07,285/5.oct-Flow_ed(1).dcm,175505836,8736cdadc29f01133f98ff821084e2820a48a982beaeaca1bb339e031cc4e809,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,unique_stem_same_directory,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D285_F05_V01,1,,False
285.0,7.0,parent_directory_name;experiment_naming_note,oct_filename;experiment_naming_note,True,285/7.oct,1536021062,d996d4ae5db91bec2ecebaa186a95de39caa19efc02e4bd4a659874b213aa78e,285/7.oct-Flow_ed.dcm,175505836,f21ec916c5351202a8ccbd48975884013658849a2ab529790c1a1032e310f26f,12.7,6.7,500,500,3,1024,complete,inherited_project_acquisition_calibration,"OCT spectral, repeat, scan-span and dimension signature matches D128; Flow dimensions agree; calibration not independently measured",complete,exact_companion,Experiment naming note; OCT header; B-scans are spatial samples nested within acquisition,D285_F07_V01,1,,False
