panel,scan_id,flow_speed_mm_s,frame_index,alpha,noise_multiplier,z_peak_px,seed_z_upper_px,z_upper_px,upper_component_width_px,peak_snr,z_candidate_accepted,tracking_class,qc_valid,qc_flags
3x2,flow05,5,249,0.2,3.0,216.0,198.0,196.0,29,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.2,3.0,205.0,194.0,194.0,23,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.25,3.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.25,3.0,216.0,198.0,196.0,29,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.25,3.0,205.0,194.0,194.0,23,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.15,4.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.15,4.0,216.0,198.0,196.0,10,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.15,4.0,205.0,194.0,194.0,9,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.2,4.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.2,4.0,216.0,198.0,196.0,10,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.2,4.0,205.0,194.0,194.0,9,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.25,4.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.25,4.0,216.0,198.0,196.0,10,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.25,4.0,205.0,194.0,194.0,9,4.4085635234325835,True,high_confidence,True,
3x1,flow05,5,0,0.15,5.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.15,5.0,216.0,198.0,197.0,3,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.15,5.0,205.0,,195.0,0,4.4085635234325835,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x1,flow05,5,0,0.2,5.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.2,5.0,216.0,198.0,197.0,3,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.2,5.0,205.0,,195.0,0,4.4085635234325835,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x1,flow05,5,0,0.25,5.0,216.0,211.0,211.0,81,22.420053599499123,True,high_confidence,True,
3x2,flow05,5,249,0.25,5.0,216.0,198.0,197.0,3,5.271529875226462,True,high_confidence,True,
3x3,flow05,5,499,0.25,5.0,205.0,,195.0,0,4.4085635234325835,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
4x1,flow07,7,0,0.15,3.0,217.0,214.0,214.0,57,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.15,3.0,217.0,200.0,199.0,25,4.692974212837544,True,high_confidence,True,
4x3,flow07,7,499,0.15,3.0,206.0,191.0,191.0,44,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.2,3.0,217.0,214.0,214.0,57,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.2,3.0,217.0,200.0,199.0,25,4.692974212837544,True,high_confidence,True,
4x3,flow07,7,499,0.2,3.0,206.0,191.0,193.0,44,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.25,3.0,217.0,214.0,214.0,56,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.25,3.0,217.0,200.0,199.0,25,4.692974212837544,True,high_confidence,True,
4x3,flow07,7,499,0.25,3.0,206.0,191.0,193.0,44,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.15,4.0,217.0,214.0,214.0,57,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.15,4.0,217.0,200.0,199.0,10,4.692974212837544,True,high_confidence,True,
4x3,flow07,7,499,0.15,4.0,206.0,191.0,192.0,39,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.2,4.0,217.0,214.0,214.0,57,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.2,4.0,217.0,200.0,199.0,10,4.692974212837544,True,high_confidence,True,
4x3,flow07,7,499,0.2,4.0,206.0,191.0,192.0,39,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.25,4.0,217.0,214.0,214.0,56,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.25,4.0,217.0,200.0,199.0,10,4.692974212837544,True,high_confidence,True,
4x3,flow07,7,499,0.25,4.0,206.0,191.0,192.0,39,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.15,5.0,217.0,214.0,214.0,56,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.15,5.0,217.0,,199.0,0,4.692974212837544,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
4x3,flow07,7,499,0.15,5.0,206.0,191.0,192.0,38,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.2,5.0,217.0,214.0,214.0,56,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.2,5.0,217.0,,199.0,0,4.692974212837544,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
4x3,flow07,7,499,0.2,5.0,206.0,191.0,192.0,38,9.283508684630862,True,high_confidence,True,
4x1,flow07,7,0,0.25,5.0,217.0,214.0,214.0,56,18.755711276358785,True,high_confidence,True,
4x2,flow07,7,249,0.25,5.0,217.0,,199.0,0,4.692974212837544,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
4x3,flow07,7,499,0.25,5.0,206.0,191.0,192.0,38,9.283508684630862,True,high_confidence,True,
5x1,flow10,10,0,0.15,3.0,216.0,211.0,211.0,49,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.15,3.0,202.0,196.0,193.0,37,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.15,3.0,201.0,192.0,192.0,42,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.2,3.0,216.0,211.0,211.0,49,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.2,3.0,202.0,196.0,193.0,37,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.2,3.0,201.0,192.0,192.0,42,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.25,3.0,216.0,211.0,211.0,49,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.25,3.0,202.0,196.0,193.0,37,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.25,3.0,201.0,192.0,192.0,42,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.15,4.0,216.0,212.0,212.0,33,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.15,4.0,202.0,196.0,193.0,18,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.15,4.0,201.0,192.0,192.0,41,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.2,4.0,216.0,212.0,212.0,33,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.2,4.0,202.0,196.0,193.0,18,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.2,4.0,201.0,192.0,192.0,41,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.25,4.0,216.0,212.0,212.0,33,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.25,4.0,202.0,196.0,193.0,18,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.25,4.0,201.0,192.0,192.0,41,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.15,5.0,216.0,213.0,212.0,29,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.15,5.0,202.0,196.0,193.0,3,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.15,5.0,201.0,192.0,192.0,41,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.2,5.0,216.0,213.0,212.0,29,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.2,5.0,202.0,196.0,193.0,3,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.2,5.0,201.0,192.0,192.0,41,13.828919669431704,True,high_confidence,True,
5x1,flow10,10,0,0.25,5.0,216.0,213.0,212.0,29,8.612708516058248,True,high_confidence,True,
5x2,flow10,10,249,0.25,5.0,202.0,196.0,193.0,3,5.322081952856355,True,high_confidence,True,
5x3,flow10,10,499,0.25,5.0,201.0,192.0,192.0,41,13.828919669431704,True,high_confidence,True,
