scan_id,frame_count,valid_frame_count,invalid_frame_count,geometry_qc_failure_count,source_qc_failure_count,background_qc_failure_count,window_qc_failure_count,flow_speed_mm_s,q_vessel_median,q_vessel_iqr,q_tail_median,q_tail_iqr,ratio_tail_to_vessel_median,ratio_tail_to_vessel_iqr,source_mean_median,source_mean_iqr,detection_detected_count,detection_right_censored_count,detection_not_detected_count,detection_not_evaluable_count
flow01,3,3,0,0,0,0,0,1,2206222163636.3906,502605541294.0215,1379193953369.415,329428543014.1389,0.6251382911937428,0.3776945246195321,143998134.39774895,33556255.34297675,0,0,0,3
flow03,3,3,0,0,0,0,0,3,2116098361849.6357,145136333062.87256,1285851679895.4478,269290503351.42578,0.6594242448128337,0.10582316934054259,122794534.07627697,6223111.435132623,0,0,0,3
flow05,3,3,0,0,0,0,0,5,2227372324776.3438,476581561530.3242,1234473086542.9692,237692007689.55298,0.6468702953327113,0.1561203767229732,102611143.35248111,30199771.16855231,0,0,0,3
flow07,3,3,0,0,0,0,0,7,1404878497842.6394,675347638858.053,1344911339665.648,219747845132.47705,0.6949700683598289,0.5420112034336602,110072870.62114282,21903654.085586667,0,0,0,3
flow10,3,3,0,0,0,0,0,10,2445821309362.0967,38730315916.382324,1444082611105.2002,423343632623.04443,0.581805776953794,0.16935883833052068,138852803.58590296,22164962.031559423,0,0,0,3
