panel,scan_id,flow_speed_mm_s,frame_index,alpha,noise_multiplier,z_peak_px,seed_z_upper_px,z_upper_px,upper_component_width_px,peak_snr,z_candidate_accepted,tracking_class,qc_valid,qc_flags
2x2,flow03,3,249,0.25,4.0,198.0,186.0,188.0,92,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.25,4.0,209.0,198.0,198.0,19,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.15,5.0,217.0,211.0,211.0,43,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.15,5.0,198.0,180.0,187.0,119,74.09119666850621,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
2x3,flow03,3,499,0.15,5.0,209.0,199.0,198.0,16,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.2,5.0,217.0,211.0,211.0,43,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.2,5.0,198.0,185.0,187.0,94,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.2,5.0,209.0,199.0,198.0,16,6.1835577864410185,True,high_confidence,True,
2x1,flow03,3,0,0.25,5.0,217.0,211.0,211.0,43,16.05773232537995,True,high_confidence,True,
2x2,flow03,3,249,0.25,5.0,198.0,186.0,188.0,92,74.09119666850621,True,high_confidence,True,
2x3,flow03,3,499,0.25,5.0,209.0,199.0,198.0,16,6.1835577864410185,True,high_confidence,True,
3x1,flow05,5,0,0.15,3.0,202.0,,199.0,1,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.15,3.0,207.0,197.0,197.0,27,4.110486195132254,True,high_confidence,True,
3x3,flow05,5,499,0.15,3.0,205.0,195.0,195.0,24,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.2,3.0,202.0,,199.0,1,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.2,3.0,207.0,197.0,197.0,27,4.110486195132254,True,high_confidence,True,
3x3,flow05,5,499,0.2,3.0,205.0,195.0,195.0,24,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.25,3.0,202.0,,199.0,1,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.25,3.0,207.0,197.0,197.0,27,4.110486195132254,True,high_confidence,True,
3x3,flow05,5,499,0.25,3.0,205.0,195.0,195.0,24,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.15,4.0,202.0,,200.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.15,4.0,207.0,206.0,197.0,4,4.110486195132254,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
3x3,flow05,5,499,0.15,4.0,205.0,198.0,197.0,9,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.2,4.0,202.0,,200.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.2,4.0,207.0,206.0,197.0,4,4.110486195132254,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
3x3,flow05,5,499,0.2,4.0,205.0,198.0,197.0,9,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.25,4.0,202.0,,200.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.25,4.0,207.0,206.0,197.0,4,4.110486195132254,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
3x3,flow05,5,499,0.25,4.0,205.0,198.0,197.0,9,4.388366767221121,True,high_confidence,True,
3x1,flow05,5,0,0.15,5.0,202.0,,194.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.15,5.0,207.0,,197.0,0,4.110486195132254,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x3,flow05,5,499,0.15,5.0,205.0,,197.0,0,4.388366767221121,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x1,flow05,5,0,0.2,5.0,202.0,,194.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.2,5.0,207.0,,197.0,0,4.110486195132254,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x3,flow05,5,499,0.2,5.0,205.0,,197.0,0,4.388366767221121,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x1,flow05,5,0,0.25,5.0,202.0,,194.0,0,3.19958570330515,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x2,flow05,5,249,0.25,5.0,207.0,,197.0,0,4.110486195132254,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
3x3,flow05,5,499,0.25,5.0,205.0,,197.0,0,4.388366767221121,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
4x1,flow07,7,0,0.15,3.0,217.0,199.0,202.0,107,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.15,3.0,206.0,186.0,200.0,120,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.15,3.0,192.0,190.0,191.0,74,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.2,3.0,217.0,212.0,212.0,93,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.2,3.0,206.0,188.0,200.0,117,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.2,3.0,192.0,190.0,190.0,74,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.25,3.0,217.0,213.0,213.0,59,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.25,3.0,206.0,189.0,200.0,91,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.25,3.0,192.0,190.0,191.0,74,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.15,4.0,217.0,213.0,213.0,92,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.15,4.0,206.0,186.0,201.0,120,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.15,4.0,192.0,190.0,190.0,73,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.2,4.0,217.0,213.0,213.0,92,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.2,4.0,206.0,188.0,201.0,117,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.2,4.0,192.0,190.0,190.0,73,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.25,4.0,217.0,213.0,213.0,59,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.25,4.0,206.0,189.0,201.0,91,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.25,4.0,192.0,190.0,190.0,73,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.15,5.0,217.0,213.0,213.0,58,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.15,5.0,206.0,186.0,200.0,120,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.15,5.0,192.0,191.0,192.0,3,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.2,5.0,217.0,213.0,213.0,58,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.2,5.0,206.0,188.0,198.0,117,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.2,5.0,192.0,191.0,192.0,3,6.296724057829209,True,high_confidence,True,
4x1,flow07,7,0,0.25,5.0,217.0,213.0,213.0,58,17.59738414495212,True,high_confidence,True,
4x2,flow07,7,249,0.25,5.0,206.0,189.0,196.0,91,34.061021202884255,False,model_assisted,True,UPPER_SEED_TRAJECTORY_OUTLIER;Z_EDGE_EVIDENCE_WEAK
4x3,flow07,7,499,0.25,5.0,192.0,191.0,191.0,3,6.296724057829209,True,high_confidence,True,
5x1,flow10,10,0,0.15,3.0,220.0,213.0,213.0,32,4.9337748976829765,True,high_confidence,True,
5x2,flow10,10,249,0.15,3.0,200.0,196.0,195.0,33,4.720767944297356,True,high_confidence,True,
5x3,flow10,10,499,0.15,3.0,195.0,194.0,193.0,12,3.8386794936270903,True,high_confidence,True,
5x1,flow10,10,0,0.2,3.0,220.0,213.0,213.0,32,4.9337748976829765,True,high_confidence,True,
5x2,flow10,10,249,0.2,3.0,200.0,196.0,194.0,33,4.720767944297356,True,high_confidence,True,
5x3,flow10,10,499,0.2,3.0,195.0,194.0,193.0,12,3.8386794936270903,True,high_confidence,True,
5x1,flow10,10,0,0.25,3.0,220.0,213.0,213.0,32,4.9337748976829765,True,high_confidence,True,
5x2,flow10,10,249,0.25,3.0,200.0,196.0,192.0,33,4.720767944297356,True,high_confidence,True,
5x3,flow10,10,499,0.25,3.0,195.0,194.0,193.0,12,3.8386794936270903,True,high_confidence,True,
5x1,flow10,10,0,0.15,4.0,220.0,214.0,214.0,21,4.9337748976829765,True,high_confidence,True,
5x2,flow10,10,249,0.15,4.0,200.0,197.0,196.0,19,4.720767944297356,True,high_confidence,True,
5x3,flow10,10,499,0.15,4.0,195.0,,194.0,0,3.8386794936270903,False,model_assisted,True,NO_VALID_UPPER_COMPONENT;Z_EDGE_EVIDENCE_UNAVAILABLE
5x1,flow10,10,0,0.2,4.0,220.0,214.0,214.0,21,4.9337748976829765,True,high_confidence,True,
5x2,flow10,10,249,0.2,4.0,200.0,197.0,196.0,19,4.720767944297356,True,high_confidence,True,
