pair,support,flow_mm_s,metric,left_algorithm,right_algorithm,left_direction,right_direction,left_full_rank,right_full_rank,same_full_rank,same_adjacent_directions,left_pct_128_235,right_pct_128_235,same_direction_128_235,left_pct_235_285,right_pct_235_285,same_direction_235_285,left_pct_128_285,right_pct_128_285,same_direction_128_285
SV-A_vs_OMAG-A,common,7,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-72.83663197598685,-39.23309732067914,True,-24.03231871293231,-10.561019957695141,True,-79.36461915268444,-45.6507020403154,True
SV-A_vs_OMAG-A,native,7,vessel_core_P95,SV-A,OMAG-A,D128<D235>D285,D128<D235<D285,D128 < D285 < D235,D128 < D235 < D285,False,False,127.40894999482477,63.45174447630752,True,-2.890697829076217,4.479995203735247,False,120.83524441419934,70.77437478926768,True
SV-A_vs_OMAG-A,common,7,vessel_core_P95,SV-A,OMAG-A,D128<D235>D285,D128<D235<D285,D128 < D285 < D235,D128 < D235 < D285,False,False,127.40894999482477,63.45174447630752,True,-2.890697829076217,4.479995203735247,False,120.83524441419934,70.77437478926768,True
SV-A_vs_OMAG-A,native,10,normalized_AUC_um,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-76.60516028262941,-54.171304065236974,True,-26.265392077101964,-8.240725683670139,True,-82.74990666020636,-57.94792118162408,True
SV-A_vs_OMAG-A,common,10,normalized_AUC_um,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-76.60516028262941,-54.171304065236974,True,-26.265392077101964,-8.240725683670139,True,-82.74990666020636,-57.94792118162408,True
SV-A_vs_OMAG-A,native,10,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-69.97077320115606,-41.247361130982696,True,-24.440854242262812,-5.6048138232143385,True,-77.31017275314002,-44.54033715581657,True
SV-A_vs_OMAG-A,common,10,raw_AUC_200,SV-A,OMAG-A,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-69.97077320115606,-41.247361130982696,True,-24.440854242262812,-5.6048138232143385,True,-77.31017275314002,-44.54033715581657,True
SV-A_vs_OMAG-A,native,10,vessel_core_P95,SV-A,OMAG-A,D128<D235>D285,D128<D235<D285,D128 < D285 < D235,D128 < D235 < D285,False,False,32.27012946216384,30.893909478432654,True,-0.4675337305765465,2.3349210501804776,False,31.65172199145095,33.95017892424876,True
SV-A_vs_OMAG-A,common,10,vessel_core_P95,SV-A,OMAG-A,D128<D235>D285,D128<D235<D285,D128 < D285 < D235,D128 < D235 < D285,False,False,32.27012946216384,30.893909478432654,True,-0.4675337305765465,2.3349210501804776,False,31.65172199145095,33.95017892424876,True
SV-B_vs_OMAG-B,native,1,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-73.04943690952862,-48.612862300600916,True,-30.205308252633486,-13.865404054409266,True,-81.18993756682598,-55.73789657461827,True
SV-B_vs_OMAG-B,common,1,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-73.04943690952862,-48.612862300600916,True,-30.205308252633486,-13.865404054409266,True,-81.18993756682598,-55.73789657461827,True
