pair,support,flow_mm_s,metric,left_algorithm,right_algorithm,left_direction,right_direction,left_full_rank,right_full_rank,same_full_rank,same_adjacent_directions,left_pct_128_235,right_pct_128_235,same_direction_128_235,left_pct_235_285,right_pct_235_285,same_direction_235_285,left_pct_128_285,right_pct_128_285,same_direction_128_285
OMAG-A_vs_OMAG-B,native,7,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-39.23309732067914,-41.95988644402642,True,-10.561019957695141,-5.829825511237108,True,-45.6507020403154,-45.34352379086356,True
OMAG-A_vs_OMAG-B,common,7,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-39.23309732067914,-41.681056260429905,True,-10.561019957695141,-6.805179133740493,True,-45.6507020403154,-45.649764850812986,True
OMAG-A_vs_OMAG-B,native,7,vessel_core_P95,OMAG-A,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,63.45174447630752,57.076456200623824,True,4.479995203735247,7.951285153025866,True,70.77437478926768,69.5660531414032,True
OMAG-A_vs_OMAG-B,common,7,vessel_core_P95,OMAG-A,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,63.45174447630752,56.96677666508312,True,4.479995203735247,7.689147329827752,True,70.77437478926768,69.03618338174306,True
OMAG-A_vs_OMAG-B,native,10,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-54.171304065236974,-53.6600711245671,True,-8.240725683670139,-6.689733083530645,True,-57.94792118162408,-56.760088677431504,True
OMAG-A_vs_OMAG-B,common,10,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-54.171304065236974,-53.212891670479536,True,-8.240725683670139,-6.655787895325378,True,-57.94792118162408,-56.326942363248534,True
OMAG-A_vs_OMAG-B,native,10,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-41.247361130982696,-43.25121203620059,True,-5.6048138232143385,-1.9838945293061248,True,-44.54033715581657,-44.377048136061944,True
OMAG-A_vs_OMAG-B,common,10,raw_AUC_200,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-41.247361130982696,-42.740867831241765,True,-5.6048138232143385,-2.5482236315221187,True,-44.54033715581657,-44.19995856837054,True
OMAG-A_vs_OMAG-B,native,10,vessel_core_P95,OMAG-A,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,30.893909478432654,21.507061847694303,True,2.3349210501804776,5.077207434018795,True,33.95017892424876,27.67622742468325,True
OMAG-A_vs_OMAG-B,common,10,vessel_core_P95,OMAG-A,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,30.893909478432654,21.616593961495916,True,2.3349210501804776,3.987381454022442,True,33.95017892424876,26.46591147413038,True
