pair,support,algorithm,flow_mm_s,metric,from_diameter_um,to_diameter_um,percent_change,reason
SV-A_vs_OMAG-A,native,SV-A,3,vessel_core_P95,235,285,3.2592184419888928,ok
SV-A_vs_OMAG-A,native,OMAG-A,3,vessel_core_P95,235,285,7.917945317665898,ok
SV-A_vs_OMAG-A,native,SV-A,3,vessel_core_P95,128,285,29.27114914213639,ok
SV-A_vs_OMAG-A,native,OMAG-A,3,vessel_core_P95,128,285,33.059639571948836,ok
SV-A_vs_OMAG-A,common,SV-A,3,vessel_core_P95,128,235,25.19090410776353,ok
SV-A_vs_OMAG-A,common,OMAG-A,3,vessel_core_P95,128,235,23.297046825971496,ok
SV-A_vs_OMAG-A,common,SV-A,3,vessel_core_P95,235,285,3.2592184419888928,ok
SV-A_vs_OMAG-A,common,OMAG-A,3,vessel_core_P95,235,285,7.917945317665898,ok
SV-A_vs_OMAG-A,common,SV-A,3,vessel_core_P95,128,285,29.27114914213639,ok
SV-A_vs_OMAG-A,common,OMAG-A,3,vessel_core_P95,128,285,33.059639571948836,ok
SV-A_vs_OMAG-A,native,SV-A,5,normalized_AUC_um,128,235,-75.67159634371015,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,normalized_AUC_um,128,235,-49.20575650049184,ok
SV-A_vs_OMAG-A,native,SV-A,5,normalized_AUC_um,235,285,-23.74828415861679,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,normalized_AUC_um,235,285,-12.337175214497302,ok
SV-A_vs_OMAG-A,native,SV-A,5,normalized_AUC_um,128,285,-81.44917477526118,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,normalized_AUC_um,128,285,-55.47233131990456,ok
SV-A_vs_OMAG-A,common,SV-A,5,normalized_AUC_um,128,235,-75.67159634371015,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,normalized_AUC_um,128,235,-49.20575650049184,ok
SV-A_vs_OMAG-A,common,SV-A,5,normalized_AUC_um,235,285,-23.74828415861679,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,normalized_AUC_um,235,285,-12.337175214497302,ok
SV-A_vs_OMAG-A,common,SV-A,5,normalized_AUC_um,128,285,-81.44917477526118,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,normalized_AUC_um,128,285,-55.47233131990456,ok
