pair,left_algorithm,right_algorithm,scan_id,diameter_um,flow_mm_s,metric,n_left_native,n_right_native,n_common,n_left_only,n_right_only,left_native_median,right_native_median,left_common_median,right_common_median,frame_support_sha256
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F07_V01,128,7,vessel_core_P95,493,500,493,0,7,12954.99718536031,13488.694776241136,12954.99718536031,13487.908075217903,71610da9cc98e2a4d7079dd017a670f789564eae4766815f4c6e491807527d2d
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F07_V01,128,7,normalized_AUC_um,493,500,493,0,7,56.71637627410994,55.44125355945329,56.71637627410994,55.37898004061547,71610da9cc98e2a4d7079dd017a670f789564eae4766815f4c6e491807527d2d
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F10_V01,128,10,raw_AUC_200,484,500,484,0,16,751304.3358632673,759220.7089170888,751304.3358632673,756074.5063871793,2135354cd245c22911af973f987caf822ac48357aac20df3b3254b1c621584a6
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F10_V01,128,10,vessel_core_P95,484,500,484,0,16,16848.491905660856,17961.4634796769,16848.491905660856,18106.534267864557,2135354cd245c22911af973f987caf822ac48357aac20df3b3254b1c621584a6
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D128_F10_V01,128,10,normalized_AUC_um,484,500,484,0,16,43.91869734394709,42.61594691547,43.91869734394709,42.23447110556812,2135354cd245c22911af973f987caf822ac48357aac20df3b3254b1c621584a6
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F01_V01,235,1,raw_AUC_200,448,500,448,0,52,444592.87710064853,438950.89107471483,444592.87710064853,439902.72180958884,e476e14c0c2dcc61ffe0ae4d80124a835aa327cc290ca8c8b650dd84802bc0c5
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F01_V01,235,1,vessel_core_P95,448,500,448,0,52,20444.913582871195,20567.881188530428,20444.913582871195,20611.981659115547,e476e14c0c2dcc61ffe0ae4d80124a835aa327cc290ca8c8b650dd84802bc0c5
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F01_V01,235,1,normalized_AUC_um,448,500,448,0,52,22.095059305485442,21.694280896219574,22.095059305485442,21.833785820983074,e476e14c0c2dcc61ffe0ae4d80124a835aa327cc290ca8c8b650dd84802bc0c5
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F03_V01,235,3,raw_AUC_200,448,500,448,0,52,447366.45717987226,442101.28457302053,447366.45717987226,443599.7474882564,7be3d9aa3b0cdd2c4686c891705eb3929eedc271f2dc9095cc4c61b364fb8084
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F03_V01,235,3,vessel_core_P95,448,500,448,0,52,21152.644214812735,21036.247827472893,21152.644214812735,21070.248703898047,7be3d9aa3b0cdd2c4686c891705eb3929eedc271f2dc9095cc4c61b364fb8084
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F03_V01,235,3,normalized_AUC_um,448,500,448,0,52,21.630629646438486,21.42343799825708,21.630629646438486,21.473901202349133,7be3d9aa3b0cdd2c4686c891705eb3929eedc271f2dc9095cc4c61b364fb8084
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F05_V01,235,5,raw_AUC_200,424,500,424,0,76,440311.8182915665,434875.09375927143,440311.8182915665,434875.09375927143,cc7e3143d5f8313dd8f480def7b0d5d9f419fe2138946e012afbe5bbb164dc2b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F05_V01,235,5,vessel_core_P95,424,500,424,0,76,21252.718197128408,21313.059145832623,21252.718197128408,21422.269477002417,cc7e3143d5f8313dd8f480def7b0d5d9f419fe2138946e012afbe5bbb164dc2b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F05_V01,235,5,normalized_AUC_um,424,500,424,0,76,20.578924203275257,20.585198743293375,20.578924203275257,20.47934347751979,cc7e3143d5f8313dd8f480def7b0d5d9f419fe2138946e012afbe5bbb164dc2b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F07_V01,235,7,raw_AUC_200,444,500,444,0,56,444316.2069133278,441035.7192060107,444316.2069133278,443037.0700872715,79fdac79ddcc07731db436ebcbb57d4df9925fb7308fe9e61fb1109bb3541062
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F07_V01,235,7,vessel_core_P95,444,500,444,0,56,21175.168896327963,21187.563742238242,21175.168896327963,21171.534545218998,79fdac79ddcc07731db436ebcbb57d4df9925fb7308fe9e61fb1109bb3541062
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F07_V01,235,7,normalized_AUC_um,444,500,444,0,56,21.058865175705016,20.757380253012947,21.058865175705016,20.880323046815484,79fdac79ddcc07731db436ebcbb57d4df9925fb7308fe9e61fb1109bb3541062
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F10_V01,235,10,raw_AUC_200,461,500,461,0,39,441411.1232570143,430848.5502806134,441411.1232570143,432921.7009065214,f97536170c78eacc4954549e94501e60376d1832a9f8368507aa747d746b8130
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F10_V01,235,10,vessel_core_P95,461,500,461,0,39,22053.649743476773,21824.446539002034,22053.649743476773,22020.550261047956,f97536170c78eacc4954549e94501e60376d1832a9f8368507aa747d746b8130
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D235_F10_V01,235,10,normalized_AUC_um,461,500,461,0,39,20.127366264266357,19.74819949022104,20.127366264266357,19.760287748562174,f97536170c78eacc4954549e94501e60376d1832a9f8368507aa747d746b8130
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F01_V01,285,1,raw_AUC_200,453,500,453,0,47,424815.37589948025,432782.537705828,424815.37589948025,432737.26561566023,052c5a5361b5b8599223a33f4958a5a7c77663dd9bee573747d2f95bfa7e7cff
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F01_V01,285,1,vessel_core_P95,453,500,453,0,47,22476.516176859048,22955.229033864896,22476.516176859048,22773.466255512376,052c5a5361b5b8599223a33f4958a5a7c77663dd9bee573747d2f95bfa7e7cff
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F01_V01,285,1,normalized_AUC_um,453,500,453,0,47,18.579463346057295,18.68628119326021,18.579463346057295,18.887305866580157,052c5a5361b5b8599223a33f4958a5a7c77663dd9bee573747d2f95bfa7e7cff
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F03_V01,285,3,raw_AUC_200,474,500,474,0,26,424046.624835168,424336.9579001737,424046.624835168,422265.52140065946,7168c41e0f003fab585cf70c308c41c3859302f2d17b6761a275dffb9dadd86c
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F03_V01,285,3,vessel_core_P95,474,500,474,0,26,22827.499016982027,23089.74615585751,22827.499016982027,22982.955852368344,7168c41e0f003fab585cf70c308c41c3859302f2d17b6761a275dffb9dadd86c
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F03_V01,285,3,normalized_AUC_um,474,500,474,0,26,18.41432628410562,18.09382415778287,18.41432628410562,18.166828229938865,7168c41e0f003fab585cf70c308c41c3859302f2d17b6761a275dffb9dadd86c
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F05_V01,285,5,raw_AUC_200,492,500,492,0,8,417862.2520488761,422893.6348709355,417862.2520488761,424021.33389805787,6822acac63b22649d5cfbd389acf141a443b04edc469a1168bb23ab6df0d9a0b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F05_V01,285,5,vessel_core_P95,492,500,492,0,8,23008.53304357243,23022.139495914686,23008.53304357243,23061.87250202142,6822acac63b22649d5cfbd389acf141a443b04edc469a1168bb23ab6df0d9a0b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F05_V01,285,5,normalized_AUC_um,492,500,492,0,8,18.040066267058595,18.28909267194607,18.040066267058595,18.26690442747848,6822acac63b22649d5cfbd389acf141a443b04edc469a1168bb23ab6df0d9a0b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F07_V01,285,7,raw_AUC_200,458,500,458,0,42,397391.8836259372,415324.1063340706,397391.8836259372,412887.60383895726,0f3c6315c9ea89c27fc75e2e69897fb9339bee5878dd0df0f93ae461842c5147
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F07_V01,285,7,vessel_core_P95,458,500,458,0,42,22123.815447266294,22872.247352362723,22123.815447266294,22799.445028386264,0f3c6315c9ea89c27fc75e2e69897fb9339bee5878dd0df0f93ae461842c5147
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F07_V01,285,7,normalized_AUC_um,458,500,458,0,42,17.530284426816372,18.032501586732984,17.530284426816372,18.063940679343112,0f3c6315c9ea89c27fc75e2e69897fb9339bee5878dd0df0f93ae461842c5147
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F10_V01,285,10,raw_AUC_200,494,500,494,0,6,416670.8516034995,422300.9694620016,416670.8516034995,421889.8878180339,c967aad71a2a267d135f6679bad7b1d0f588af95f052c0cde3f3257cb99b964b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F10_V01,285,10,vessel_core_P95,494,500,494,0,6,22568.585053670286,22932.518961113703,22568.585053670286,22898.593598230673,c967aad71a2a267d135f6679bad7b1d0f588af95f052c0cde3f3257cb99b964b
OMAG-A_vs_OMAG-B,OMAG-A,OMAG-B,D285_F10_V01,285,10,normalized_AUC_um,494,500,494,0,6,18.4687252230806,18.427097655522093,18.4687252230806,18.44508490851191,c967aad71a2a267d135f6679bad7b1d0f588af95f052c0cde3f3257cb99b964b
