bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,30538058.676552,0.0911924307869371,0.287974986437187
5,9,7,49836453.2872231,0.148821094529859,0.469959538406586
10,14,12,20612297.0006961,0.0615522252905698,0.194374698538792
15,19,17,-2518814.94744149,-0.00752165879935352,-0.0237525151159723
20,24,22,13057026.0168593,0.0389907542564236,0.123128222718433
25,29,27,1978236.31690682,0.00590738855801096,0.0186548392798856
30,34,32,24358286.5124715,0.072738459913384,0.229699513723448
35,39,37,-522441.036611783,-0.00156010794844851,-0.0049266376761542
40,44,42,6619608.61822136,0.0197674058835073,0.062423146220342
45,49,47,17040853.5513254,0.0508872182900997,0.160695858970532
50,54,52,14455808.1878374,0.0431677829164303,0.136318788660508
55,59,57,-11521629.5167084,-0.034405769318333,-0.108649378762116
60,64,62,952211.328802666,0.00284348349107891,0.00897938691524727
65,69,67,-12985654.9246557,-0.0387776266488404,-0.122455190764207
70,74,72,5542462.19099816,0.0165508425108208,0.0522656168549065
75,79,77,-6309545.56505039,-0.0188414988435293,-0.0594992405301566
80,84,82,12818701.882503,0.0382790732239998,0.120880817600582
85,89,87,197965.074282195,0.000591161230185583,0.00186681773668951
90,94,92,17345539.6851187,0.0517970688297811,0.163569060118518
95,99,97,1869173.66838125,0.00558170681993949,0.0176263746003652
100,104,102,-8174181.18260514,-0.0244096541836486,-0.0770828211487874
105,109,107,38298320.1106117,0.114366042155279,0.361154529540833
110,114,112,26068894.9265455,0.0778466608326444,0.245830612299813
115,119,117,12799375.6188153,0.038221361337911,0.120698570242218
120,124,122,-6206845.82821631,-0.0185348179656689,-0.058530778335649
125,129,127,8937301.7726245,0.0266884768922074,0.0842790756287587
130,134,132,25398.2930589076,7.58441165632828e-05,0.00023950681268363
