scan_id,trajectory,n_adjacent_pairs,mean_abs_step_px,median_abs_step_px,p95_abs_step_px,p99_abs_step_px,max_abs_step_px,fraction_step_gt_1px,fraction_step_gt_2px
flow01,X1_midpoint,497,0.9245472837022133,1.0,2.0999999999999943,3.0200000000000102,5.5,0.2837022132796781,0.05030181086519115
flow01,X4,497,0.6687569074991988,0.5565863777835602,1.6366127770517318,2.1351560836854597,3.150652144680521,0.2515090543259557,0.014084507042253521
flow03,X1_midpoint,473,0.8826638477801269,1.0,2.1999999999999886,3.0,3.0,0.24947145877378435,0.0507399577167019
flow03,X4,473,0.6557565602834808,0.5212405538374014,1.6780340186207239,2.5057050070978577,3.2677606613089836,0.20507399577167018,0.02536997885835095
flow05,X1_midpoint,492,1.0010162601626016,1.0,2.5,3.0449999999999875,4.0,0.34146341463414637,0.07317073170731707
flow05,X4,492,0.6601289336418567,0.5374077654679326,1.692407154102372,2.262114528005842,3.0147115833262603,0.23780487804878048,0.022357723577235773
flow07,X1_midpoint,498,0.9909638554216867,1.0,2.5,3.0149999999999864,3.5,0.321285140562249,0.07429718875502007
flow07,X4,498,0.7195122254546715,0.576669657849564,1.811029074176909,2.4771543064218244,3.624663696040045,0.2791164658634538,0.030120481927710843
flow10,X1_midpoint,484,1.015495867768595,1.0,2.5,3.5,4.0,0.3243801652892562,0.07851239669421488
flow10,X4,484,0.659818591283548,0.5465033449836625,1.6832962051547682,1.9961572174731692,2.3644379002743676,0.22107438016528927,0.010330578512396695
