scan_id,flow_mm_s,frame_index,x1_midpoint_px,x4_px,paired,delta_px,abs_delta_px,delta_um,abs_delta_um,abs_delta_fraction_diameter,local_body_run_width_px,abs_delta_fraction_local_width,vessel_presence_prediction,assessable,valid_local_body,x1_fallback,x4_jump_corrected,tracking_class,tracking_confidence,assessability_score,local_body_peak_cnr,continuity_score,width_consistency_score,axial_completeness_score,neighbor_support_score
flow03,3,431,246.5,242.86666481144493,True,-3.6333351885550655,3.6333351885550655,-46.14335689464933,46.14335689464933,0.3604949757394479,8.0,0.4541668985693832,uncertain,False,True,False,False,model_assisted,0.07464427484293534,0.40802741220827915,2.486040189312368,1.0,0.8,0.10526315789473684,0.03885594147513771
flow05,5,479,245.0,248.33424434705455,True,3.3342443470545504,3.3342443470545504,42.344903207592786,42.344903207592786,0.33081955630931864,17.0,0.19613202041497355,assessable,True,True,False,True,model_assisted,0.016015490676191596,0.8308049535603715,11.58190302821045,1.0,0.5882352941176471,0.42105263157894735,1.0
flow07,7,428,244.5,241.34799132189457,True,-3.1520086781054317,3.1520086781054317,-40.03051021193898,40.03051021193898,0.3127383610307733,8.0,0.39400108476317897,uncertain,False,True,False,False,high_confidence,0.5,0.49632232057529063,2.7218247393029587,1.0,0.8,0.2631578947368421,0.5474219323875834
flow03,3,277,242.5,245.40389330283543,True,2.903893302835428,2.903893302835428,36.87944494600993,36.87944494600993,0.2881206636407026,8.0,0.3629866628544285,assessable,True,True,False,False,model_assisted,0.16382334343407232,0.6589336661135552,4.907662164730059,1.0,0.8,0.3684210526315789,0.7405688194289824
flow01,1,274,237.0,239.8426739484348,True,2.8426739484347934,2.8426739484347934,36.101959145121874,36.101959145121874,0.28204655582126464,9.0,0.31585266093719927,assessable,True,True,False,False,high_confidence,0.5600937207851652,0.8253414954042091,6.882315000091864,1.0,0.9,0.47368421052631576,0.8948715548656964
flow07,7,243,237.0,239.81623376785396,True,2.8162337678539586,2.8162337678539586,35.76616885174527,35.76616885174527,0.2794231941542599,11.0,0.25602125162308714,assessable,True,True,False,False,high_confidence,0.5443071865673996,0.7628281932005381,4.787239292870468,1.0,0.9090909090909091,0.7894736842105263,1.0
flow03,3,430,247.5,244.78810970665677,True,-2.711890293343231,2.711890293343231,-34.44100672545903,34.44100672545903,0.2690703650426487,8.0,0.33898628666790387,uncertain,False,True,False,False,high_confidence,0.5,0.5012564114162825,2.1403751001958207,1.0,0.8,0.42105263157894735,0.6990996916801745
flow07,7,276,237.0,239.6850526914102,True,2.685052691410192,2.685052691410192,34.10016918090944,34.10016918090944,0.266407571725855,7.0,0.3835789559157417,assessable,True,True,False,False,high_confidence,0.6190629359401274,0.6609494632228821,5.1949019684966204,1.0,0.7,0.5263157894736842,0.5563281330619319
flow10,10,270,239.5,242.18034484135603,True,2.680344841356032,2.680344841356032,34.0403794852216,34.0403794852216,0.26594046472829375,18.0,0.14890804674200175,assessable,True,True,False,False,model_assisted,0.06376180592857625,0.7511929508312171,6.270993807583704,1.0,0.5555555555555556,0.7894736842105263,0.7251948164614417
flow10,10,95,236.0,238.59548587901276,True,2.595485879012756,2.595485879012756,32.962670663462,32.962670663462,0.25752086455829687,13.0,0.19965275992405815,assessable,True,True,False,False,high_confidence,0.5206636291445185,0.7381684812897888,4.821914584657037,1.0,0.7692307692307693,0.8421052631578947,0.9339485386495694
