scan_id,planned_frames,processed_frames,input_available,z_present,geometry_qc_valid,quantification_valid,quantification_excluded,direct_supported_total,assisted_total,direct_supported_included,assisted_included,q_vessel_median,q_vessel_q25,q_vessel_q75,q_tail_median,q_tail_q25,q_tail_q75,ratio_tail_to_vessel_median,ratio_tail_to_vessel_q25,ratio_tail_to_vessel_q75,source_area_um2_median,source_area_um2_q25,source_area_um2_q75,source_mean_median,source_mean_q25,source_mean_q75
flow01,3,3,3,2,2,2,1,2,0,2,0,2366569777943.7783,2286395970790.0845,2446743585097.4717,1306265609583.9287,1269801437691.1853,1342729781476.6719,0.556609031819605,0.5223444021325361,0.5908736615066739,15959.526933593752,15640.356337890626,16278.697529296876,148120812.8718949,146059473.63482192,150182152.1089679
flow03,3,3,3,3,3,3,0,2,1,2,1,2116098361849.6357,1998666891089.9302,2235771603278.107,1285851679895.4478,1263191963130.9297,1511170073024.774,0.6594242448128337,0.6335381881218859,0.6983236970006029,17870.561914062502,16595.37525390625,17872.88859375,122794534.07627697,120588116.75601992,127300198.79914421
flow05,3,3,3,3,3,3,0,3,0,3,0,2264311591093.184,2086344831161.5527,2562926392691.877,1234473086542.9692,1113794709646.068,1256187284379.2883,0.5643664446369994,0.45571144807507136,0.6056183699848554,19151.5652734375,18515.55076171875,19791.23599609375,110827758.2714997,105236910.41238314,135436681.58093545
flow07,3,3,3,2,2,2,1,1,1,1,1,1793994158307.3533,1631922814375.8345,1956065502238.872,1187273202022.2678,1072987705059.4482,1301558698985.0872,0.6603413831837219,0.6562928295677567,0.6643899367996872,15958.52978515625,14362.178232421877,17554.881337890627,112870046.13670796,111735296.90104468,114004795.37237123
flow10,3,3,3,3,3,3,0,3,0,3,0,2482069907703.7295,2443339591787.347,2512190209571.5938,1444082611105.2002,1254295342657.8794,1566441965897.9092,0.581805776953794,0.51225029923763,0.6230419629706766,17875.54765625,16595.70763671875,19154.8891015625,138852803.58590296,131633552.32909566,147926991.3766753
