bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,5623214.91154193,0.0224847304032461,0.0572559013756372
5,9,7,35856104.8648086,0.14337258381161,0.365088945763064
10,14,12,22944995.7916697,0.0917468125609735,0.23362728204034
15,19,17,58095090.2537984,0.232296375411112,0.59152758880918
20,24,22,20924479.8785228,0.0836676698824094,0.213054271463491
25,29,27,25655406.6639605,0.102584537724278,0.261224843227769
30,34,32,12625797.5749922,0.0504849377207626,0.128556605449797
35,39,37,-4873448.52118087,-0.0194867487472221,-0.0496217363692158
40,44,42,-6522235.04192928,-0.0260795112495836,-0.0664097766462617
45,49,47,10413993.6510984,0.041640919536162,0.106035889218807
50,54,52,-2515363.95623671,-0.0100578194701288,-0.0256115821407634
55,59,57,-5476164.26484736,-0.021896740401341,-0.0557586231359088
60,64,62,-15046503.8763004,-0.0601642634137279,-0.153204377841104
65,69,67,15968019.4699933,0.0638489935925521,0.162587303227842
70,74,72,-6479142.30458223,-0.0259072025975352,-0.0659710038875531
75,79,77,570248.573105175,0.0022801699082829,0.00580630414716887
80,84,82,-133748.753615493,-0.00053480165957056,-0.00136183759052225
85,89,87,2214542.2894571,0.00885496768811501,0.0225485984284683
90,94,92,-10259999.2263013,-0.0410251644601717,-0.104467909026464
95,99,97,-12600016.6669746,-0.0503818513590556,-0.128294102744485
100,104,102,-6710131.03481892,-0.0268308235878872,-0.068322944577241
105,109,107,-24285017.3715008,-0.0971049616680247,-0.247271459725699
110,114,112,-26776496.9567348,-0.107067278182763,-0.272639849811372
115,119,117,15028265.7368426,0.0600913372220001,0.153018676044089
120,124,122,-13355743.0983439,-0.0534036645629347,-0.135988953235195
125,129,127,14457954.4169834,0.0578109164174114,0.14721173300582
130,134,132,-1024362.52476226,-0.00409596922166225,-0.0104301188222956
