metric,metric_label,observed_delta_pct_vs_flow01,observed_abs_delta_pct,background_plus2_abs_delta_pct_median,background_plus2_abs_delta_pct_p95,fixed128_width_abs_delta_pct_median,fixed128_width_abs_delta_pct_p95,systematic_stride_5_abs_delta_pct_median,systematic_stride_5_abs_delta_pct_p95,systematic_stride_2_abs_delta_pct_median,systematic_stride_2_abs_delta_pct_p95,observed_to_local_p95_ratio,observed_to_geometry_p95_ratio,descriptive_context_class
q_tail,Q_T,-6.629629058325397,6.629629058325397,5.3517371879083,16.54386489114426,16.31638379065526,33.05814370078622,0.8800128016670066,3.971396454259093,0.5783003086516137,1.7508983997207708,0.4007303675378878,0.2005445048073805,within_local_method_sensitivity
q_vessel,Q_V,-25.753120039123846,25.753120039123846,1.0543211803359407,3.5931931202231175,7.438941743188554,14.991021901055475,1.889464964950458,4.359503505210166,0.4858323409423023,1.0418309714063518,5.907351607435471,1.7179029027574593,above_local_and_geometry_stress
ri_tail,RI_tail,27.705378051061768,27.705378051061768,4.92952107112777,15.860982510570611,9.354948972204202,24.820903793782556,1.8513024458875595,4.751662427165152,1.168495835152588,2.3962661995977106,1.7467630414822923,1.116211491783057,above_local_and_geometry_stress
source_mean,Sbar_V,-20.30874306261758,20.30874306261758,1.0543211803359327,3.593193120223147,24.872731832626602,51.02285639167038,1.5555903473541408,3.968830229316049,0.6915426031956915,1.666803840662347,5.117060163623426,0.39803226433894906,above_local_but_within_geometry_stress
