scan_id,flow_mm_s,metric,metric_label,n_valid_frames,scan_median,flow01_median,observed_delta_pct_vs_flow01,observed_abs_delta_pct,background_plus2_abs_delta_pct_median,fixed128_width_abs_delta_pct_median,systematic_stride_2_abs_delta_pct_median,systematic_stride_5_abs_delta_pct_median,background_plus2_abs_delta_pct_p95,fixed128_width_abs_delta_pct_p95,systematic_stride_2_abs_delta_pct_p95,systematic_stride_5_abs_delta_pct_p95,background_plus2_abs_delta_pct_max,fixed128_width_abs_delta_pct_max,systematic_stride_2_abs_delta_pct_max,systematic_stride_5_abs_delta_pct_max,local_method_p95_reference_pct,local_method_typical_reference_pct,geometry_stress_p95_reference_pct,observed_to_local_p95_ratio,observed_to_geometry_p95_ratio,descriptive_context_class,interpretation_boundary
flow03,3.0,q_tail,Q_T,468,1321717384937.328,1363099623102.999,-3.03589242226239,3.03589242226239,5.3517371879083,16.31638379065526,0.5783003086516137,0.8800128016670066,16.54386489114426,33.05814370078622,1.7508983997207708,3.971396454259093,71.94333854999317,76.16765584091601,1.8809263294485887,4.348033428138254,16.54386489114426,5.3517371879083,33.05814370078622,0.1835056343990979,0.09183493331448576,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow05,5.0,q_tail,Q_T,491,1320784413673.864,1363099623102.999,-3.104337255468346,3.104337255468346,5.3517371879083,16.31638379065526,0.5783003086516137,0.8800128016670066,16.54386489114426,33.05814370078622,1.7508983997207708,3.971396454259093,71.94333854999317,76.16765584091601,1.8809263294485887,4.348033428138254,16.54386489114426,5.3517371879083,33.05814370078622,0.18764280752377652,0.09390537120190799,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow07,7.0,q_tail,Q_T,493,1272731174395.8386,1363099623102.999,-6.629629058325397,6.629629058325397,5.3517371879083,16.31638379065526,0.5783003086516137,0.8800128016670066,16.54386489114426,33.05814370078622,1.7508983997207708,3.971396454259093,71.94333854999317,76.16765584091601,1.8809263294485887,4.348033428138254,16.54386489114426,5.3517371879083,33.05814370078622,0.4007303675378878,0.2005445048073805,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow10,10.0,q_tail,Q_T,484,1371539929611.8394,1363099623102.999,0.619199533606104,0.619199533606104,5.3517371879083,16.31638379065526,0.5783003086516137,0.8800128016670066,16.54386489114426,33.05814370078622,1.7508983997207708,3.971396454259093,71.94333854999317,76.16765584091601,1.8809263294485887,4.348033428138254,16.54386489114426,5.3517371879083,33.05814370078622,0.03742774361857575,0.018730620182747213,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow03,3.0,q_vessel,Q_V,468,2290347428561.3306,2254206200871.9404,1.6032795791001948,1.6032795791001948,1.0543211803359407,7.438941743188554,0.4858323409423023,1.889464964950458,3.5931931202231175,14.991021901055475,1.0418309714063518,4.359503505210166,11.805912258035463,43.09506391420627,1.101544752640262,4.868621173709873,4.359503505210166,1.889464964950458,14.991021901055475,0.367766553504102,0.10694931871104213,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow05,5.0,q_vessel,Q_V,491,2338105348942.6016,2254206200871.9404,3.721893233999997,3.721893233999997,1.0543211803359407,7.438941743188554,0.4858323409423023,1.889464964950458,3.5931931202231175,14.991021901055475,1.0418309714063518,4.359503505210166,11.805912258035463,43.09506391420627,1.101544752640262,4.868621173709873,4.359503505210166,1.889464964950458,14.991021901055475,0.8537424570371045,0.24827481799209092,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow07,7.0,q_vessel,Q_V,493,1673677772032.0164,2254206200871.9404,-25.753120039123846,25.753120039123846,1.0543211803359407,7.438941743188554,0.4858323409423023,1.889464964950458,3.5931931202231175,14.991021901055475,1.0418309714063518,4.359503505210166,11.805912258035463,43.09506391420627,1.101544752640262,4.868621173709873,4.359503505210166,1.889464964950458,14.991021901055475,5.907351607435471,1.7179029027574593,above_local_and_geometry_stress,descriptive_scan_level_only; requires independent-volume replication
flow10,10.0,q_vessel,Q_V,484,2336262125396.6445,2254206200871.9404,3.6401250468109074,3.6401250468109074,1.0543211803359407,7.438941743188554,0.4858323409423023,1.889464964950458,3.5931931202231175,14.991021901055475,1.0418309714063518,4.359503505210166,11.805912258035463,43.09506391420627,1.101544752640262,4.868621173709873,4.359503505210166,1.889464964950458,14.991021901055475,0.8349861497898765,0.2428203407904178,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow03,3.0,ri_tail,RI_tail,468,0.11468684369855794,0.1200366113631912,-4.456779980606603,4.456779980606603,4.92952107112777,9.354948972204202,1.168495835152588,1.8513024458875595,15.860982510570611,24.820903793782556,2.3962661995977106,4.751662427165152,64.25809425738811,46.075913648846395,2.4939078489630275,7.188196558630859,15.860982510570611,4.92952107112777,24.820903793782556,0.28099015793229487,0.17955752206424458,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow05,5.0,ri_tail,RI_tail,491,0.1139710492110269,0.1200366113631912,-5.05309345480598,5.05309345480598,4.92952107112777,9.354948972204202,1.168495835152588,1.8513024458875595,15.860982510570611,24.820903793782556,2.3962661995977106,4.751662427165152,64.25809425738811,46.075913648846395,2.4939078489630275,7.188196558630859,15.860982510570611,4.92952107112777,24.820903793782556,0.3185864085934353,0.2035821699640019,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow07,7.0,ri_tail,RI_tail,493,0.1532932083410471,0.1200366113631912,27.705378051061768,27.705378051061768,4.92952107112777,9.354948972204202,1.168495835152588,1.8513024458875595,15.860982510570611,24.820903793782556,2.3962661995977106,4.751662427165152,64.25809425738811,46.075913648846395,2.4939078489630275,7.188196558630859,15.860982510570611,4.92952107112777,24.820903793782556,1.7467630414822923,1.116211491783057,above_local_and_geometry_stress,descriptive_scan_level_only; requires independent-volume replication
flow10,10.0,ri_tail,RI_tail,484,0.1170343121650288,0.1200366113631912,-2.5011529099887997,2.5011529099887997,4.92952107112777,9.354948972204202,1.168495835152588,1.8513024458875595,15.860982510570611,24.820903793782556,2.3962661995977106,4.751662427165152,64.25809425738811,46.075913648846395,2.4939078489630275,7.188196558630859,15.860982510570611,4.92952107112777,24.820903793782556,0.1576921800602136,0.10076800308195542,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow03,3.0,source_mean,Sbar_V,468,131772029.85389292,126523022.78553356,4.148657653600988,4.148657653600988,1.0543211803359327,24.872731832626602,0.6915426031956915,1.5555903473541408,3.593193120223147,51.02285639167038,1.666803840662347,3.968830229316049,11.805912258035432,73.66170706207853,1.6874541333441233,5.732319021120444,3.968830229316049,1.5555903473541408,51.02285639167038,1.04530993111185,0.08130978833788434,above_local_but_within_geometry_stress,descriptive_scan_level_only; requires independent-volume replication
flow05,5.0,source_mean,Sbar_V,491,131389668.65784197,126523022.78553356,3.846450839668721,3.846450839668721,1.0543211803359327,24.872731832626602,0.6915426031956915,1.5555903473541408,3.593193120223147,51.02285639167038,1.666803840662347,3.968830229316049,11.805912258035432,73.66170706207853,1.6874541333441233,5.732319021120444,3.968830229316049,1.5555903473541408,51.02285639167038,0.9691648716179988,0.0753868190001347,within_local_method_sensitivity,descriptive_scan_level_only; requires independent-volume replication
flow07,7.0,source_mean,Sbar_V,493,100827787.17296246,126523022.78553356,-20.30874306261758,20.30874306261758,1.0543211803359327,24.872731832626602,0.6915426031956915,1.5555903473541408,3.593193120223147,51.02285639167038,1.666803840662347,3.968830229316049,11.805912258035432,73.66170706207853,1.6874541333441233,5.732319021120444,3.968830229316049,1.5555903473541408,51.02285639167038,5.117060163623426,0.39803226433894906,above_local_but_within_geometry_stress,descriptive_scan_level_only; requires independent-volume replication
flow10,10.0,source_mean,Sbar_V,484,131878640.71632229,126523022.78553356,4.232919679659344,4.232919679659344,1.0543211803359327,24.872731832626602,0.6915426031956915,1.5555903473541408,3.593193120223147,51.02285639167038,1.666803840662347,3.968830229316049,11.805912258035432,73.66170706207853,1.6874541333441233,5.732319021120444,3.968830229316049,1.5555903473541408,51.02285639167038,1.066540878567337,0.08296124480303262,above_local_but_within_geometry_stress,descriptive_scan_level_only; requires independent-volume replication
