bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,18459446.8510022,0.0678121511684473,0.368983254182426
5,9,7,33444307.5625006,0.122860151685922,0.668513500859286
10,14,12,15334249.6758601,0.0563315068684025,0.306514132926875
15,19,17,8695080.77813563,0.0319420260481306,0.17380473135474
20,24,22,22158242.1326378,0.0813999507815108,0.442917946299075
25,29,27,30214419.3035707,0.110994916901822,0.603951724439595
30,34,32,30335502.1279156,0.111439723664162,0.606372031771281
35,39,37,29347343.6816666,0.107809650104738,0.586619873318873
40,44,42,-4660807.91172877,-0.0171218245719041,-0.093164225573504
45,49,47,566591.45523797,0.00208141585842058,0.0113255159070117
50,54,52,4856511.74119063,0.0178407571474483,0.0970761215492429
55,59,57,21317704.9606292,0.07831217495426,0.426116568473814
60,64,62,-7977603.19512266,-0.0293063187752116,-0.159463174128247
65,69,67,-3268540.67647961,-0.0120072273152443,-0.0653343940893655
70,74,72,2233980.38305534,0.00820669311848151,0.0446547157221404
75,79,77,11838760.6537659,0.04349056792331,0.236643300678116
80,84,82,7438694.26723006,0.027326596740242,0.148691000317904
85,89,87,4152567.62593332,0.0152547660750573,0.0830050828823335
90,94,92,16854408.0061613,0.0619159215762982,0.336900361296258
95,99,97,32261381.4115708,0.118514584474973,0.644868158496068
100,104,102,-8154323.4852311,-0.0299555139067935,-0.162995610839411
105,109,107,-7741205.53806514,-0.0284378943968624,-0.154737855028154
110,114,112,-405345.326725766,-0.00148906621055435,-0.00810239000822452
115,119,117,8164570.8222968,0.0299931582617832,0.163200443400632
120,124,122,-1146591.29154001,-0.00421208840210263,-0.0229190500335438
125,129,127,31526382.0213396,0.115814509539826,0.630176360360476
130,134,132,-2487959.88841452,-0.00913970572444531,-0.0497314758839966
