bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,48355464.236468,0.144390507272545,0.523890703086429
5,9,7,13311680.6403194,0.03974897874843,0.144220841223142
10,14,12,5494044.61449327,0.0164053411830633,0.059523343252372
15,19,17,16037117.7416013,0.0478871954279156,0.173748655333787
20,24,22,30938981.7098812,0.0923844974735376,0.335197792776929
25,29,27,947988.069059256,0.00283071376402081,0.0102706518044852
30,34,32,-1729791.08949968,-0.0051651952231703,-0.0187408286608318
35,39,37,5871224.06453559,0.0175316075313309,0.063609764722883
40,44,42,5376173.20522396,0.0160533744954084,0.0582463058699181
45,49,47,12751922.167983,0.0380775273199934,0.13815632991586
50,54,52,24247528.3325373,0.0724036667070202,0.262701534703929
55,59,57,33543668.7820643,0.100162151841607,0.363417382085247
60,64,62,-3272497.47190243,-0.00977175128968682,-0.0354547521872525
65,69,67,160378.169222839,0.000478892831972099,0.00173756230367244
70,74,72,-5420852.20745838,-0.0161867870041895,-0.0587303652055772
75,79,77,-334290.794857806,-0.00099819985617382,-0.00362175903630967
80,84,82,-1720688.50490242,-0.00513801470017785,-0.0186422098279892
85,89,87,-6811059.78318331,-0.0203379781930783,-0.0737920926811112
90,94,92,-14438489.7452596,-0.0431136561603973,-0.156428868248681
95,99,97,19942141.8388976,0.0595476854929638,0.216056300440813
100,104,102,7132654.70528078,0.0212982678867281,0.0772763026356009
105,109,107,3363830.43371093,0.0100444735744268,0.0364442678569363
110,114,112,5142978.01783298,0.0153570484041886,0.0557198325414603
115,119,117,-8547116.06987487,-0.0255218814364276,-0.092600799473477
120,124,122,2329270.84450238,0.0069552552978946,0.0252356865904056
125,129,127,-2415489.45934729,-0.00721270602720441,-0.0261697926208917
