scan_id,flow_mm_s,n_valid_frames,frame_min,frame_max,q_vessel_n,q_vessel_mean,q_vessel_sd,q_vessel_min,q_vessel_q1,q_vessel_median,q_vessel_q3,q_vessel_iqr,q_vessel_max,source_area_um2_n,source_area_um2_mean,source_area_um2_sd,source_area_um2_min,source_area_um2_q1,source_area_um2_median,source_area_um2_q3,source_area_um2_iqr,source_area_um2_max,source_mean_n,source_mean_mean,source_mean_sd,source_mean_min,source_mean_q1,source_mean_median,source_mean_q3,source_mean_iqr,source_mean_max,q_tail_n,q_tail_mean,q_tail_sd,q_tail_min,q_tail_q1,q_tail_median,q_tail_q3,q_tail_iqr,q_tail_max,tail_area_um2_n,tail_area_um2_mean,tail_area_um2_sd,tail_area_um2_min,tail_area_um2_q1,tail_area_um2_median,tail_area_um2_q3,tail_area_um2_iqr,tail_area_um2_max,tail_mean_n,tail_mean_mean,tail_mean_sd,tail_mean_min,tail_mean_q1,tail_mean_median,tail_mean_q3,tail_mean_iqr,tail_mean_max,ratio_tail_to_vessel_n,ratio_tail_to_vessel_mean,ratio_tail_to_vessel_sd,ratio_tail_to_vessel_min,ratio_tail_to_vessel_q1,ratio_tail_to_vessel_median,ratio_tail_to_vessel_q3,ratio_tail_to_vessel_iqr,ratio_tail_to_vessel_max,ri_tail_n,ri_tail_mean,ri_tail_sd,ri_tail_min,ri_tail_q1,ri_tail_median,ri_tail_q3,ri_tail_iqr,ri_tail_max
flow01,1,486,0,495,486,2314707533433.6064,614486635429.76453,705421024238.4989,1929822271376.4424,2254206200871.9404,2625067454961.2036,695245183584.76123,5176640060715.5898,486,17833.525851417824,2707.9774776078693,10216.782890625,16597.286455078127,17875.547656250001,19156.883398437501,2559.5969433593746,24262.615781249999,486,131709027.83563043,37581953.469344363,42900438.802767113,109538002.64342821,126523022.78553356,148364923.68778551,38826921.0443573,405391518.59595937,486,1378348884239.9517,334395234941.2077,158380973395.30862,1172789823155.8987,1363099623102.999,1601425756674.7271,428635933518.82837,2718951132468.1602,486,88690.946502057617,13467.215262901918,50799.999999999993,82549.999999999985,88899.999999999985,95250,12700.000000000015,120650,486,15638356.325073706,3580594.286491456,2771320.6193404836,13283664.774186885,15390848.480729204,17691373.221005462,4407708.4468185771,27511325.068171918,486,0.61674095881816138,0.16479562229511582,0.224519780320243,0.51400393037890724,0.596951936379571,0.69303395452759042,0.17903002414868319,1.4883305079395726,486,0.12401141420574868,0.033138217187990773,0.045132393246785904,0.10336287152188355,0.12003661136319127,0.13932897409870096,0.035966102576817413,0.29928027831127912
flow03,3,468,0,499,468,2363075862751.4116,689685198277.38574,495289857498.36328,1939761938972.7158,2290347428561.3306,2708285373719.8975,768523434747.18164,5751492849288.1602,468,17739.04840436365,2765.3638341957285,7657.4352343750006,16596.2062109375,17875.215273437501,19155.304580078126,2559.0983691406254,24263.280546875001,468,135011950.73056576,41101130.142928384,38784974.992513664,108460836.55763747,131772029.85389292,150791821.20262402,42330984.644986555,357590895.29744804,468,1328348047439.095,332992120482.28882,236353128347.2059,1121718609032.5898,1321717384937.3279,1547776302867.5205,426057693834.93066,2446011425885.4551,468,88221.581196581203,13753.162924508768,38099.999999999993,82549.999999999985,88899.999999999985,95250,12700.000000000015,120650.00000000016,468,15127595.728180103,3458037.9577507013,3722096.5094048176,13082679.239529833,14952747.080187935,16950194.823288973,3867515.5837591402,26815350.989390735,468,0.5907438400815892,0.171167448866135,0.2009950720012785,0.47269765408776909,0.57039566614157833,0.68941361585040206,0.21671596176263297,1.1783282147942595,468,0.11878289958035067,0.034416738910560608,0.040419999060277129,0.095017287842877426,0.11468684369855799,0.1386423009025966,0.043625013059719178,0.23698377490663061
flow05,5,491,0,499,491,2356916350172.3955,674091743397.70068,553696991704.00171,1893149162604.6108,2338105348942.6016,2762397954650.3862,869248792045.77539,5083449138721.8877,491,17688.3206827584,2718.7911020485481,8937.1090624999997,16597.535742187501,17874.882890625002,19155.055292968751,2557.5195507812496,25540.960078125001,491,135050599.70024163,40995964.541019589,46001084.1528024,107310919.73786391,131389668.65784197,156733467.26224977,49422547.524385855,361867288.86053127,491,1326255563290.7773,339157309249.50458,198595535957.37369,1112280544873.0396,1320784413673.864,1539370159455.6799,427089614582.64038,2502718108463.9141,491,87968.839103869657,13520.51300487064,44449.999999999993,82549.999999999985,88899.999999999985,95250,12700.000000000015,127000,491,15173587.893687012,3712058.0084047252,4424996.6985431621,12703195.178467661,14948574.560281008,17433502.487070374,4730307.308602713,32844069.664880767,491,0.58937833835063735,0.17123791158841181,0.21531457279375599,0.47489163022313119,0.56683316910951498,0.68503108274762481,0.21013945252449362,1.5733624000065904,491,0.11850854894290284,0.034430301248521443,0.043300769875884312,0.095460879332231741,0.11397104921102691,0.13773306140052582,0.042272182068294084,0.3163721211231168
flow07,7,493,0,498,493,1745269769909.4941,559646964064.50244,466820510882.78149,1401447703399.355,1673677772032.0164,1998157951685.3965,596710248286.0415,4966531043481.7236,493,16590.658856411639,2733.1921875782218,7661.7562109375003,15317.8619140625,16598.865273437499,17879.536250000001,2561.6743359375014,22985.933398437501,493,106336665.08845465,33387521.350717783,35003050.46077171,84186485.806657746,100827787.17296246,120790201.2949578,36603715.488300055,256485609.52598372,493,1289512137796.0671,340455068873.92328,129774012142.90648,1067766531941.5116,1272731174395.8386,1500154093190.689,432387561249.17737,2390065185275.5518,493,82511.359026369173,13594.482784338787,38099.999999999993,76199.999999999985,82549.999999999985,88899.999999999985,12700,114300,493,15761867.198700899,4049558.0472958083,2916738.5477991165,12853864.179456107,15442352.863554893,18471326.056186281,5617461.8767301738,31365684.846135855,493,0.77814628926291707,0.22878133362237787,0.215455797711924,0.62312234826057278,0.76237482865987272,0.90511357980326079,0.28199123154268801,1.6644379064225929,493,0.15646303248475957,0.04600097831676183,0.043334183208658145,0.12531031615502278,0.15329320834104715,0.1820265317049197,0.05671621554989692,0.33466818308649365
flow10,10,484,0,499,484,2391666473867.3687,641310714929.69849,432223510199.90369,1991292827921.3936,2336262125396.645,2694092397018.0459,702799569096.65234,5535566286474.4434,484,17585.299859165159,2690.7919060580643,8938.1062109374998,16595.873828125001,17873.553359375001,19156.966494140626,2561.0926660156256,24260.289101562503,484,137891054.77946162,39875253.3704575,48357392.494507924,112518374.41353816,131878640.71632229,157202117.16394186,44683742.750403702,394116698.32594472,484,1384879071009.2917,328194142825.2356,235516573673.46295,1163264550321.1995,1371539929611.8394,1590527249760.3025,427262699439.10303,2257987148946.8359,484,87456.818181818177,13381.777611725936,44449.999999999993,82549.999999999985,88899.999999999985,95250,12700.000000000015,120650,484,15942516.157565217,3557991.4185753851,5172973.8899088856,13641163.372012541,15794668.471255992,18408338.04360142,4767174.6715888791,26670332.667906526,484,0.60255676127456059,0.15885753141092596,0.1516781012464451,0.50044504685728053,0.58202748565279339,0.69624045174493931,0.19579540488765879,1.3651703947017657,484,0.12115864300221141,0.031943144686037005,0.03049956833329967,0.10061540478090135,0.11703431216502885,0.1399990308975636,0.039383626116662254,0.27453740173489372
