bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,25299195.9261543,0.0653928092786213,0.19998994916274
5,9,7,75720026.3972593,0.195719471054384,0.598566226135833
10,14,12,108611766.635998,0.280737323105968,0.858575179678074
15,19,17,-9408557.78651189,-0.0243190347517808,-0.0743745769198142
20,24,22,2716870.41762879,0.00702250733870393,0.0214768397497417
25,29,27,39259997.6321258,0.101478384725367,0.310349979244247
30,34,32,17745183.9646295,0.0458673640854111,0.14027554272193
35,39,37,-447119.569067788,-0.00115570490027165,-0.00353447675366992
40,44,42,22592116.1162473,0.0583956084890006,0.178590504091717
45,49,47,-1529497.11438042,-0.00395341074810529,-0.0120906629223451
50,54,52,-12790589.3074175,-0.0330608359879312,-0.101109510073696
55,59,57,8969788.50652386,0.0231849134964127,0.0709061091370789
60,64,62,9858861.40357414,0.025482969709792,0.0779342235483847
65,69,67,204043.810107972,0.000527407985527313,0.00161296474913968
70,74,72,770539.264450358,0.00199167306775155,0.00609110695751455
75,79,77,8566156.57193315,0.0221416144842822,0.0677154017993882
80,84,82,14459668.7363863,0.0373750360553173,0.114303570119018
85,89,87,-9911411.51454558,-0.025618800089317,-0.0783496317713318
90,94,92,-15994745.9152913,-0.0413428700323775,-0.126438343408501
95,99,97,-6142093.4644061,-0.0158759490879372,-0.0485532015833554
100,104,102,-2751928.82361682,-0.00711312554108001,-0.0217539761793634
105,109,107,-1968659.62896002,-0.00508854842766035,-0.0155622392215016
110,114,112,-418221.596393634,-0.00108101005142603,-0.0033060385020006
115,119,117,-8003737.36315707,-0.0206878855926021,-0.0632694822808553
120,124,122,21359727.989308,0.0552101585649235,0.168848485429355
125,129,127,8126907.35101512,0.0210062526880767,0.0642431400872934
130,134,132,6195827.47069407,0.0160148395742286,0.0489779684896716
