scan_id,frame_index,source_full_image_q,source_local_q,passed
D128_F01_V01,0,2641159086735.7388,2641159086735.7388,True
D128_F01_V01,249,2629382659684.3457,2629382659684.3457,True
D128_F01_V01,495,1984671524644.4631,1984671524644.4631,True
D128_F03_V01,0,2602187226538.8008,2602187226538.8008,True
D128_F03_V01,249,2391882325205.8745,2391882325205.874,True
D128_F03_V01,499,2238863992635.6519,2238863992635.6519,True
D128_F05_V01,0,3277119524535.3672,3277119524535.3677,True
D128_F05_V01,249,2266766439630.8608,2266766439630.8604,True
D128_F05_V01,499,1869074033349.228,1869074033349.2283,True
D128_F07_V01,0,2496086242192.7241,2496086242192.7241,True
D128_F07_V01,249,1767964577364.8118,1767964577364.812,True
D128_F07_V01,498,1531354252047.8228,1531354252047.8228,True
D128_F10_V01,0,3010913829482.1865,3010913829482.1865,True
D128_F10_V01,249,2595314440388.3516,2595314440388.3511,True
D128_F10_V01,499,2481675799864.4663,2481675799864.4658,True
D235_F01_V01,0,8250875376339.1738,8250875376339.1729,True
D235_F01_V01,249,8056600618722.9688,8056600618722.9688,True
D235_F01_V01,497,7970777233614.2363,7970777233614.2363,True
D235_F03_V01,0,10523923987850.297,10523923987850.299,True
D235_F03_V01,249,7433859641660.4844,7433859641660.4834,True
D235_F03_V01,497,7557908780875.8301,7557908780875.8311,True
D235_F05_V01,2,9078988069593.959,9078988069593.959,True
D235_F05_V01,249,7130402119864.6807,7130402119864.6797,True
D235_F05_V01,499,8403509646373.7939,8403509646373.7949,True
D235_F07_V01,0,11376563503700.324,11376563503700.326,True
D235_F07_V01,249,8633351920073.2939,8633351920073.2939,True
D235_F07_V01,499,9944705198632.4629,9944705198632.4648,True
D235_F10_V01,0,9070963546524.1289,9070963546524.1289,True
D235_F10_V01,249,7244034395884.499,7244034395884.5,True
D235_F10_V01,498,9427667733215.125,9427667733215.123,True
D285_F01_V01,0,17700050721887.09,17700050721887.09,True
D285_F01_V01,249,13405286700792.861,13405286700792.859,True
D285_F01_V01,499,10829208781432.855,10829208781432.855,True
D285_F03_V01,0,18945350168441.883,18945350168441.879,True
D285_F03_V01,249,14998655389869.672,14998655389869.672,True
D285_F03_V01,499,10718474547251.072,10718474547251.072,True
D285_F05_V01,0,17479112557973.605,17479112557973.609,True
D285_F05_V01,249,12540444334361.232,12540444334361.234,True
D285_F05_V01,499,11788828449464.658,11788828449464.658,True
D285_F07_V01,0,16673467127951.607,16673467127951.609,True
D285_F07_V01,249,13714048757984.162,13714048757984.162,True
D285_F07_V01,499,11264011739708.943,11264011739708.945,True
D285_F10_V01,0,17839339699189.809,17839339699189.809,True
D285_F10_V01,249,15517030857781.75,15517030857781.748,True
D285_F10_V01,499,10828171801410.99,10828171801410.99,True
