bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,114326282.422852,0.419279971465195,1.80984887775008
5,9,7,24880309.2118154,0.091245994493127,0.393869185202148
10,14,12,1656215.96263731,0.00607400299247352,0.0262188233341153
15,19,17,-7327993.03456339,-0.0268746664836428,-0.11600622086802
20,24,22,92915837.6512657,0.340759350636424,1.47090958382059
25,29,27,11180651.0130987,0.0410038963778755,0.176995947561113
30,34,32,68101.3584350497,0.000249754780932869,0.00107808252420088
35,39,37,21759371.5726067,0.0798002742564429,0.34446299999131
40,44,42,-6717703.49041569,-0.0246364918729322,-0.106344996666808
45,49,47,-4376779.04333302,-0.0160513904021717,-0.0692868557593632
50,54,52,3027396.91682994,0.0111026691850916,0.0479253833529144
55,59,57,-8305689.6778989,-0.0304602691292632,-0.131483704568366
60,64,62,-1806178.33284595,-0.00662397467850607,-0.028592811376716
65,69,67,10488572.6834598,0.0384657697445836,0.166039961223874
70,74,72,8346652.93215589,0.0306104976831181,0.132132175752549
75,79,77,-3115611.59328643,-0.0114261875068953,-0.0493218709304197
80,84,82,8720285.28156343,0.0319807561877956,0.138046984438143
85,89,87,-4086029.62899431,-0.0149850966019712,-0.0646841302084603
90,94,92,3211622.1880158,0.0117782965632328,0.0508417722465525
95,99,97,-752647.104709279,-0.00276025643358794,-0.0119148238614262
100,104,102,-1980041.88161552,-0.00726160149730982,-0.0313451684196784
105,109,107,2394920.99828034,0.00878312831083246,0.0379129364585322
110,114,112,-5498647.04767082,-0.0201657267986507,-0.087046652593522
