z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-214,-233,10992627.3970718,2986143.86684275,8006483.53022904,1826572.61212582,above_vessel
2,-213,-232,2719494.84955043,892922.237424611,1826572.61212582,4916528.07117742,above_vessel
3,-212,-231,3453087.39796716,4195386.43073757,-742299.032770411,1826572.61212582,above_vessel
4,-211,-230,12377200.1357839,4245707.16618148,8131492.96960247,828265.523553456,above_vessel
5,-210,-229,4454199.29585504,3625933.77230158,828265.523553456,828265.523553456,above_vessel
6,-209,-228,1238118.30927997,4385334.24099786,-3147215.93171789,4698665.94546698,above_vessel
7,-208,-227,10252524.431224,5553858.48575704,4698665.94546698,4698665.94546698,above_vessel
8,-207,-226,8216241.40457488,1109022.44166092,7107218.96291396,7107218.96291396,above_vessel
9,-206,-225,15282045.5387625,1845526.63396326,13436518.9047993,7107218.96291396,above_vessel
10,-205,-224,17722434.5357254,2329223.00365766,15393211.5320677,7107218.96291396,above_vessel
11,-204,-223,5871435.56174348,5138488.83168813,732946.730055347,13436518.9047993,above_vessel
12,-203,-222,2225567.89286115,4101917.01729837,-1876349.12443722,10614481.8610757,above_vessel
13,-202,-221,18974370.1206326,3841280.781012,15133089.3396206,5946787.05801506,above_vessel
14,-201,-220,14713840.0572956,4099358.19621986,10614481.8610757,5946787.05801506,above_vessel
15,-200,-219,10489649.1162471,4542862.05823206,5946787.05801506,10614481.8610757,above_vessel
16,-199,-218,363391.168790064,3935347.57663686,-3571956.4078468,10614481.8610757,above_vessel
17,-198,-217,22829553.6052637,10546111.8917447,12283441.713519,5946787.05801506,above_vessel
18,-197,-216,15942433.5175435,2922047.53932579,13020385.9782177,3409010.32309303,above_vessel
19,-196,-215,1927423.30166382,4467629.13934927,-2540205.83768545,7066924.47974008,above_vessel
20,-195,-214,8539148.30288682,5130137.97979379,3409010.32309303,4335029.86500689,above_vessel
21,-194,-213,9930610.04916065,2863685.56942057,7066924.47974008,4335029.86500689,above_vessel
22,-193,-212,10980446.8215639,6645416.95655699,4335029.86500689,7066924.47974008,above_vessel
23,-192,-211,13694381.4199234,3113145.86607525,10581235.5538481,7066924.47974008,above_vessel
24,-191,-210,15373162.2557892,2992637.5151856,12380524.7406036,8817579.61374492,above_vessel
25,-190,-209,3395027.06948334,3114840.54196145,280186.527521892,8817579.61374492,above_vessel
