bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,156857987.100171,0.183366832039103,1.6120247565463
5,9,7,102356620.666386,0.119654788492456,1.05191587346624
10,14,12,60911489.0054258,0.0712054705035633,0.625985517537839
15,19,17,79113450.287422,0.0924835452696674,0.813046519318622
20,24,22,6680885.10037557,0.00780994808565775,0.0686592527199082
25,29,27,7027506.9465327,0.0082151486815623,0.0722214748770001
30,34,32,-4001809.71501017,-0.00467811160547474,-0.0411264765718574
35,39,37,88232086.7607931,0.10314322230333,0.906758468660629
40,44,42,-3736955.78867614,-0.00436849762710606,-0.0384045808366642
45,49,47,10707544.054772,0.012517108427439,0.110041104168191
50,54,52,2535755.10711904,0.00296429521642692,0.0260598780131238
55,59,57,5565513.90567208,0.00650608026036277,0.05719661691895
60,64,62,-3576625.75827684,-0.00418107197987855,-0.0367568739968687
65,69,67,-8367687.52094337,-0.00978181844975902,-0.0859944698269658
70,74,72,-7328572.61123207,-0.00856709414632475,-0.0753155175445981
75,79,77,-3456918.20090825,-0.00404113396351347,-0.0355266430753115
80,84,82,5477046.87087196,0.00640266238403345,0.0562874438964442
85,89,87,-4860859.97848974,-0.0056823405152593,-0.0499549099685089
90,94,92,18207895.6548954,0.0212850120421637,0.187121989150345
95,99,97,33917285.633547,0.0396492734158138,0.348566911554294
100,104,102,-787623.207609497,-0.000920730751999254,-0.00809437971868206
105,109,107,4344193.72337015,0.00507835817317885,0.0446451465989652
110,114,112,5622543.23739055,0.00657274749283111,0.0577827056242753
115,119,117,13445168.1599337,0.0157173883032531,0.138175583726572
120,124,122,15385350.064569,0.0179854590340433,0.158114774075088
125,129,127,-13140456.8253065,-0.0153611810539447,-0.135044074620149
