stride_frames,approx_positions_per_500,q_tail_abs_error_pct_p95,q_tail_abs_error_pct_max,ri_tail_abs_error_pct_p95,ri_tail_abs_error_pct_max,joint_primary_abs_error_pct_max,joint_primary_abs_error_pct_p95,all_primary_scan_phases_within_1pct,primary_scan_phase_fraction_within_1pct,all_primary_scan_phases_within_2pct,primary_scan_phase_fraction_within_2pct,all_primary_scan_phases_within_5pct,primary_scan_phase_fraction_within_5pct,all_primary_scan_phases_within_10pct,primary_scan_phase_fraction_within_10pct
2,250.0,1.7508983997207708,1.8809263294485887,2.3962661995977106,2.4939078489630275,2.4939078489630275,2.2877754780806927,False,0.45,False,0.9,True,1.0,True,1.0
5,100.0,3.971396454259093,4.348033428138254,4.751662427165152,7.188196558630859,7.188196558630859,4.217676668468257,False,0.38,False,0.7,False,0.98,True,1.0
10,50.0,5.12701800613009,6.56719425301943,6.13195452847113,12.308384535614666,12.308384535614666,5.7462970037413195,False,0.3,False,0.53,False,0.92,False,0.98
20,25.0,9.989456654558076,14.271981831403334,12.123732363655504,14.875273025838691,14.875273025838691,11.211287470744395,False,0.115,False,0.315,False,0.65,False,0.925
25,20.0,13.051729226479974,18.932269566641843,14.9739216394944,17.820457453160802,18.932269566641843,13.778943816730122,False,0.144,False,0.216,False,0.552,False,0.856
50,10.0,16.26088428273722,26.88624810529145,16.800718317037234,30.134375670842378,30.134375670842378,16.789919001484613,False,0.098,False,0.192,False,0.458,False,0.746
