scan_id,flow_mm_s,stride_frames,metric,metric_label,full_median,n_phase_records,selected_n_min,selected_n_median,selected_n_max,error_pct_median,error_pct_min,error_pct_max,abs_error_pct_median,abs_error_pct_p90,abs_error_pct_p95,abs_error_pct_max,abs_error_median,abs_error_max,within_1pct_n,within_1pct_fraction,within_2pct_n,within_2pct_fraction,within_5pct_n,within_5pct_fraction,within_10pct_n,within_10pct_fraction
flow01,1.0,2,q_tail,Q_T,1363099623102.999,2,241,243.0,245,0.11402563694090895,-0.3689658259769021,0.59701709985872,0.48299146291781103,0.5742119724705382,0.5856145361646291,0.59701709985872,6583654810.652344,8137937838.034668,2,1.0,2,1.0,2,1.0,2,1.0
flow01,1.0,2,q_vessel,Q_V,2254206200871.9404,2,241,243.0,245,-0.09425391381349467,-0.28486517661687333,0.096357348989884,0.19061126280337867,0.2660143938541744,0.27543978523552387,0.28486517661687333,4296770905.674072,6421448475.422363,2,1.0,2,1.0,2,1.0,2,1.0
flow01,1.0,2,ri_tail,RI_tail,0.1200366113631912,2,241,243.0,245,0.42495309063374487,-0.5848993717458371,1.4348055530133266,1.0098524623795817,1.3498149348865776,1.392310243949952,1.4348055530133266,0.0012121926756081952,0.001722291965488093,1,0.5,2,1.0,2,1.0,2,1.0
flow01,1.0,2,source_mean,Sbar_V,126523022.78553356,2,241,243.0,245,0.4376840864033984,-0.8120859605373267,1.6874541333441233,1.249770046940725,1.5999173160634437,1.6436857247037835,1.6874541333441233,1581246.841257587,2135017.977626413,1,0.5,2,1.0,2,1.0,2,1.0
flow01,1.0,5,q_tail,Q_T,1363099623102.999,5,96,97.0,99,0.6246620929166463,-1.2220875149787975,1.9773585434197103,1.2220875149787975,1.733890103197174,1.855624323308442,1.9773585434197103,16658270310.664795,26953366852.749023,2,0.4,5,1.0,5,1.0,5,1.0
flow01,1.0,5,q_vessel,Q_V,2254206200871.9404,5,96,97.0,99,0.6484168155295755,-4.10899846676698,3.084943768694122,0.6565486337271007,3.699376587537837,3.9041875271524087,4.10899846676698,14799960013.216309,92625298231.59424,3,0.6,3,0.6,5,1.0,5,1.0
flow01,1.0,5,ri_tail,RI_tail,0.1200366113631912,5,96,97.0,99,-0.03849027635602168,-1.5078181486327527,3.8867048340631016,1.5078181486327527,3.072543878792885,3.4796243564279927,3.8867048340631016,0.001809933811137962,0.004665468776498691,1,0.2,4,0.8,5,1.0,5,1.0
flow01,1.0,5,source_mean,Sbar_V,126523022.78553356,5,96,97.0,99,0.06540947431782494,-1.5555903473541408,2.055697089299997,0.16187290291382153,1.8556543925216546,1.9556757409108256,2.055697089299997,204806.48983725905,2600930.0966965854,3,0.6,4,0.8,5,1.0,5,1.0
flow01,1.0,10,q_tail,Q_T,1363099623102.999,10,47,49.0,50,0.12581053567963535,-2.579260491954781,3.307142463039016,1.4527649694309994,2.6520486890632045,2.9795955760511093,3.307142463039016,19802633822.886353,45079646449.16406,2,0.2,6,0.6,10,1.0,10,1.0
flow01,1.0,10,q_vessel,Q_V,2254206200871.9404,10,47,49.0,50,0.7363913451976463,-4.559447187041749,3.3773189434343633,2.771451408907131,3.4955317677951014,4.027489477418424,4.559447187041749,62474229513.737305,102779341215.77637,1,0.1,3,0.3,10,1.0,10,1.0
flow01,1.0,10,ri_tail,RI_tail,0.1200366113631912,10,47,49.0,50,-0.026559954952519567,-4.648365427411103,5.01476270475631,1.57288596635394,4.685005155145624,4.849883929950967,5.01476270475631,0.0018880390146184534,0.006019551218694588,3,0.3,6,0.6,9,0.9,10,1.0
flow01,1.0,10,source_mean,Sbar_V,126523022.78553356,10,47,49.0,50,1.1196099681870033,-4.317035805545183,5.629275581425495,3.120383008688833,5.514910778284846,5.5720931798551705,5.629275581425495,3948002.9050792903,7122329.626547456,1,0.1,4,0.4,8,0.8,10,1.0
flow01,1.0,20,q_tail,Q_T,1363099623102.999,20,22,24.0,25,0.8888663636076597,-6.541343535992656,4.95739175029419,2.3318446833963185,5.271858491683211,5.820822462977387,6.541343535992656,31785366090.722534,89165029084.98828,3,0.15,7,0.35,17,0.85,20,1.0
flow01,1.0,20,q_vessel,Q_V,2254206200871.9404,20,22,24.0,25,0.5419413284642809,-12.683047829873033,21.84163647938769,3.296780954039598,9.481919225998444,13.140977262348772,21.84163647938769,74316240695.12573,492355523890.26514,4,0.2,7,0.35,14,0.7,18,0.9
flow01,1.0,20,ri_tail,RI_tail,0.1200366113631912,20,22,24.0,25,-0.17948644045546203,-11.165202734994125,13.692138314326582,2.5827821441317895,10.407065190953865,11.29154951396075,13.692138314326582,0.003100284164709373,0.016435578855678798,2,0.1,8,0.4,14,0.7,17,0.85
