scan_id,flow_mm_s,metric,metric_label,n_full_valid,full_median,full_q1,full_q3
flow01,1.0,q_vessel,Q_V,486,2254206200871.9404,1929822271376.4424,2625067454961.2036
flow01,1.0,source_mean,Sbar_V,486,126523022.78553356,109538002.6434282,148364923.6877855
flow01,1.0,q_tail,Q_T,486,1363099623102.999,1172789823155.8987,1601425756674.727
flow01,1.0,ri_tail,RI_tail,486,0.1200366113631912,0.10336287152188353,0.13932897409870088
flow03,3.0,q_vessel,Q_V,468,2290347428561.3306,1939761938972.7158,2708285373719.8975
flow03,3.0,source_mean,Sbar_V,468,131772029.85389292,108460836.55763747,150791821.20262402
flow03,3.0,q_tail,Q_T,468,1321717384937.328,1121718609032.5898,1547776302867.5205
flow03,3.0,ri_tail,RI_tail,468,0.11468684369855794,0.09501728784287738,0.13864230090259658
flow05,5.0,q_vessel,Q_V,491,2338105348942.6016,1893149162604.6108,2762397954650.386
flow05,5.0,source_mean,Sbar_V,491,131389668.65784197,107310919.73786391,156733467.26224977
flow05,5.0,q_tail,Q_T,491,1320784413673.864,1112280544873.0396,1539370159455.68
flow05,5.0,ri_tail,RI_tail,491,0.1139710492110269,0.09546087933223171,0.13773306140052577
flow07,7.0,q_vessel,Q_V,493,1673677772032.0164,1401447703399.355,1998157951685.3965
flow07,7.0,source_mean,Sbar_V,493,100827787.17296246,84186485.80665775,120790201.2949578
flow07,7.0,q_tail,Q_T,493,1272731174395.8386,1067766531941.5116,1500154093190.689
flow07,7.0,ri_tail,RI_tail,493,0.1532932083410471,0.1253103161550227,0.1820265317049197
flow10,10.0,q_vessel,Q_V,484,2336262125396.6445,1991292827921.3936,2694092397018.046
flow10,10.0,source_mean,Sbar_V,484,131878640.71632229,112518374.41353816,157202117.16394186
flow10,10.0,q_tail,Q_T,484,1371539929611.8394,1163264550321.1995,1590527249760.3025
flow10,10.0,ri_tail,RI_tail,484,0.1170343121650288,0.10061540478090128,0.13999903089756355
