bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,83341605.1433797,0.209025753110116,0.439281641125205
5,9,7,24734387.6274138,0.0620353302848332,0.13037140778012
10,14,12,37143171.7761088,0.0931573064862703,0.195776328357656
15,19,17,51465951.6089096,0.129079698861975,0.271269645526236
20,24,22,-9741414.72413937,-0.0244320534211952,-0.0513455991103034
25,29,27,16590613.5227963,0.0416102555283799,0.0874467431126373
30,34,32,34797816.1706998,0.0872750137119921,0.18341429552191
35,39,37,7860200.33409126,0.0197138547020212,0.0414299880160968
40,44,42,-2773067.31669128,-0.00695501944436078,-0.01461643988895
45,49,47,24750083.3041295,0.0620746959850789,0.130454137439746
50,54,52,3626708.53750051,0.0090960029154436,0.0191158602656523
55,59,57,-9434740.47462222,-0.0236628959775088,-0.0497291631490933
60,64,62,83478.1670156401,0.000209368258490787,0.000440001439157154
65,69,67,1864129.42401898,0.00467534859785752,0.00982555868997311
70,74,72,11613745.344393,0.0291279711119613,0.0612143851287512
75,79,77,-3318584.7794623,-0.00832321001729563,-0.0174917841530332
80,84,82,17443148.1294222,0.0437484635446023,0.0919403306847792
85,89,87,7634845.8545784,0.0191486521274383,0.0402421768931287
90,94,92,-5693483.6008895,-0.0142795989523914,-0.0300095350409369
95,99,97,6684476.03929185,0.0167650675296658,0.0352329139755654
100,104,102,8470153.03417407,0.021243652721594,0.0446449611695435
105,109,107,6757414.99377255,0.0169480028098919,0.0356173647378361
110,114,112,2622104.42057544,0.00657639543060424,0.0138207361268171
115,119,117,-2668086.49042092,-0.00669172122451569,-0.0140631010185096
120,124,122,-1678272.03756696,-0.0042092071057735,-0.00884593107666488
125,129,127,9634429.92191908,0.0241637291092628,0.0507816975702031
130,134,132,-3340545.48399689,-0.00837828878373258,-0.0176075358752568
