scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,rho_lag0,rho_peak,lag_at_peak,n_pairs_at_lag0,n_pairs_at_peak,rho_remote_median,zero_lag_specificity,zero_lag_rank,peak_within_5,peak_tie_count,n_finite_lags
D128_F01_V01,128,1,common_grid,detrended_31,source_q_raw,tail_q_raw_100um,100,q,0.45504681385035156,0.45504681385035156,0,486,486,-0.017340494474796408,0.47238730832514797,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_31,source_q_raw,tail_q_raw_500um,500,q,0.47276915750448462,0.47276915750448462,0,486,486,-0.0097464986822311476,0.48251565618671577,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,mean,0.35000180986744206,0.35000180986744206,0,486,486,-0.0012704381082161219,0.3512722479756582,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,mean,0.36049445855704215,0.36049445855704215,0,486,486,-0.0019278472113444303,0.36242230576838658,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_31,upper_q_raw,tail_q_raw_100um,100,q,0.34458349613139544,0.34458349613139544,0,486,486,0.0035810814383243949,0.34100241469307102,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_31,upper_q_raw,tail_q_raw_500um,500,q,0.33846441006440153,0.33846441006440153,0,486,486,0.002844836223825838,0.33561957384057567,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,mean,0.33868115285635925,0.33868115285635925,0,486,486,0.014841823276610894,0.32383932957974837,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_500um,500,mean,0.401396170410522,0.401396170410522,0,486,486,0.006728022390388424,0.39466814802013356,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,lower_q_raw,tail_q_raw_100um,100,q,0.38608185859594685,0.38608185859594685,0,486,486,-0.015527730756178706,0.40160958935212554,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,lower_q_raw,tail_q_raw_500um,500,q,0.43890989398253416,0.43890989398253416,0,486,486,-0.023535573806811611,0.46244546778934575,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,mean,0.42147227767821988,0.42147227767821988,0,486,486,-0.0097041296096335786,0.43117640728785345,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,mean,0.48576911002795853,0.48576911002795853,0,486,486,-0.0074029414376608985,0.49317205146561943,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,middle_q_raw,tail_q_raw_100um,100,q,0.36278290010262138,0.36278290010262138,0,486,486,-0.014325728727216673,0.37710862882983803,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,middle_q_raw,tail_q_raw_500um,500,q,0.35729402114311054,0.35729402114311054,0,486,486,-0.013595493351953092,0.37088951449506363,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,0.47863625943112909,0.47863625943112909,0,486,486,-0.00087011747969220437,0.47950637691082126,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,mean,0.54768115956421937,0.54768115956421937,0,486,486,-0.0011800348099659322,0.54886119437418535,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,source_q_raw,tail_q_raw_100um,100,q,0.44992790132959026,0.44992790132959026,0,486,486,-0.022171963481408985,0.47209986481099925,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,source_q_raw,tail_q_raw_500um,500,q,0.48017006269811224,0.48017006269811224,0,486,486,-0.015977773588976313,0.49614783628708858,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,mean,0.30061951877464654,0.30061951877464654,0,486,486,-0.001941494349259693,0.30256101312390626,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,mean,0.33126096801771732,0.33126096801771732,0,486,486,0.0024726606610700145,0.32878830735664732,1,True,1,101
D128_F01_V01,128,1,common_grid,detrended_51,upper_q_raw,tail_q_raw_100um,100,q,0.31294345570967241,0.31294345570967241,0,486,486,0.0055275156995986787,0.30741594001007372,1,True,1,101
