scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,rho,n_pairs
D128_F05_V01,128,5,common_grid,first_difference,upper_q_raw,tail_q_raw_100um,100,q,0.18873174210783669,486
D128_F05_V01,128,5,common_grid,first_difference,upper_q_raw,tail_q_raw_500um,500,q,0.16644130882648489,486
D128_F05_V01,128,5,common_grid,first_difference,middle_mean_raw,tail_mean_raw_100um,100,mean,0.33094233970205089,486
D128_F05_V01,128,5,common_grid,first_difference,middle_mean_raw,tail_mean_raw_500um,500,mean,0.3623585241217564,486
D128_F05_V01,128,5,common_grid,first_difference,middle_q_raw,tail_q_raw_100um,100,q,0.20113402845890829,486
D128_F05_V01,128,5,common_grid,first_difference,middle_q_raw,tail_q_raw_500um,500,q,0.22521937957206833,486
D128_F05_V01,128,5,common_grid,first_difference,lower_mean_raw,tail_mean_raw_100um,100,mean,0.24931915693221671,486
D128_F05_V01,128,5,common_grid,first_difference,lower_mean_raw,tail_mean_raw_500um,500,mean,0.28570152460864223,486
D128_F05_V01,128,5,common_grid,first_difference,lower_q_raw,tail_q_raw_100um,100,q,0.24247693433888451,486
D128_F05_V01,128,5,common_grid,first_difference,lower_q_raw,tail_q_raw_500um,500,q,0.30990259931177389,486
D128_F05_V01,128,5,common_grid,first_difference,source_area,tail_mean_raw_100um,100,area_vs_mean,-0.48218340556420797,486
D128_F05_V01,128,5,common_grid,first_difference,source_area,tail_mean_raw_500um,500,area_vs_mean,-0.56662923747112137,486
D128_F05_V01,128,5,common_grid,first_difference,source_area,tail_q_raw_100um,100,area_vs_q,0.56928985169609536,486
D128_F05_V01,128,5,common_grid,first_difference,source_area,tail_q_raw_500um,500,area_vs_q,0.88410179509118869,486
D128_F07_V01,128,7,common_grid,first_difference,source_mean_raw,tail_mean_raw_100um,100,mean,0.36322403124840263,487
D128_F07_V01,128,7,common_grid,first_difference,source_mean_raw,tail_mean_raw_500um,500,mean,0.43675504422410316,487
D128_F07_V01,128,7,common_grid,first_difference,source_q_raw,tail_q_raw_100um,100,q,0.36991447748732786,487
D128_F07_V01,128,7,common_grid,first_difference,source_q_raw,tail_q_raw_500um,500,q,0.4637782299304275,487
D128_F07_V01,128,7,common_grid,first_difference,upper_mean_raw,tail_mean_raw_100um,100,mean,0.28731495715147154,487
D128_F07_V01,128,7,common_grid,first_difference,upper_mean_raw,tail_mean_raw_500um,500,mean,0.34503382209871142,487
D128_F07_V01,128,7,common_grid,first_difference,upper_q_raw,tail_q_raw_100um,100,q,0.29416519446927542,487
D128_F07_V01,128,7,common_grid,first_difference,upper_q_raw,tail_q_raw_500um,500,q,0.35028043438238565,487
D128_F07_V01,128,7,common_grid,first_difference,middle_mean_raw,tail_mean_raw_100um,100,mean,0.34387060953751186,487
D128_F07_V01,128,7,common_grid,first_difference,middle_mean_raw,tail_mean_raw_500um,500,mean,0.40537438280955523,487
D128_F07_V01,128,7,common_grid,first_difference,middle_q_raw,tail_q_raw_100um,100,q,0.25225463342181065,487
D128_F07_V01,128,7,common_grid,first_difference,middle_q_raw,tail_q_raw_500um,500,q,0.29823913971309085,487
D128_F07_V01,128,7,common_grid,first_difference,lower_mean_raw,tail_mean_raw_100um,100,mean,0.1569776961575752,487
D128_F07_V01,128,7,common_grid,first_difference,lower_mean_raw,tail_mean_raw_500um,500,mean,0.20464780092982202,487
