scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,lag,rho,n_pairs
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-8,-0.074519734912653512,470
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-7,-0.079861084222297415,470
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-6,-0.10384271249953951,472
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-5,-0.045094129073096283,472
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-4,0.031207884774512879,474
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-3,0.020177022520213254,473
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-2,0.069683680904063017,474
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,-1,0.16799122958437027,475
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,0,0.47863625943112909,486
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,1,0.20216033407946621,475
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,2,0.10973434884059799,474
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,3,0.078146571072523499,473
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,4,0.13765326526838656,474
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,5,0.056627396221214384,472
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,6,-0.010295532303307767,472
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,7,0.054715453704170483,470
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,8,0.059350468066980452,470
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,9,0.08752379604703954,469
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,10,-0.048448699323336945,468
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,11,0.011855316920063303,467
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,12,-0.034960006337165117,466
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,13,-0.040475966125184455,465
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,14,-0.023876708938163488,464
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,15,-0.012107461290587207,463
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,16,-0.039583870548143253,462
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,17,-0.048105448438421482,461
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,18,-0.069640501186165382,460
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,19,-0.065598117067481435,459
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,20,-0.094742347228704393,458
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,21,-0.11389561836166462,457
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,22,-0.0756551260718131,456
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,23,-0.044422433551579051,455
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,24,-0.099769881269237318,455
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,25,-0.052591687008482504,453
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,26,-0.092669818897674255,452
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,27,-0.021867792452396308,451
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,28,0.0094942287090445786,451
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,29,0.0044568715582802764,449
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,30,0.04287407985342627,448
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,31,-0.0134842308892241,447
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,32,0.027870959281764862,447
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,33,0.062987558690223835,445
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,34,0.026033996952706442,445
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,35,0.078310566567989653,444
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,36,0.081860411597158761,442
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,37,0.05957287393208955,441
D128_F01_V01,128,1,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,mean,38,0.070651491179209255,440
