scan_id,flow_mm_s,metric,metric_label,lag_frames,pair_count,acf
flow01,1.0,q_vessel,Q_V,85,395,-0.08761820930722168
flow01,1.0,q_vessel,Q_V,86,394,-0.06551936738738412
flow01,1.0,q_vessel,Q_V,87,393,-0.12369055019217232
flow01,1.0,q_vessel,Q_V,88,392,-0.12155815213497728
flow01,1.0,q_vessel,Q_V,89,391,-0.1591679050577576
flow01,1.0,q_vessel,Q_V,90,390,-0.16501295033851462
flow01,1.0,q_vessel,Q_V,91,390,-0.07521156590139036
flow01,1.0,q_vessel,Q_V,92,388,-0.024635853366585272
flow01,1.0,q_vessel,Q_V,93,387,0.016187749253119874
flow01,1.0,q_vessel,Q_V,94,386,0.013349011206216826
flow01,1.0,q_vessel,Q_V,95,386,0.02943507399726838
flow01,1.0,q_vessel,Q_V,96,384,-0.007130973598312968
flow01,1.0,q_vessel,Q_V,97,383,-0.04894989682745801
flow01,1.0,q_vessel,Q_V,98,382,-0.04364724965006671
flow01,1.0,q_vessel,Q_V,99,382,-0.03759000097485108
flow01,1.0,q_vessel,Q_V,100,381,-0.06870420195392161
flow01,1.0,q_vessel,Q_V,101,380,-0.09026561273337895
flow01,1.0,q_vessel,Q_V,102,379,-0.17603589620093027
flow01,1.0,q_vessel,Q_V,103,378,-0.18194149267234583
flow01,1.0,q_vessel,Q_V,104,377,-0.18958002854044165
flow01,1.0,q_vessel,Q_V,105,377,-0.1479292385576195
flow01,1.0,q_vessel,Q_V,106,375,-0.15559940028899616
flow01,1.0,q_vessel,Q_V,107,374,-0.18116951506517825
flow01,1.0,q_vessel,Q_V,108,374,-0.2001958741658211
flow01,1.0,q_vessel,Q_V,109,372,-0.1412874941805844
flow01,1.0,q_vessel,Q_V,110,371,-0.08532313552468354
flow01,1.0,q_vessel,Q_V,111,371,-0.0064614957956218
flow01,1.0,q_vessel,Q_V,112,369,0.004709303574943783
flow01,1.0,q_vessel,Q_V,113,368,0.0787316007910582
flow01,1.0,q_vessel,Q_V,114,367,0.02030899756824961
flow01,1.0,q_vessel,Q_V,115,366,0.05639270140721687
