metric,metric_label,quantity,n_scans_with_value,median_across_scans,min_across_scans,max_across_scans
q_vessel,Q_V,acf_lag1,5,0.5363955419865367,0.5032467965493135,0.6304658148038496
q_vessel,Q_V,acf_lag5,5,0.16454479728577812,0.1170143528297723,0.2521251458098478
q_vessel,Q_V,acf_lag10,5,0.07354150370870723,0.009823705390591884,0.1535018495658273
q_vessel,Q_V,acf_lag20,5,0.14010208055905862,0.08774469096880912,0.188178566871618
q_vessel,Q_V,lag_at_acf_1_over_e_frames,5,2.5671439092326525,2.269863841740962,2.727018276174555
q_vessel,Q_V,lag_at_acf_0p1_frames,5,7.205734382089143,5.355771018709595,29.954161433784936
q_vessel,Q_V,first_nonpositive_lag_frames,5,37.0,23.0,61.0
q_vessel,Q_V,initial_positive_tau_frames,5,9.421431705908985,7.819881308504145,17.911854703630528
q_vessel,Q_V,descriptive_spatial_ess,5,51.37223461445273,27.412013335530236,62.149280894004555
source_mean,Sbar_V,acf_lag1,5,0.4483052855654025,0.416641384481989,0.5102515007127026
source_mean,Sbar_V,acf_lag5,5,0.10447108932896261,0.0769045717087572,0.22891228820340281
source_mean,Sbar_V,acf_lag10,5,0.030272845844716244,-0.02846507684159222,0.11431378002447443
source_mean,Sbar_V,acf_lag20,5,0.11062289496011997,0.034507263434891675,0.17930218442453433
source_mean,Sbar_V,lag_at_acf_1_over_e_frames,5,1.6845565723220934,1.3167711383956342,2.094950833247803
source_mean,Sbar_V,lag_at_acf_0p1_frames,5,5.048287075180979,4.6618136348466335,9.679533351810528
source_mean,Sbar_V,first_nonpositive_lag_frames,5,11.0,7.0,53.0
source_mean,Sbar_V,initial_positive_tau_frames,5,3.9524733085128823,3.2554049144944606,13.428620614477296
source_mean,Sbar_V,descriptive_spatial_ess,5,122.45496989380175,36.563695862451915,149.29018440566927
q_tail,Q_T,acf_lag1,5,0.5145628414004312,0.4907788297929636,0.5387125796217319
q_tail,Q_T,acf_lag5,5,0.18817681147523657,0.16798213717762003,0.2284178404559009
q_tail,Q_T,acf_lag10,5,0.09099560729201031,-0.03781758945821291,0.14573252167879655
q_tail,Q_T,acf_lag20,5,0.06745958536846386,-0.02477270238692824,0.08081814756190676
q_tail,Q_T,lag_at_acf_1_over_e_frames,5,2.5185246958771197,1.9517222731949495,2.914777486755157
q_tail,Q_T,lag_at_acf_0p1_frames,5,7.728096411697351,6.678024879954751,12.698585723588929
q_tail,Q_T,first_nonpositive_lag_frames,5,14.0,10.0,33.0
q_tail,Q_T,initial_positive_tau_frames,5,6.286481266402659,5.009601641334957,10.362277349072711
q_tail,Q_T,descriptive_spatial_ess,5,78.10410612755506,46.90088709539228,93.42060177768697
ri_tail,RI_tail,acf_lag1,5,0.41478546685676076,0.3092104449644177,0.449162429312064
ri_tail,RI_tail,acf_lag5,5,0.23668845546418896,0.19105141205729453,0.25300373101769214
ri_tail,RI_tail,acf_lag10,5,0.1073593875036046,0.06878318423648185,0.20511810747028267
ri_tail,RI_tail,acf_lag20,5,0.070088813955397,0.035066850486152226,0.12529032270174437
ri_tail,RI_tail,lag_at_acf_1_over_e_frames,5,1.4257039320360785,0.9150696535879114,1.7866494944223246
ri_tail,RI_tail,lag_at_acf_0p1_frames,5,17.752473807277784,6.685117457461005,35.32904302435042
ri_tail,RI_tail,first_nonpositive_lag_frames,5,32.0,17.0,78.0
ri_tail,RI_tail,initial_positive_tau_frames,5,10.396022416895763,5.517927482825928,21.203017553506726
ri_tail,RI_tail,descriptive_spatial_ess,5,45.017217281043926,23.157081239070827,87.71409220335137
