scan_id,flow_mm_s,metric,metric_label,n_valid_frames,series_mean,series_variance,acf_lag1,acf_lag2,acf_lag5,acf_lag10,acf_lag20,acf_lag50,acf_lag100,lag_at_acf_1_over_e_frames,lag_at_acf_0p1_frames,first_nonpositive_lag_frames,initial_positive_tau_frames,tau_stop_lag_frames,tau_truncated_at_max_lag,descriptive_spatial_ess,max_lag_evaluated
flow01,1.0,q_vessel,Q_V,486,2314707533433.6064,3.768168830947927e+23,0.5805539096587747,0.41641950937722527,0.1170143528297723,0.009823705390591884,0.14010208055905862,-0.019295562483324303,-0.06870420195392161,2.269863841740962,5.355771018709595,33,7.819881308504145,33,False,62.149280894004555,200
flow01,1.0,source_mean,Sbar_V,486,131709027.83563043,1409497047093421.8,0.416641384481989,0.2627070849194923,0.08183320121419477,-0.02846507684159222,0.07909873470347034,0.0037349608772488437,-0.02663716865939738,1.3167711383956342,4.6618136348466335,7,3.2554049144944606,7,False,149.29018440566927,200
flow01,1.0,q_tail,Q_T,486,1378348884239.9517,1.1159009049058018e+23,0.4907788297929636,0.412631431032682,0.16798213717762003,0.13428403804454828,0.07518411966641761,-0.03155986150657011,-0.06199344219489214,2.5185246958771197,12.698585723588929,33,10.362277349072711,33,False,46.90088709539228,200
flow01,1.0,ri_tail,RI_tail,486,0.12401141420574863,0.001095881888113677,0.39465650102433725,0.30448057569525483,0.25300373101769214,0.12570115971672097,0.09223367275006733,0.06279708070222288,-0.020388926485664097,1.2969424461703762,19.907442153936017,78,17.689295113134424,78,False,27.474243427548544,200
flow03,3.0,q_vessel,Q_V,468,2363075862751.4116,4.746492930803465e+23,0.5363955419865367,0.4270643858867025,0.18460364117662773,0.029552265610453748,0.1615629777175498,0.007181760526332456,-0.014064106903733258,2.6047472793300446,7.923718753253079,49,14.948682026665487,49,False,31.307107821624722,200
flow03,3.0,source_mean,Sbar_V,468,135011950.73056576,1685693277446821.2,0.428478207911525,0.27760026980302843,0.149092870934847,0.07517996220053533,0.15633349747773834,0.08507990005596663,-0.0216014736154801,1.4016410053039432,9.679533351810528,35,10.455187042300857,35,False,44.76247035146374,200
flow03,3.0,q_tail,Q_T,468,1328348047439.095,1.1064682120862601e+23,0.5100001325025877,0.3606701280107904,0.18817681147523657,-0.03781758945821291,-0.02477270238692824,-0.0807249944933128,0.015119887541282753,1.9517222731949495,6.678024879954751,10,5.009601641334957,10,False,93.42060177768697,200
flow03,3.0,ri_tail,RI_tail,468,0.11878289958035061,0.0011819809088675305,0.449162429312064,0.34530444755058304,0.2511379008899536,0.1073593875036046,0.05197232539069748,0.0853531554822645,0.011352907691314475,1.7826359299692078,17.752473807277784,32,10.396022416895763,32,False,45.017217281043926,200
flow05,5.0,q_vessel,Q_V,491,2356916350172.3955,4.5347422092323055e+23,0.6304658148038496,0.47392083917543026,0.2521251458098478,0.1535018495658273,0.188178566871618,0.0644884749570438,0.021661089827058718,2.727018276174555,29.954161433784936,61,17.911854703630528,61,False,27.412013335530236,200
flow05,5.0,source_mean,Sbar_V,491,135050599.70024163,1677246157307092.2,0.5102515007127026,0.3805878384861492,0.22891228820340281,0.11431378002447443,0.11062289496011997,0.07664238401284686,0.04896828634627453,2.094950833247803,6.6595763084991155,53,13.428620614477296,53,False,36.563695862451915,200
flow05,5.0,q_tail,Q_T,491,1326255563290.7773,1.1479340815582157e+23,0.5145628414004312,0.4084641391278684,0.1865510281297705,0.14573252167879655,0.06745958536846386,-0.059761884051534014,0.01163700032229892,2.7030948717061603,7.728096411697351,14,6.286481266402659,14,False,78.10410612755506,200
