scan_id,flow_mm_s,metric,metric_label,lag_frames,pair_count,acf
flow03,3.0,ri_tail,RI_tail,30,412,0.081843836591861
flow03,3.0,ri_tail,RI_tail,50,393,0.0853531554822645
flow03,3.0,ri_tail,RI_tail,75,375,0.1380460384865057
flow03,3.0,ri_tail,RI_tail,100,350,0.011352907691314475
flow03,3.0,ri_tail,RI_tail,150,300,-0.03614927763854788
flow03,3.0,ri_tail,RI_tail,200,255,-0.005463834793602873
flow05,5.0,q_vessel,Q_V,0,491,1.0
flow05,5.0,q_vessel,Q_V,1,486,0.6304658148038496
flow05,5.0,q_vessel,Q_V,2,484,0.47392083917543026
flow05,5.0,q_vessel,Q_V,3,482,0.3280628855597942
flow05,5.0,q_vessel,Q_V,5,478,0.2521251458098478
flow05,5.0,q_vessel,Q_V,10,472,0.1535018495658273
flow05,5.0,q_vessel,Q_V,20,462,0.188178566871618
flow05,5.0,q_vessel,Q_V,30,452,0.09846375508358361
flow05,5.0,q_vessel,Q_V,50,436,0.0644884749570438
flow05,5.0,q_vessel,Q_V,75,413,-0.0027012971792393444
flow05,5.0,q_vessel,Q_V,100,388,0.021661089827058718
flow05,5.0,q_vessel,Q_V,150,338,-0.025485115648342244
flow05,5.0,q_vessel,Q_V,200,290,0.1237953044072977
flow05,5.0,source_mean,Sbar_V,0,491,1.0
flow05,5.0,source_mean,Sbar_V,1,486,0.5102515007127026
flow05,5.0,source_mean,Sbar_V,2,484,0.3805878384861492
flow05,5.0,source_mean,Sbar_V,3,482,0.24674596601368293
flow05,5.0,source_mean,Sbar_V,5,478,0.22891228820340281
flow05,5.0,source_mean,Sbar_V,10,472,0.11431378002447443
flow05,5.0,source_mean,Sbar_V,20,462,0.11062289496011997
flow05,5.0,source_mean,Sbar_V,30,452,0.10354767865274599
flow05,5.0,source_mean,Sbar_V,50,436,0.07664238401284686
flow05,5.0,source_mean,Sbar_V,75,413,-0.03647075839921507
flow05,5.0,source_mean,Sbar_V,100,388,0.04896828634627453
flow05,5.0,source_mean,Sbar_V,150,338,-0.00932852932422774
flow05,5.0,source_mean,Sbar_V,200,290,0.04029352754588346
flow05,5.0,q_tail,Q_T,0,491,1.0
flow05,5.0,q_tail,Q_T,1,486,0.5145628414004312
flow05,5.0,q_tail,Q_T,2,484,0.4084641391278684
flow05,5.0,q_tail,Q_T,3,482,0.35074120643467227
flow05,5.0,q_tail,Q_T,5,478,0.1865510281297705
flow05,5.0,q_tail,Q_T,10,472,0.14573252167879655
flow05,5.0,q_tail,Q_T,20,462,0.06745958536846386
flow05,5.0,q_tail,Q_T,30,452,-0.011934966847136047
flow05,5.0,q_tail,Q_T,50,436,-0.059761884051534014
flow05,5.0,q_tail,Q_T,75,413,-0.018074268995444294
flow05,5.0,q_tail,Q_T,100,388,0.01163700032229892
flow05,5.0,q_tail,Q_T,150,338,-0.11202512432814189
flow05,5.0,q_tail,Q_T,200,290,0.09076347261658546
flow05,5.0,ri_tail,RI_tail,0,491,1.0
flow05,5.0,ri_tail,RI_tail,1,486,0.41478546685676076
flow05,5.0,ri_tail,RI_tail,2,484,0.3046008475581466
flow05,5.0,ri_tail,RI_tail,3,482,0.3125017859566572
flow05,5.0,ri_tail,RI_tail,5,478,0.23668845546418896
flow05,5.0,ri_tail,RI_tail,10,472,0.20511810747028267
flow05,5.0,ri_tail,RI_tail,20,462,0.12529032270174437
flow05,5.0,ri_tail,RI_tail,30,452,0.19294237835037154
