z_index,relative_to_top_px,relative_to_bottom_px,V_sv_raw,B_sv_raw,T_raw,T_mov5,region
1,-197,-216,11960372.5786703,11085363.2843628,875009.294307521,-3213380.93017316,above_vessel
2,-196,-215,6363211.26792312,9576592.19809627,-3213380.93017316,-3827519.06592353,above_vessel
3,-195,-214,583481.252576651,7493694.47873414,-6910213.22615749,-4441657.20167391,above_vessel
4,-194,-213,7928739.96392966,12370397.1656036,-4441657.20167391,-4441657.20167391,above_vessel
5,-193,-212,7643048.01166657,20926652.4609689,-13283604.4493023,-4441657.20167391,above_vessel
6,-192,-211,10948694.5645687,3428801.46900335,7519893.09556535,-1625982.53955132,above_vessel
7,-191,-210,4922226.92982891,6548209.46938023,-1625982.53955132,667546.340112465,above_vessel
8,-190,-209,6503850.18978032,5836303.84966786,667546.340112465,667546.340112465,above_vessel
9,-189,-208,13190848.2897693,7198446.51648867,5992401.77328059,-608092.386692653,above_vessel
10,-188,-207,2383502.00586381,2991594.39255646,-608092.386692653,-608092.386692653,above_vessel
11,-187,-206,10844367.732648,12723190.3284996,-1878822.5958516,-608092.386692653,above_vessel
12,-186,-205,1428696.93910308,5130649.96451736,-3701953.02541428,-1878822.5958516,above_vessel
13,-185,-204,7714745.78911954,4433236.16151206,3281509.62760748,-1878822.5958516,above_vessel
14,-184,-203,1989685.92101141,5728741.94211326,-3739056.02110185,-2949700.7426018,above_vessel
15,-183,-202,389170.787911639,1632705.09995203,-1243534.31204039,-2949700.7426018,above_vessel
16,-182,-201,690525.836862782,3640226.57946458,-2949700.7426018,-2949700.7426018,above_vessel
17,-181,-200,57408.7398425565,4373806.23632332,-4316397.49648077,-2745558.66080913,above_vessel
18,-180,-199,2061467.49287467,4807026.1536838,-2745558.66080913,-2949700.7426018,above_vessel
19,-179,-198,924989.321937194,3135395.33976257,-2210406.01782538,-2745558.66080913,above_vessel
20,-178,-197,1643656.81545744,5460951.01066821,-3817294.19521077,-2210406.01782538,above_vessel
21,-177,-196,3554951.65480726,3454405.98759415,100545.667213107,100545.667213107,above_vessel
22,-176,-195,8249662.29029917,2585978.35562547,5663683.9346737,5408605.4272258,above_vessel
23,-175,-194,8988921.82094585,3302889.91068079,5686031.91026506,5408605.4272258,above_vessel
24,-174,-193,8214169.79587311,2805564.36864731,5408605.4272258,5408605.4272258,above_vessel
25,-173,-192,295716.276600259,1972776.08674136,-1677059.8101411,5408605.4272258,above_vessel
26,-172,-191,1152230.9200339,3007937.85807752,-1855706.93804363,4634089.8523383,above_vessel
27,-171,-190,10472354.582827,2127842.06883671,8344512.51399028,-1677059.8101411,above_vessel
28,-170,-189,10016565.5244188,5382475.6720805,4634089.8523383,3342801.80911228,above_vessel
29,-169,-188,5679539.60009469,7769286.05454851,-2089746.45445383,3342801.80911228,above_vessel
30,-168,-187,7906319.63001873,4563517.82090645,3342801.80911228,-1028084.76462916,above_vessel
31,-167,-186,2701054.90073358,6565247.97969754,-3864193.07896396,-2089746.45445383,above_vessel
32,-166,-185,199234.476567025,1227319.24119619,-1028084.76462916,-1028084.76462916,above_vessel
33,-165,-184,3039356.83187089,8664841.78435975,-5625484.95248887,-1028084.76462916,above_vessel
34,-164,-183,13761811.8894886,1945115.02689718,11816696.8625915,48279.9345538504,above_vessel
35,-163,-182,4375747.30989714,4327467.37534329,48279.9345538504,1585683.23106198,above_vessel
36,-162,-181,5428058.14262562,3842374.91156364,1585683.23106198,1706932.22395006,above_vessel
37,-161,-180,3571816.11321192,1864883.88926187,1706932.22395006,1706932.22395006,above_vessel
38,-160,-179,15414096.3316003,2852398.75962188,12561697.5719784,7387416.25901016,above_vessel
39,-159,-178,10446609.6301505,3059193.37114035,7387416.25901016,7387416.25901016,above_vessel
40,-158,-177,9715319.0932703,2043410.32883077,7671908.76443953,7387416.25901016,above_vessel
41,-157,-176,824188.040502059,2358276.61916688,-1534088.57866482,7387416.25901016,above_vessel
42,-156,-175,641920.726070537,4311635.69276047,-3669714.96668994,-1534088.57866482,above_vessel
43,-155,-174,14531373.0468439,2645014.42515478,11886358.6216892,-3594368.05381141,above_vessel
44,-154,-173,158339.822934707,3752707.87674611,-3594368.05381141,-3594368.05381141,above_vessel
45,-153,-172,173575.14698285,4419435.73788718,-4245860.59090433,3935906.76789446,above_vessel
