scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px
flow01,flow01_Bscan000,x_minus_1px,1982583777535.7156,1400516875207.7869,0.7064099338836424,1400516875207.7869,15324.177187500001,76199.99999999999,76199.99999999999,129376197.70886739,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,222.5774081019389,234.5774081019389,211.5,128.0,12.7,6.7,230.6044776119403
flow01,flow01_Bscan000,x_plus_1px,2221549361103.2974,1557591254329.8428,0.7011283573533967,1557591254329.8428,15324.177187500001,76199.99999999999,76199.99999999999,144970221.49518245,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,224.5774081019389,236.5774081019389,211.5,128.0,12.7,6.7,230.6044776119403
flow01,flow01_Bscan000,z_minus_1px,2010209738448.7402,1477903420756.7275,0.7351986175816716,1477903420756.7273,15324.177187500001,76199.99999999999,76199.99999999999,131178967.31763694,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.5774081019389,235.5774081019389,210.5,128.0,12.7,6.7,229.6044776119403
flow01,flow01_Bscan000,z_plus_1px,2165925669261.29,1421423227303.7932,0.6562659316875742,1421423227303.7932,15324.177187500001,76199.99999999999,76199.99999999999,141340421.92020887,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.5774081019389,235.5774081019389,212.5,128.0,12.7,6.7,231.6044776119403
flow01,flow01_Bscan000,background_skip_plus_2px,2154119637097.3967,1463786285720.5835,0.6795287784911455,1463786285720.5835,15324.177187500001,76199.99999999999,76199.99999999999,140570003.2530635,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,223.5774081019389,235.5774081019389,211.5,128.0,12.7,6.7,230.6044776119403
flow01,flow01_Bscan249,x_minus_1px,2107331808236.9597,1385127673400.353,0.65728978606325,1385127673400.353,16599.197656250002,82549.99999999999,82550.0,126953835.47309577,True,True,True,True,,True,ok,0.0,500.0,165.1,230.5855483440253,243.5855483440253,195.5,128.0,12.7,6.7,214.6044776119403
flow01,flow01_Bscan249,x_plus_1px,2263732958340.279,1616120289909.6973,0.7139182578737567,1616120289909.6975,16599.197656250002,82549.99999999999,82550.0,136376046.91621515,True,True,True,True,,True,ok,0.0,500.0,165.1,232.5855483440253,245.5855483440253,195.5,128.0,12.7,6.7,214.6044776119403
flow01,flow01_Bscan249,z_minus_1px,2101066942133.8962,1668667043184.8767,0.794199846621801,1668667043184.8767,16599.197656250002,82549.99999999999,82550.0,126576415.65842752,True,True,True,True,,True,ok,0.0,500.0,165.1,231.5855483440253,244.5855483440253,194.5,128.0,12.7,6.7,213.6044776119403
flow01,flow01_Bscan249,z_plus_1px,2370523413985.1323,1385746237326.7883,0.5845739506943675,1385746237326.7886,16599.197656250002,82549.99999999999,82550.0,142809517.84995297,True,True,True,True,,True,ok,0.0,500.0,165.1,231.5855483440253,244.5855483440253,196.5,128.0,12.7,6.7,215.6044776119403
flow01,flow01_Bscan249,background_skip_plus_2px,2206747046197.0806,1639913070671.676,0.7431359536643596,1639913070671.6758,16599.197656250002,82549.99999999999,82550.0,132942994.70951757,True,True,True,True,,True,ok,0.0,500.0,165.1,231.5855483440253,244.5855483440253,195.5,128.0,12.7,6.7,214.6044776119403
