bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,75529913.1379505,0.0719660956557203,0.504649596513068
5,9,7,12637283.5060815,0.0120410035685604,0.0844354211121275
10,14,12,32106078.9186628,0.0305911797140627,0.214515270821607
15,19,17,35259387.7849234,0.0335957022677544,0.235583957133122
20,24,22,33453940.2258009,0.0318754432823655,0.223520943363034
25,29,27,47314360.8945051,0.045081871281967,0.316128698454552
30,34,32,-16424131.6168303,-0.015649172333088,-0.10973707037598
35,39,37,13869511.0147576,0.0132150894250743,0.0926684918152535
40,44,42,-20483313.7130771,-0.0195168252256438,-0.136858306478855
45,49,47,928691.464188434,0.000884871913255975,0.00620500876032837
50,54,52,28320079.2311099,0.0269838193405731,0.189219290257819
55,59,57,41312796.8838628,0.0393634861848604,0.276029528065116
60,64,62,1905557.20186461,0.00181564503611127,0.012731891685049
65,69,67,31502654.2674417,0.030016227163919,0.210483517121473
70,74,72,1953683.12791768,0.00186150017951028,0.0130534428183085
75,79,77,-1985923.92249513,-0.0018922197184344,-0.0132688581855294
80,84,82,4012081.88074135,0.00382277506238701,0.026806538206863
85,89,87,-6468958.83123274,-0.00616372627347159,-0.0432220471123639
90,94,92,4338908.59405788,0.00413418072322001,0.0289902156685813
95,99,97,-7449759.02965008,-0.00709824821273999,-0.0497752179532628
100,104,102,28555866.564675,0.0272084812406969,0.190794692344264
105,109,107,2921669.21036508,0.00278381262644216,0.0195209967402248
110,114,112,20806421.4514243,0.0198246873883147,0.139017135782543
115,119,117,25392862.6886494,0.0241947211283858,0.169661229276589
120,124,122,-6660867.74462145,-0.006346580120965,-0.0445042775782191
125,129,127,-12159466.8986712,-0.011585732348905,-0.0812429117060008
