bin_start_r_px,bin_end_r_px,bin_center_r_px,T_bin_median,H_peak,H_median
0,4,2,105042215.616216,0.346487447025046,1.61996158210443
5,9,7,9072343.52067233,0.0299256173013043,0.139913727799115
10,14,12,69622877.0979367,0.22965483733074,1.07372436379592
15,19,17,3486190.05848401,0.011499387042839,0.0537640407671165
20,24,22,14942312.883979,0.0492880297073633,0.230440425097936
25,29,27,11716956.6790581,0.0386490172814211,0.180698965343661
30,34,32,23649740.509771,0.0780099521317632,0.364726418115017
35,39,37,6647324.53509841,0.0219265606137656,0.102515072701658
40,44,42,24663763.7348895,0.0813547627532289,0.380364689436857
45,49,47,3983832.32013778,0.0131408870412984,0.0614386822508422
50,54,52,11016850.7093601,0.0363396797577922,0.169901927527395
55,59,57,3637009.31138289,0.011996872530865,0.0560899760504175
60,64,62,18855793.5822858,0.0621968581072927,0.290794144280013
65,69,67,-9659305.55259613,-0.0318617434078305,-0.148965859233057
70,74,72,-806185.924482545,-0.00265924800960083,-0.0124330034170895
75,79,77,4051023.08518645,0.0133625194250862,0.0624748985702763
80,84,82,5604658.56646135,0.0184872703488602,0.0864350728439721
85,89,87,12490030.8957618,0.0411990445265166,0.192621319835411
90,94,92,-6053719.57225823,-0.0199685224392154,-0.0933604939534238
95,99,97,4849153.06383435,0.0159951944602953,0.0747836631498368
100,104,102,4218401.07224718,0.0139146247960996,0.0650562027358227
105,109,107,-6666673.25951172,-0.0219903834309618,-0.102813468827714
110,114,112,-5057994.74855936,-0.0166840700875684,-0.0780044206711037
115,119,117,-7019087.40835959,-0.0231528406203259,-0.108248401619016
120,124,122,12798277.5754756,0.0422158129227412,0.197375101693669
125,129,127,-4829927.10348032,-0.0159317765870089,-0.0744871602917251
130,134,132,1121493.00276359,0.00369930551354459,0.0172956707778684
