"file","bytes","sha256"
"qc/flow05_Bscan499_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","529412","2cbd44188270d32928a696b2ed8fde8d8c9ae65bbe8903d172ff7f7ec1e1a900"
"qc/flow07_Bscan000_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","365424","a11110b9a06e0b35702e3a3c6be9fd5658d6a6c61eda4fd3600fae6452007f15"
"qc/flow07_Bscan249_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","457754","2e129f8631641ec0d825c9ad2e0ed8ce22a2a2508d3656f7c1245650dd752250"
"qc/flow07_Bscan499_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","420988","3c2ae9327bc57ad7d06d9331f4d46dbe7eb070084f12ac1df04038b5bee57ff8"
"qc/flow10_Bscan000_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","339720","d977cf8039d275bd3d09136ea975830840eef169c478c092292f5216b5cbcbd4"
"qc/flow10_Bscan249_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","430222","f8c1cc417ba741eb6b076eda920c3e67e93636b74ae6e843eaf601b65d6b116b"
"qc/flow10_Bscan499_SV_Rectangle_v1_surface_z176_pilot_QC01-03.png","476528","13c9859697309933e879ba1bc2b54ab239c838120620a84679f38eba6ea4a8a1"
"README.md","3747","7a94439eef435a39fab0b859efa5870e56395dc6edecb9e0212c4ae4ded93d2f"
"run_complete.json","1315","43be4fc863bab1bb3b0cbaafb9c6f520c30a5ed3ec99495e27d885a58d1d54ba"
"run_config.json","1535","b5bc22456a10bc1ae7a2d25c8a2817afb51a05e7f6fe0773fbc636a0323d951c"
"scan_summary.csv","1341","b233ca45ea4b7c9609a0ce4bfbd4c4b48145d5bfae719d11c309d25f7b1aece1"
"sensitivity_results.csv","20877","96e2e79ae5ac84f6619126f68207f38ff80141cf2563d570dd02a1fe1299f1af"
"surface_guided_localization_overview_15.png","610793","df4d58a61c77eaced192aa5f4a170ba649c00d7de288f1d61f943c8e24dbba6a"
